"id","积分","积分2","胜者积分增加","负者积分增加","高等级获胜衰减","高等级负衰减","低等级胜增益","低等级负增益"
"1","0","299","10","1","-8","-1","2","0"
"2","300","599","10","1","-8","-1","2","0"
"3","600","899","10","1","-8","-1","2","0"
"4","900","1199","10","1","-8","-1","2","0"
"5","1200","1499","10","1","-8","-1","2","0"
"6","1500","1799","10","1","-8","-1","2","0"
"7","1800","2099","10","1","-8","-1","2","0"
"8","2100","2399","10","1","-8","-1","2","0"
"9","2400","2699","10","1","-8","-1","2","0"
"10","2700","2999","10","1","-8","-1","2","0"
"11","3000","3299","10","1","-8","-1","2","0"
"12","3300","3599","10","1","-8","-1","2","0"
"13","3600","3899","10","1","-8","-1","2","0"
"14","3900","4199","10","1","-8","-1","2","0"
"15","4200","4499","10","1","-8","-1","2","0"
"16","4500","4799","10","1","-8","-1","2","0"
"17","4800","5099","10","1","-8","-1","2","0"
