"id","部位","方案","美术资源","道具1","数量1","角色1颜色图","角色2颜色图","角色3颜色图","角色4颜色图","角色5颜色图","角色6颜色图","角色7颜色图","角色8颜色图","角色9颜色图","角色10颜色图","角色11颜色图","角色12颜色图","角色13颜色图","角色14颜色图","角色15颜色图","角色16颜色图","角色17颜色图"
"101","1","1","0","339000","10","ffe30422","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7"
"102","1","2","1","339000","10","ff00a603","ff827b19","ff2c2a1e","ffd7d9e3","ff95bedd","fff7f7f7","ff26f8c4","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7"
"103","1","3","2","339000","10","ffdf8500","ff2d2d2d","ffdadada","ff3a3a3a","ff62b955","ffa03320","ffffe0b1","ffa03320","ffa03320","ffa03320","ffa03320","ffa03320","ffa03320","ffa03320","ffa03320","ffa03320","ffa03320"
"104","1","4","3","339000","10","fff7f7f7","ff11590e","ffefe933","ffda4434","ffebaabe","ff000000","fff7f7f7","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000"
"105","1","5","4","339001","10","ff201e20","ff606064","ff3b58f6","ffd43893","ff00ddb1","ff53a5c9","ff000000","ff53a5c9","ff53a5c9","ff53a5c9","ff53a5c9","ff53a5c9","ff53a5c9","ff53a5c9","ff53a5c9","ff53a5c9","ff53a5c9"
"106","1","6","5","339001","10","ffa1009a","ff521858","ffef3340","ff1d6bca","ffc1c1c1","ff15a565","ffef000c","ff15a565","ff15a565","ff15a565","ff15a565","ff15a565","ff15a565","ff15a565","ff15a565","ff15a565","ff15a565"
"107","1","7","6","339001","10","ffc6c6ff","ff1f6a71","ffd611cd","ffeae100","ffddce06","ffb250c8","ffd5fdc5","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8"
"108","1","8","7","339001","10","ffffc993","ff1f6a71","ffd611cd","ffeae100","ffddce06","ffb250c8","ff6e7100","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8","ffb250c8"
"201","2","1","0","339000","20","ff3267ad","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7","ffecdec7"
"202","2","2","1","339000","20","ff00a603","ff0048cb","ff4e2522","ff000000","ffb7dbeb","ff000000","ffc490b7","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000","ff000000"
"203","2","3","2","339000","20","ffdf8500","ff2d2d2d","ff22f60e","ff572c88","ff62b955","ffa476a8","ffbbd904","ffa476a8","ffa476a8","ffa476a8","ffa476a8","ffa476a8","ffa476a8","ffa476a8","ffa476a8","ffa476a8","ffa476a8"
"204","2","4","3","339000","20","fff7f7f7","ff7f41c6","ff7d7d00","ffe78100","ffebaabe","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7","fff7f7f7"
"205","2","5","4","339001","20","ff201e20","ff6ecb06","ffb0b0b0","ff1c455d","ff06d5cb","ff2a4498","ff000000","ff2a4498","ff2a4498","ff2a4498","ff2a4498","ff2a4498","ff2a4498","ff2a4498","ff2a4498","ff2a4498","ff2a4498"
"206","2","6","5","339001","20","ffa1009a","ff74c8cb","ffb90996","ff34eced","ff171717","ff2b9176","ffef000c","ff2b9176","ff2b9176","ff2b9176","ff2b9176","ff2b9176","ff2b9176","ff2b9176","ff2b9176","ff2b9176","ff2b9176"
"207","2","7","6","339001","20","ffc6c6ff","ffe5e5e5","ffb00000","ff4f0010","ffddb92c","ff5526b1","ffd5fdc5","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1"
"208","2","8","7","339001","20","ffffc993","ffe5e5e5","ffb00000","ff4f0010","ffddb92c","ff5526b1","fff2fb00","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1","ff5526b1"
"1001","1","1","1","339002","30","","","","","","","","","","","","","","","","",""
"1002","1","2","2","339002","30","","","","","","","","","","","","","","","","",""
"1003","1","3","3","339002","30","","","","","","","","","","","","","","","","",""
"1004","1","4","4","339002","30","","","","","","","","","","","","","","","","",""
"2001","2","1","1","0","0","","","","","","","","","","","","","","","","",""
"2002","2","2","2","0","0","","","","","","","","","","","","","","","","",""
"2003","2","3","3","0","0","","","","","","","","","","","","","","","","",""
"2004","2","4","4","0","0","","","","","","","","","","","","","","","","",""
