"VIP等级","所需经验","道具奖励1","道具奖励1数量","道具奖励2","道具奖励2数量","道具奖励3","道具奖励3数量","道具奖励4","道具奖励4数量","道具奖励5","道具奖励5数量","助战数量","仓库格数","c仓库格数","背包格数","c背包格数","周打折限购数量","盈福经验转化率","商会每日限购数量","宠物栏数量","c宠物栏数量","补签次数","特权1说明","特权2说明","特权3说明"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"1","6","337942","1","337943","1","680700","1","710001","1","336010","1","0","50","50","0","0","0","0","0","0","0","1","追梦西游2","感谢有你",""
"2","6","337942","1","337943","1","680700","1","710001","1","336010","1","0","25","75","0","0","0","0","0","0","0","2","追梦西游2","感谢有你",""
"3","6","337942","1","337943","1","680700","1","710001","1","336010","1","0","25","100","0","0","0","0","0","0","0","3","追梦西游2","感谢有你",""
"4","6","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","40","40","0","0","0","0","0","4","追梦西游2","感谢有你",""
"5","6","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","0","0","5","追梦西游2","感谢有你",""
"6","100","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","0","0","6","追梦西游2","感谢有你",""
"7","200","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","0","0","7","追梦西游2","感谢有你",""
"8","500","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","0","0","8","追梦西游2","感谢有你",""
"9","1000","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","0","0","9","追梦西游2","感谢有你",""
"10","1500","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","2","2","10","追梦西游2","感谢有你",""
"11","2000","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","2","4","10","追梦西游2","感谢有你",""
"12","4000","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","0","0","10","追梦西游2","感谢有你",""
"13","7000","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","2","2","10","追梦西游2","感谢有你",""
"14","10000","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","2","4","10","追梦西游2","感谢有你",""
"15","15000","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","2","4","10","追梦西游2","感谢有你",""
"16","20000","337942","1","337943","1","680700","1","710001","1","336010","1","0","0","100","0","40","0","0","0","2","4","10","追梦西游2","感谢有你",""
