"id","修炼技能1","修炼技能2","修炼技能3","修炼技能4","修炼技能5","修炼技能6","修炼技能7","修炼技能8","需求人物等级","需求工会等级","需求历史帮贡"
"0","150","100","100","100","150","100","100","100","45","1","0"
"1","240","160","160","160","240","160","160","160","50","1","0"
"2","360","240","240","240","360","240","240","240","55","1","0"
"3","510","340","340","340","510","340","340","340","55","1","0"
"4","690","460","460","460","690","460","460","460","60","1","0"
"5","900","600","600","600","900","600","600","600","60","1","150"
"6","1140","760","760","760","1140","760","760","760","60","1","300"
"7","1410","940","940","940","1410","940","940","940","60","1","450"
"8","1710","1140","1140","1140","1710","1140","1140","1140","60","1","600"
"9","2040","1360","1360","1360","2040","1360","1360","1360","65","1","750"
"10","2400","1600","1600","1600","2400","1600","1600","1600","65","1","900"
"11","2790","1860","1860","1860","2790","1860","1860","1860","70","2","1050"
"12","3285","2190","2190","2190","3285","2190","2190","2190","70","2","1200"
"13","4035","2690","2690","2690","4035","2690","2690","2690","80","2","1350"
"14","4215","2810","2810","2810","4215","2810","2810","2810","80","2","1500"
"15","4575","3050","3050","3050","4575","3050","3050","3050","85","2","1650"
"16","5265","3510","3510","3510","5265","3510","3510","3510","85","3","1800"
"17","5935","3890","3890","3890","5935","3890","3890","3890","90","3","1950"
"18","6335","4290","4290","4290","6335","4290","4290","4290","90","3","2100"
"19","6965","4710","4710","4710","6965","4710","4710","4710","95","3","2250"
"20","7600","4800","4800","4800","7600","4800","4800","4800","95","3","2400"
"21","8200","5000","5000","5000","8200","5000","5000","5000","100","4","2550"
"22","8800","5200","5200","5200","8800","5200","5200","5200","100","4","2700"
"23","9400","5400","5400","5400","9400","5400","5400","5400","105","4","2850"
"24","10000","5600","5600","5600","10000","5600","5600","5600","110","4","3000"
"25","10600","5800","5800","5800","10600","5800","5800","5800","115","5","3150"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
