"效果ID","造型id","颜色","技能1","技能2","技能3","技能4","技能1等级系数","技能2等级系数","技能3等级系数","技能4等级系数","技能1等级常数","技能2等级常数","技能3等级常数","技能4等级常数"
"6801","1020016","FFff46f0","509992","","","","1","","","","1","","",""
"6802","1020020","FFff46f0","509993","","","","1","","","","1","","",""
"6803","1020022","FFff46f0","509994","","","","1","","","","1","","",""
"6804","1020010","FFff46f0","509995","","","","1","","","","1","","",""
"6805","1020013","FFff46f0","509996","","","","1","","","","1","","",""
"6806","1020001","FFff46f0","509997","","","","1","","","","1","","",""
"6807","1020008","FFff46f0","509998","","","","1","","","","1","","",""
"6808","1020027","FFff46f0","509999","","","","1","","","","1","","",""
"6809","1020004","FFff46f0","510000","","","","1","","","","1","","",""
"6810","1020023","FFff46f0","510001","","","","1","","","","1","","",""
"6811","1020011","FFff46f0","510002","","","","1","","","","1","","",""
"6812","1020017","FFff46f0","510003","509016","","","1","1","","","1","","",""
"6813","1020007","FFff46f0","510004","509030","","","1","1","","","1","","",""
"6814","1020005","FFff46f0","510005","509019","","","1","1","","","1","","",""
"6815","1020019","FFff46f0","510006","509032","","","1","1","","","1","","",""
"6816","1020014","FFff46f0","510007","509015","","","1","1","","","1","","",""
"6817","1020026","FFff46f0","510008","509053","","","1","1","","","1","","",""
"6818","1020021","FFff46f0","510009","509067","","","1","1","","","1","","",""
"6819","1020015","FFff46f0","510010","509069","","","1","1","","","1","","",""
"6820","1020024","FFff46f0","510011","509069","","","1","1","","","1","","",""
"6821","1020018","FFff46f0","510012","509052","","","1","1","","","1","","",""
"6822","1020012","FFff46f0","510013","509060","","","1","1","","","1","","",""
"6823","1020009","FFff46f0","510014","509067","","","1","1","","","1","","",""
"6824","1020002","FFff46f0","510015","509067","","","1","1","","","1","","",""
"6825","1020006","FFff46f0","510016","509056","","","1","1","","","1","","",""
"6826","1020003","FFff46f0","510017","509069","","","1","1","","","1","","",""
"6827","1020027","FFff46f0","510018","","","","1","","","","1","","",""
"6828","1000106","FFff46f0","510019","","","","1","","","","1","","",""
"6830","1020121","FFff46f0","510020","","","","1","","","","1","","",""
"6831","1020128","FFff46f0","510021","","","","1","","","","1","","",""
"6832","1020131","FFff46f0","510022","","","","1","","","","1","","",""
"6833","1020133","FFff46f0","510023","","","","1","","","","1","","",""
"6834","1090217","FFff46f0","510024","","","","1","","","","1","","",""
"6835","1020122","FFff46f0","510025","","","","1","","","","1","","",""
"6836","1020119","FFff46f0","510026","","","","1","","","","1","","",""
"6837","1010130","FFff46f0","510027","","","","1","","","","1","","",""
"6838","1020116","FFff46f0","510028","","","","1","","","","1","","",""
"6839","1090226","FFff46f0","510029","","","","1","","","","1","","",""
"6840","1090233","FFff46f0","510030","","","","1","","","","1","","",""
"6841","1000109","FFff46f0","510031","","","","1","","","","1","","",""
"6842","1090174","FFff46f0","510032","","","","1","","","","1","","",""
"6843","1000108","FFff46f0","510033","","","","1","","","","1","","",""
"6844","1090224","FFff46f0","510034","","","","1","","","","1","","",""
"6845","1090237","FFff46f0","510035","","","","1","","","","1","","",""
"6846","1090222","FFff46f0","510036","","","","1","","","","1","","",""
"6847","1000101","FFff46f0","510037","","","","1","","","","1","","",""
"6848","0","FFff46f0","","","","","1","","","","1","","",""
