"道具id","造型id","名称","颜色","卡片时效","效果ID"
"610000","1020016","惠岸行者变身卡","ff50321a","60","6801"
"610001","1020020","铁扇公主变身卡","ff50321a","60","6802"
"610002","1020022","大当家变身卡","ff50321a","60","6803"
"610003","1020010","黑无常变身卡","ff50321a","60","6804"
"610004","1020013","小白龙变身卡","ff50321a","60","6805"
"610005","1020001","猪八戒变身卡","ff50321a","60","6806"
"610006","1020008","白象王变身卡","ff50321a","60","6807"
"610007","1020027","唐僧变身卡","ff50321a","60","6808"
"610008","1020004","紫霞仙子变身卡","ff50321a","60","6809"
"610009","1020023","嫦娥变身卡","ff50321a","60","6810"
"610010","1020011","阎罗王变身卡","ff50321a","60","6811"
"610011","1020017","挽歌公主变身卡","ff50321a","60","6812"
"610012","1020007","大鹏王变身卡","ff50321a","60","6813"
"610013","1020005","镇元子卡","ff50321a","60","6814"
"610014","1020019","红孩儿变身卡","ff50321a","60","6815"
"610015","1020014","北海龙王变身卡","ff50321a","60","6816"
"610016","1020026","空度禅师变身卡","ff50321a","60","6817"
"610017","1020021","牛魔王变身卡","ff50321a","60","6818"
"610018","1020015","东海龙王变身卡","ff50321a","60","6819"
"610019","1020024","杨戬变身卡","ff50321a","60","6820"
"610020","1020018","观音菩萨变身卡","ff50321a","60","6821"
"610021","1020012","地藏菩萨变身卡","ff50321a","60","6822"
"610022","1020009","九灵元圣变身卡","ff50321a","60","6823"
"610023","1020002","李天王变身卡","ff50321a","60","6824"
"610024","1020006","太白金星变身卡","ff50321a","60","6825"
"610025","1020003","孙悟空变身卡","ff50321a","60","6826"
"610026","1020027","唐僧","ff50321a","60","6827"
"610027","1020028","地藏菩萨卡","ff50321a","60","6828"
"610029","1020029","蝎子精卡","ff50321a","60","6830"
"610030","1020030","菩提老祖卡","ff50321a","60","6831"
"610031","1020031","太白金星卡","ff50321a","60","6832"
"610032","1020032","地涌夫人","ff50321a","60","6833"
"610033","1020033","白无常卡","ff50321a","60","6834"
"610034","1020122","镇元子卡","ff50321a","60","6835"
"610035","1020119","沙和尚卡","ff50321a","60","6836"
"610036","1010130","黑无常卡","ff50321a","60","6837"
"610037","1020116","玉面狐狸卡","ff50321a","60","6838"
"610038","1090226","老鼠精卡","ff50321a","60","6839"
"610039","1090233","晚歌公主卡","ff50321a","60","6840"
"610040","1000109","空度禅师卡","ff50321a","60","6841"
"610041","1090174","孙婆婆卡","ff50321a","60","6842"
"610042","1020114","月灵卡","ff50321a","60","6843"
"610043","1020132","金角大王","ff50321a","60","6844"
"610044","1090237","杏林仙卡","ff50321a","60","6845"
"610045","1090222","法明长老卡","ff50321a","60","6846"
"610046","1020125","程咬金卡","ff50321a","60","6847"
"640190","0","取消变身卡","ff50321a","0","6848"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
