"id","道具图标","商品类型","是否最大额度","商品名称","结果","渠道id","符石","赠送","价格","服务器id","单位图标","货币类型","附加代码","游戏内显示","商品","商品ID","点卡服开关","天数资源图","信用度","备注","充值次数"
"1","set:jiangli image:1","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c1","0","set:shopui image:9","0","appstore","1"
"2","set:jiangli image:2","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c2","1","set:shopui image:30","0","appstore","1"
"3","set:jiangli image:3","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c3","1","set:shopui image:60","0","appstore","-1"
"4","set:jiangli image:4","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c4","1","set:shopui image:90","0","appstore","-1"
"5","set:jiangli image:5","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c5","1","set:shopui image:120","0","appstore","-1"
"6","set:jiangli image:6","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c6","1","set:shopui image:180","0","appstore","-1"
"7","set:jiangli image:7","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c7","1","set:shopui image:300","0","appstore","-1"
"8","set:jiangli image:8","1","1","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c8","1","set:shopui image:360","0","appstore","-1"
"101","set:jiangli image:1","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c1","0","set:shopui image:9","0","国内安卓","1"
"102","set:jiangli image:2","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c2","1","set:shopui image:30","0","国内安卓","1"
"103","set:jiangli image:3","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c3","1","set:shopui image:60","0","国内安卓","-1"
"104","set:jiangli image:4","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c4","1","set:shopui image:90","0","国内安卓","-1"
"105","set:jiangli image:5","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c5","1","set:shopui image:120","0","国内安卓","-1"
"106","set:jiangli image:6","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c6","1","set:shopui image:180","0","国内安卓","-1"
"107","set:jiangli image:7","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c7","1","set:shopui image:300","0","国内安卓","-1"
"108","set:jiangli image:8","1","1","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","iap_immt3_c8","1","set:shopui image:360","0","国内安卓","-1"
"201","set:jiangli image:1","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","1","0","set:shopui image:9","0","酷派","1"
"202","set:jiangli image:2","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","2","1","set:shopui image:30","0","酷派","1"
"203","set:jiangli image:3","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","3","1","set:shopui image:60","0","酷派","-1"
"204","set:jiangli image:4","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","4","1","set:shopui image:90","0","酷派","-1"
"205","set:jiangli image:5","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","5","1","set:shopui image:120","0","酷派","-1"
"206","set:jiangli image:6","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","6","1","set:shopui image:180","0","酷派","-1"
"207","set:jiangli image:7","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","7","1","set:shopui image:300","0","酷派","-1"
"208","set:jiangli image:8","1","1","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","8","1","set:shopui image:360","0","酷派","-1"
"301","set:jiangli image:1","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","69930","0","set:shopui image:9","0","联想","1"
"302","set:jiangli image:2","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","69931","1","set:shopui image:30","0","联想","1"
"303","set:jiangli image:3","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","69932","1","set:shopui image:60","0","联想","-1"
"304","set:jiangli image:4","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","69933","1","set:shopui image:90","0","联想","-1"
"305","set:jiangli image:5","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","69934","1","set:shopui image:120","0","联想","-1"
"306","set:jiangli image:6","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","69935","1","set:shopui image:180","0","联想","-1"
"307","set:jiangli image:7","1","0","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","69936","1","set:shopui image:300","0","联想","-1"
"308","set:jiangli image:8","1","1","个符石","","locojoy","1000","0","1","0","set:MainControl10 image:yuan","1","","1","1000","69937","1","set:shopui image:360","0","联想","-1"
