"编号","宠物id","提升次数","成长提升","攻击资质提升","防御资质提升","体力资质提升","法力资质提升","速度资质提升","提升等级"
"1","900001","1","40","50","20","200","100","20","69"
"2","900001","2","40","50","20","200","100","20","89"
"3","900001","3","40","50","20","200","100","20","109"
"4","900002","1","40","50","20","200","100","20","69"
"5","900002","2","40","50","20","200","100","20","89"
"6","900002","3","40","50","20","200","100","20","109"
"7","900003","1","40","50","20","200","100","20","69"
"8","900003","2","40","50","20","200","100","20","89"
"9","900003","3","40","50","20","200","100","20","109"
"10","900004","1","40","50","20","200","100","20","69"
"11","900004","2","40","50","20","200","100","20","89"
"12","900004","3","40","50","20","200","100","20","109"
"13","900005","1","40","50","20","200","100","20","69"
"14","900005","2","40","50","20","200","100","20","89"
"15","900005","3","40","50","20","200","100","20","109"
"16","900006","1","40","50","20","200","100","20","69"
"17","900006","2","40","50","20","200","100","20","89"
"18","900006","3","40","50","20","200","100","20","109"
"19","900007","1","40","50","20","200","100","20","69"
"20","900007","2","40","50","20","200","100","20","89"
"21","900007","3","40","50","20","200","100","20","109"
"22","900008","1","40","50","20","200","100","20","69"
"23","900008","2","40","50","20","200","100","20","89"
"24","900008","3","40","50","20","200","100","20","109"
"25","900009","1","40","50","20","200","100","20","69"
"26","900009","2","40","50","20","200","100","20","89"
"27","900009","3","40","50","20","200","100","20","109"
"28","900010","1","40","50","20","200","100","20","69"
"29","900010","2","40","50","20","200","100","20","89"
"30","900010","3","40","50","20","200","100","20","109"
"31","900011","1","40","50","20","200","100","20","69"
"32","900011","2","40","50","20","200","100","20","89"
"33","900011","3","40","50","20","200","100","20","109"
"34","900012","1","40","50","20","200","100","20","69"
"35","900012","2","40","50","20","200","100","20","89"
"36","900012","3","40","50","20","200","100","20","109"
"37","900501","1","40","50","20","200","100","20","69"
"38","900501","2","40","50","20","200","100","20","89"
"39","900501","3","40","50","20","200","100","20","109"
"40","900502","1","40","50","20","200","100","20","69"
"41","900502","2","40","50","20","200","100","20","89"
"42","900502","3","40","50","20","200","100","20","109"
"43","900503","1","40","50","20","200","100","20","69"
"44","900503","2","40","50","20","200","100","20","89"
"45","900503","3","40","50","20","200","100","20","109"
"46","900504","1","40","50","20","200","100","20","69"
"47","900504","2","40","50","20","200","100","20","89"
"48","900504","3","40","50","20","200","100","20","109"
"49","900505","1","40","50","20","200","100","20","69"
"50","900505","2","40","50","20","200","100","20","89"
"51","900505","3","40","50","20","200","100","20","109"
"52","900506","1","40","50","20","200","100","20","69"
"53","900506","2","40","50","20","200","100","20","89"
"54","900506","3","40","50","20","200","100","20","109"
"55","900507","1","40","50","20","200","100","20","69"
"56","900507","2","40","50","20","200","100","20","89"
"57","900507","3","40","50","20","200","100","20","109"
"58","900508","1","40","50","20","200","100","20","69"
"59","900508","2","40","50","20","200","100","20","89"
"60","900508","3","40","50","20","200","100","20","109"
"61","900509","1","40","50","20","200","100","20","69"
"62","900509","2","40","50","20","200","100","20","89"
"63","900509","3","40","50","20","200","100","20","109"
"64","900510","1","40","50","20","200","100","20","69"
"65","900510","2","40","50","20","200","100","20","89"
"66","900510","3","40","50","20","200","100","20","109"
"67","900511","1","40","50","20","200","100","20","69"
"68","900511","2","40","50","20","200","100","20","89"
"69","900511","3","40","50","20","200","100","20","109"
"70","900512","1","40","50","20","200","100","20","69"
"71","900512","2","40","50","20","200","100","20","89"
"72","900512","3","40","50","20","200","100","20","109"
"73","900513","1","40","50","20","200","100","20","69"
"74","900513","2","40","50","20","200","100","20","89"
"75","900513","3","40","50","20","200","100","20","109"
"76","900514","1","40","50","20","200","100","20","69"
"77","900514","2","40","50","20","200","100","20","89"
"78","900514","3","40","50","20","200","100","20","109"
"79","900515","1","40","50","20","200","100","20","69"
"80","900515","2","40","50","20","200","100","20","89"
"81","900515","3","40","50","20","200","100","20","109"
"82","900516","1","40","50","20","200","100","20","69"
"83","900516","2","40","50","20","200","100","20","89"
"84","900516","3","40","50","20","200","100","20","109"
"85","900517","1","40","50","20","200","100","20","69"
"86","900517","2","40","50","20","200","100","20","89"
"87","900517","3","40","50","20","200","100","20","109"
"88","900518","1","40","50","20","200","100","20","69"
"89","900518","2","40","50","20","200","100","20","89"
"90","900518","3","40","50","20","200","100","20","109"
"91","900519","1","40","50","20","200","100","20","69"
"92","900519","2","40","50","20","200","100","20","89"
"93","900519","3","40","50","20","200","100","20","109"
"94","900520","1","40","50","20","200","100","20","69"
"95","900520","2","40","50","20","200","100","20","89"
