"称谓id","聊天可见","有效时间","称谓名","category","buff","species","description","fontcolor","获得方式","头像特效","称谓特效"
"24","false","86400","三界菁英","活动称谓","0","","恭喜少侠所在队伍荣获“门派闯关”前十的好成绩。","255,7,216,206","","0",""
"259","false","-1","帮主","帮派称谓","0","（会显示帮派名称）","<T t=""称谓信息："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""江湖由人组成，帮派就是因为大家而存在。"" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""称谓获取方式："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""创建帮派后自动获得。"" c=""ff553923"" f=""simhei-11""></T>","255,7,216,206","","0",""
"260","false","-1","副帮主","帮派称谓","0","","<T t=""称谓信息："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""江湖由人组成，帮派就是因为大家而存在。"" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""称谓获取方式："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""由帮主任命后获得。"" c=""ff553923"" f=""simhei-11""></T>","255,7,216,206","","0",""
"261","false","-1","青龙堂堂主","帮派称谓","0","","<T t=""称谓信息："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""江湖由人组成，帮派就是因为大家而存在。"" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""称谓获取方式："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""由帮主或副帮主任命后获得。"" c=""ff553923"" f=""simhei-11""></T>","255,7,216,206","","0",""
"262","false","-1","白虎堂堂主","帮派称谓","0","","<T t=""称谓信息："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""江湖由人组成，帮派就是因为大家而存在。"" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""称谓获取方式："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""由帮主或副帮主任命后获得。"" c=""ff553923"" f=""simhei-11""></T>","255,7,216,206","","0",""
"263","false","-1","玄武堂堂主","帮派称谓","0","","<T t=""称谓信息："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""江湖由人组成，帮派就是因为大家而存在。"" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""称谓获取方式："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""由帮主或副帮主任命后获得。"" c=""ff553923"" f=""simhei-11""></T>","255,7,216,206","","0",""
"264","false","-1","朱雀堂堂主","帮派称谓","0","","<T t=""称谓信息："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""江湖由人组成，帮派就是因为大家而存在。"" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""称谓获取方式："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""由帮主或副帮主任命后获得。"" c=""ff553923"" f=""simhei-11""></T>","255,7,216,206","","0",""
"265","false","-1","青龙堂精英","帮派称谓","0","","<T t=""称谓信息："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""江湖由人组成，帮派就是因为大家而存在。"" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""称谓获取方式："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""由帮主、副帮主、堂主任命后获得。"" c=""ff553923"" f=""simhei-11""></T>","255,7,216,206","","0",""
"266","false","-1","青龙堂左护法","帮派称谓","0","","<T t=""称谓信息："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""江湖由人组成，帮派就是因为大家而存在。"" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""称谓获取方式："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""由帮主、副帮主、堂主任命后获得。"" c=""ff553923"" f=""simhei-11""></T>","255,7,216,206","","0",""
"267","false","-1","青龙堂右护法","帮派称谓","0","","<T t=""称谓信息："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""江湖由人组成，帮派就是因为大家而存在。"" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""称谓获取方式："" c=""ff553923"" f=""simhei-11""></T><B></B><T t=""由帮主、副帮主、堂主任命后获得。"" c=""ff553923"" f=""simhei-11""></T>","255,7,216,206","","0",""
