"编号","显示名","类型","宝石类型","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","镶嵌效果","镶嵌部位","合成宝石ID","合成成功率","tips特效表情","tips图标","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","属性名1","属性值1","属性名2","属性值2","属性名3","属性值3","属性名4","属性值4","属性名5","属性值5","属性名6","属性值6","增加躲闪","增加火系法术吸收几率","增加金系法术吸收几率","增加命中","增加木系法术吸收几率","增加内功防御","增加内功伤害","增加水系法术吸收几率","增加速度","增加土系法术吸收几率","增加外功防御","增加外功伤害","增加真气上限","增加最大生命上限","属性1ID","属性1数值","属性2ID","属性2数值","属性3ID","属性3数值","属性4ID","属性4数值","属性6ID","属性6数值","对应装备类型1","对应装备类型2","对应装备类型3","对应装备类型4","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","可否分解","分解成道具","分解数量","是否稀有","摆摊冻结时间","寻路特殊处理","是否可以一键分解","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5"
"35001","1级光芒石","5","1","FF6DDCF6","1","1256","颗","1","10","3000","true","0","0","效果：","气血 +40","35010","100","","stone8","0","1000","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：10级以上衣甲、腰带"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""聚天地精华而成的宝石，通体散发着夺目的光彩，令人不敢直视。"" c=""FFFFF2DF"" f=""simhei-11""></T>","气血 +40","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","1级•光芒石","3","9","","","60","40","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","40","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35002","1级太阳石","5","2","FF6DDCF6","1","1257","颗","1","10","3001","true","0","0","效果：","物理伤害 +8","35011","100","","stone3","0","1001","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：10级以上武器、头盔"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""从上古时期流传至今的“太阳之石”，附有神力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","物理伤害 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","1级•太阳石","3","9","","","130","8","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","8","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35003","1级月亮石","5","3","FF6DDCF6","1","1258","颗","1","10","3002","true","0","0","效果：","物理防御 +12","35012","100","","stone5","0","1002","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：10级以上衣甲、头盔"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""月宫流落到人间的宝石，吸取了月之精华。"" c=""FFFFF2DF"" f=""simhei-11""></T>","物理防御 +12","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","1级•月亮石","3","9","","","140","12","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","12","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35004","1级舍利子","5","4","FF6DDCF6","1","1259","颗","1","10","3003","true","0","0","效果：","法术伤害 +6","35013","100","","stone4","0","1003","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：10级以上武器、项链"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""佛在修行中凝结而成的宝石，充溢着无穷的灵力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","法术伤害 +6","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","1级•舍利子","3","9","","","150","24","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","6","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35005","1级翡翠石","5","5","FF6DDCF6","1","1260","颗","1","10","3004","true","0","0","效果：","法术防御 +8","35014","100","","stone6","0","1004","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：10级以上衣甲、项链"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""自然孕育出的绿色宝石，布满变幻莫测的纹路。"" c=""FFFFF2DF"" f=""simhei-11""></T>","法术防御 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","1级•翡翠石","3","9","","","160","8","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","8","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35006","1级黑宝石","5","6","FF6DDCF6","1","1261","颗","1","10","3005","true","0","0","效果：","速度 +8","35015","100","","stone7","0","1005","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：10级以上腰带、鞋子"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""坚硬无比的宝石：表面看起来毫不起眼，实际却蕴涵着巨大力量。"" c=""FFFFF2DF"" f=""simhei-11""></T>","速度 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","1级•黑宝石","3","9","","","200","8","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","8","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35007","1级昆仑玉","5","7","FF6DDCF6","1","1262","颗","1","10","3006","true","0","0","效果：","治疗强度 +8","35016","100","","stone9","0","1006","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：10级以上武器、衣甲"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""质地细润，淡雅清爽，产自昆仑山之东，抚之心旷神怡。"" c=""FFFFF2DF"" f=""simhei-11""></T>","治疗强度 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","1级•昆仑玉","3","9","","","170","32","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","8","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35008","1级红纹石","5","8","FF6DDCF6","1","1263","颗","1","10","3007","true","0","0","效果：","封印命中 +6","35017","100","","stone8","0","1007","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：10级以上武器"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""镌刻神秘纹路的火红石头，冷静的头脑才能看出蕴含的魔力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","封印命中 +6","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","1级•红纹石","3","9","","","180","24","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180","6","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35009","1级神秘石","5","9","FF6DDCF6","1","1264","颗","1","10","3008","true","0","0","效果：","封印抵抗 +4","35018","100","","stone3","0","1008","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：10级以上腰带、鞋子"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""无人知道来历的宝石，对外界施予的咒术有一股神秘的抗力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","封印抵抗 +4","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","1级•神秘石","3","9","","","190","4","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","4","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35010","2级光芒石","5","1","FF6DDCF6","1","1256","颗","2","10","3009","true","0","0","效果：","气血 +80","35019","100","","stone5","0","1009","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：20级以上衣甲、腰带"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""聚天地精华而成的宝石，通体散发着夺目的光彩，令人不敢直视。"" c=""FFFFF2DF"" f=""simhei-11""></T>","气血 +80","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","2级•光芒石","3","9","","","60","80","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","80","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
