"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","宠物装备位置","恢复宠物忠诚度","宠物装备属性id","宠物装备属性最小值","宠物装备属性最大值","宠物装备技能","分解奖励道具id","分解奖励道具数量","使用次数限制","可否给予战斗中对象","使用后是否消耗","属性名1","属性名2","属性名3","属性名4","属性名5","属性名6","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","摆摊冻结时间","是否稀有","寻路特殊处理","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5"
"219001","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","28,28","28,28","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219002","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","29,29","29,29","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219003","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","30,30","30,30","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219004","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","31,31","31,31","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219005","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","32,32","32,32","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219006","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","33,33","33,33","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219007","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","34,34","34,34","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219008","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","35,35","35,35","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219009","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","36,36","36,36","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219010","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","37,37","37,37","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219011","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","38,38","38,38","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219012","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","39,39","39,39","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219013","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","40,40","40,40","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
