"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","道具生效时间","道具过期时间","使用后持续时间（s）","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","加锁时能否消耗","需求锻造等级","需求裁缝等级","需求炼金等级","临时类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","是否稀有","摆摊冻结时间","寻路特殊处理","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5","是否可回收","回收道具ID","回收道具数量","可否分解","分解成道具","分解数量"
"111111","96","下面用于显示：编号1","ff6ddcf6","4","1158","个","0","90","5500","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","大量的金钱。","金钱","","0","使用方法：直接获得金钱","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"36984","96","金钱","ff6ddcf6","4","1186","个","0","90","5500","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","三界中通行的货币。可以购买别人摊位上的好东西，有时候还可以在商城里买到一些珍贵物品。","金钱","","0","使用方法：直接获得金钱","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"36985","96","经验","ff6ddcf6","4","1177","个","0","90","5500","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","经验","经验","","0","使用方法：直接获得经验","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"330101","4262","$parameter1$银币","ff6ddcf6","4","1185","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","玩家个人的货币，无法流通。用于提升角色能力。","金钱","","0","使用方法：直接获得金钱","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"330102","4262","$parameter1$经验","ff6ddcf6","4","1177","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","经验","经验","","0","使用方法：直接获得经验","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"330103","4262","$parameter1$仙玉","ff6ddcf6","4","782","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","仙玉","仙玉","","0","使用方法：直接获得经验","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"330104","4262","$parameter1$金币","ff6ddcf6","4","1186","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","三界中通行的货币。可以购买别人摊位上的好东西，有时候还可以在商城里买到一些珍贵物品。","摆摊交易","","0","使用方法：直接获得金币","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"330105","4262","$parameter1$VIP经验","ff6ddcf6","4","1207","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","VIP经验","VIP经验","","0","使用方法：直接获得金币","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"330000","4262","金币","ff6ddcf6","4","1186","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","三界中通行的货币。可以购买别人摊位上的好东西，有时候还可以在商城里买到一些珍贵物品。","摆摊交易","","0","使用方法：直接获得金币","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"330100","4262","帮派技能","ff6ddcf6","4","233","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","学习帮派技能，可以烹饪食物或炼制三级药品","制作烹饪或炼药","","0","","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"111137","96","下面用于福利面板等级礼包","ff6ddcf6","4","1158","个","0","90","5500","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","9999","0","0","5000000","大量的金钱。","金钱","","0","使用方法：直接获得金钱","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"334000","166","升级礼包","fffff2df","1","1252","个","0","1","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","欢迎进入追梦西游2，只要升级，好礼源源不断！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334001","166","10级礼包","fffff2df","1","1252","个","0","10","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到10级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334002","166","20级礼包","fffff2df","1","1252","个","0","20","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到20级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334003","166","30级礼包","fffff2df","1","1252","个","0","30","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到30级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334004","166","40级礼包","fffff2df","1","1252","个","0","40","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到40级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334005","166","50级礼包","fffff2df","1","1252","个","0","50","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到50级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334006","166","60级礼包","fffff2df","1","1252","个","0","60","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到60级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334007","166","70级礼包","fffff2df","1","1252","个","0","70","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到70级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334008","166","80级礼包","fffff2df","1","1252","个","0","80","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到80级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334009","166","90级礼包","fffff2df","1","1252","个","0","90","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到90级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334010","166","100级礼包","fffff2df","1","1252","个","0","100","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到90级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334011","166","110级礼包","fffff2df","1","1252","个","0","110","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到90级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334012","166","120级礼包","fffff2df","1","1252","个","0","120","1996","false","0","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","0","努力升到90级，打开获得奖励！","打开获得奖励","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
