"id","时装模型","消耗道具","道具数量","buff","图标","时装名称","名称颜色","角色名"
"1","3000001","339004","10","900001","890","花\n开\n富\n贵","ff099B17","剑侠客"
"2","3001001","339004","10","900001","895","花\n开\n富\n贵","ff099B17","剑侠客"
"3","3002001","339004","10","900001","893","萌\n达\n鸭","ff099B17","剑侠客"
"4","3003001","339004","10","900001","889","萌\n达\n鸭","ff099B17","剑侠客"
"5","3004001","339004","10","900001","887","萌\n达\n鸭","ff099B17","剑侠客"
"6","3005001","339004","10","900001","894","萌\n达\n鸭","ff099B17","剑侠客"
"7","3000002","339004","10","900001","890","花\n开\n富\n贵","ff099B17","逍遥生"
"8","3001002","339004","10","900001","895","花\n开\n富\n贵","ff099B17","逍遥生"
"9","3002002","339004","10","900001","893","萌\n达\n鸭","ff099B17","逍遥生"
"10","3003002","339004","10","900001","889","萌\n达\n鸭","ff099B17","逍遥生"
"11","3004002","339004","10","900001","887","萌\n达\n鸭","ff099B17","逍遥生"
"12","3005002","339004","10","900001","894","萌\n达\n鸭","ff099B17","逍遥生"
"13","3000003","339004","10","900001","890","花\n开\n富\n贵","ff099B17","漠少君"
"14","3001003","339004","10","900001","895","花\n开\n富\n贵","ff099B17","漠少君"
"15","3002003","339004","10","900001","893","萌\n达\n鸭","ff099B17","漠少君"
"16","3003003","339004","10","900001","889","萌\n达\n鸭","ff099B17","漠少君"
"17","3004003","339004","10","900001","887","萌\n达\n鸭","ff099B17","漠少君"
"18","3005003","339004","10","900001","894","萌\n达\n鸭","ff099B17","漠少君"
"19","3000004","339004","10","900001","890","花\n开\n富\n贵","ff099B17","飞燕女"
"20","3001004","339004","10","900001","895","花\n开\n富\n贵","ff099B17","飞燕女"
"21","3002004","339004","10","900001","893","萌\n达\n鸭","ff099B17","飞燕女"
"22","3003004","339004","10","900001","889","萌\n达\n鸭","ff099B17","飞燕女"
"23","3004004","339004","10","900001","887","萌\n达\n鸭","ff099B17","飞燕女"
"24","3005004","339004","10","900001","894","萌\n达\n鸭","ff099B17","飞燕女"
"25","3000005","339004","10","900001","890","花\n开\n富\n贵","ff099B17","英女侠"
"26","3001005","339004","10","900001","895","花\n开\n富\n贵","ff099B17","英女侠"
"27","3002005","339004","10","900001","893","萌\n达\n鸭","ff099B17","英女侠"
"28","3003005","339004","10","900001","889","萌\n达\n鸭","ff099B17","英女侠"
"29","3004005","339004","10","900001","887","萌\n达\n鸭","ff099B17","英女侠"
"30","3005005","339004","10","900001","894","萌\n达\n鸭","ff099B17","英女侠"
"31","3000006","339004","10","900001","890","花\n开\n富\n贵","ff099B17","巫蛮儿"
"32","3001006","339004","10","900001","895","花\n开\n富\n贵","ff099B17","巫蛮儿"
"33","3002006","339004","10","900001","893","萌\n达\n鸭","ff099B17","巫蛮儿"
"34","3003006","339004","10","900001","889","萌\n达\n鸭","ff099B17","巫蛮儿"
"35","3004006","339004","10","900001","887","萌\n达\n鸭","ff099B17","巫蛮儿"
"36","3005006","339004","10","900001","894","萌\n达\n鸭","ff099B17","巫蛮儿"
"37","3000007","339004","10","900001","890","花\n开\n富\n贵","ff099B17","龙太子"
"38","3001007","339004","10","900001","895","花\n开\n富\n贵","ff099B17","龙太子"
"39","3002007","339004","10","900001","893","萌\n达\n鸭","ff099B17","龙太子"
"40","3003007","339004","10","900001","889","萌\n达\n鸭","ff099B17","龙太子"
"41","3004007","339004","10","900001","887","萌\n达\n鸭","ff099B17","龙太子"
"42","3005007","339004","10","900001","894","萌\n达\n鸭","ff099B17","龙太子"
"43","3000008","339004","10","900001","890","花\n开\n富\n贵","ff099B17","神天兵"
"44","3001008","339004","10","900001","895","花\n开\n富\n贵","ff099B17","神天兵"
"45","3002008","339004","10","900001","893","萌\n达\n鸭","ff099B17","神天兵"
"46","3003008","339004","10","900001","889","萌\n达\n鸭","ff099B17","神天兵"
"47","3004008","339004","10","900001","887","萌\n达\n鸭","ff099B17","神天兵"
"48","3005008","339004","10","900001","894","萌\n达\n鸭","ff099B17","神天兵"
"49","3000009","339004","10","900001","890","花\n开\n富\n贵","ff099B17","羽灵神"
"50","3001009","339004","10","900001","895","花\n开\n富\n贵","ff099B17","羽灵神"
"51","3002009","339004","10","900001","893","萌\n达\n鸭","ff099B17","羽灵神"
"52","3003009","339004","10","900001","889","萌\n达\n鸭","ff099B17","羽灵神"
"53","3004009","339004","10","900001","887","萌\n达\n鸭","ff099B17","羽灵神"
"54","3005009","339004","10","900001","894","萌\n达\n鸭","ff099B17","羽灵神"
"55","3000010","339004","10","900001","890","花\n开\n富\n贵","ff099B17","舞天姬"
"56","3001010","339004","10","900001","895","花\n开\n富\n贵","ff099B17","舞天姬"
"57","3002010","339004","10","900001","893","萌\n达\n鸭","ff099B17","舞天姬"
"58","3003010","339004","10","900001","889","萌\n达\n鸭","ff099B17","舞天姬"
"59","3004010","339004","10","900001","887","萌\n达\n鸭","ff099B17","舞天姬"
"60","3005010","339004","10","900001","894","萌\n达\n鸭","ff099B17","舞天姬"
"61","3000011","339004","10","900001","890","花\n开\n富\n贵","ff099B17","梦玲珑"
"62","3001011","339004","10","900001","895","花\n开\n富\n贵","ff099B17","梦玲珑"
"63","3002011","339004","10","900001","893","萌\n达\n鸭","ff099B17","梦玲珑"
"64","3003011","339004","10","900001","889","萌\n达\n鸭","ff099B17","梦玲珑"
"65","3004011","339004","10","900001","887","萌\n达\n鸭","ff099B17","梦玲珑"
"66","3005011","339004","10","900001","894","萌\n达\n鸭","ff099B17","梦玲珑"
"67","3000012","339004","10","900001","890","花\n开\n富\n贵","ff099B17","玄彩娥"
"68","3001012","339004","10","900001","895","花\n开\n富\n贵","ff099B17","玄彩娥"
"69","3002012","339004","10","900001","893","萌\n达\n鸭","ff099B17","玄彩娥"
"70","3003012","339004","10","900001","889","萌\n达\n鸭","ff099B17","玄彩娥"
"71","3004012","339004","10","900001","887","萌\n达\n鸭","ff099B17","玄彩娥"
"72","3005012","339004","10","900001","894","萌\n达\n鸭","ff099B17","玄彩娥"
"73","3000013","339004","10","900001","890","花\n开\n富\n贵","ff099B17","杀破狼"
"74","3001013","339004","10","900001","895","花\n开\n富\n贵","ff099B17","杀破狼"
"75","3002013","339004","10","900001","893","萌\n达\n鸭","ff099B17","杀破狼"
"76","3003013","339004","10","900001","889","萌\n达\n鸭","ff099B17","杀破狼"
"77","3004013","339004","10","900001","887","萌\n达\n鸭","ff099B17","杀破狼"
"78","3005013","339004","10","900001","894","萌\n达\n鸭","ff099B17","杀破狼"
"79","3000014","339004","10","900001","890","花\n开\n富\n贵","ff099B17","虎头怪"
"80","3001014","339004","10","900001","895","花\n开\n富\n贵","ff099B17","虎头怪"
"81","3002014","339004","10","900001","893","萌\n达\n鸭","ff099B17","虎头怪"
"82","3003014","339004","10","900001","889","萌\n达\n鸭","ff099B17","虎头怪"
"83","3004014","339004","10","900001","887","萌\n达\n鸭","ff099B17","虎头怪"
"84","3005014","339004","10","900001","894","萌\n达\n鸭","ff099B17","虎头怪"
"85","3000015","339004","10","900001","890","花\n开\n富\n贵","ff099B17","巨魔王"
"86","3001015","339004","10","900001","895","花\n开\n富\n贵","ff099B17","巨魔王"
"87","3002015","339004","10","900001","893","萌\n达\n鸭","ff099B17","巨魔王"
"88","3003015","339004","10","900001","889","萌\n达\n鸭","ff099B17","巨魔王"
"89","3004015","339004","10","900001","887","萌\n达\n鸭","ff099B17","巨魔王"
"90","3005015","339004","10","900001","894","萌\n达\n鸭","ff099B17","巨魔王"
"91","3000016","339004","10","900001","890","花\n开\n富\n贵","ff099B17","骨精灵"
"92","3001016","339004","10","900001","895","花\n开\n富\n贵","ff099B17","骨精灵"
"93","3002016","339004","10","900001","893","萌\n达\n鸭","ff099B17","骨精灵"
"94","3003016","339004","10","900001","889","萌\n达\n鸭","ff099B17","骨精灵"
"95","3004016","339004","10","900001","887","萌\n达\n鸭","ff099B17","骨精灵"
"96","3005016","339004","10","900001","894","萌\n达\n鸭","ff099B17","骨精灵"
"97","3000017","339004","10","900001","890","花\n开\n富\n贵","ff099B17","狐美人"
