"道具id","消耗货币类型","消耗货币数量","可转换道具1id","可转换道具2id","可转换道具3id","可转换道具4id","可转换道具5id","可转换道具6id","可转换道具7id","可转换道具8id","可转换道具9id","可转换道具10id","可转换道具11id","可转换道具12id","可转换道具13id","可转换道具14id","可转换道具15id","可转换道具16id","可转换道具17id",""
"6060101","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060102","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060103","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060104","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060105","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060106","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060107","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060108","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060109","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060110","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060111","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060112","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060113","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060114","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060115","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060116","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6060117","2","10000","6060101","6060102","6060103","6060104","6060105","6060106","6060107","6060108","6060109","6060110","6060111","6060112","6060113","6060114","6060115","6060116","6060117",""
"6070101","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
