"服务id","名称","所属副本ID","初始状态","状态改变1","状态改变2","状态改变3","状态改变4"
"100311","交宝石","110","190001","","","",""
"100312","交食物","110","190002","","","",""
"100313","答题","110","190003","","","",""
"100314","战斗","110","190004","","","",""
"100315","战斗","110","190005","","","",""
"100316","战斗","110","190006","","","",""
"100317","战斗","110","190007","","","",""
"100318","战斗","110","190008","","","",""
"100319","战斗","110","190009","","","",""
"100320","战斗","110","190010","","","",""
"100321","战斗","110","190011","","","",""
"100322","战斗","110","190012","","","",""
"100323","战斗","110","190013","","","",""
"100324","战斗","110","190014","","","",""
"100325","战斗","110","190015","","","",""
"100326","战斗","110","190016","","","",""
"100327","战斗","110","190017","","","",""
"100328","战斗","110","190018","","","",""
"100329","战斗","110","190019","","","",""
"100330","战斗","110","190020","","","",""
"100331","战斗","110","190021","","","",""
"100332","战斗","110","190022","","","",""
"100333","战斗","110","190023","","","",""
"100334","战斗","110","190024","","","",""
"100335","战斗","110","190025","","","",""
"100336","战斗","110","190026","","","",""
"100337","战斗","110","190027","","","",""
"100338","战斗","110","190028","","","",""
"100339","战斗","110","190029","","","",""
"100340","交宝石","110","190030","","","",""
"100341","交宝石","110","190031","","","",""
"100342","交食物","110","190032","","","",""
"100343","交食物","110","190033","","","",""
"100351","交宝石","111","200001","","","",""
"100352","交食物","111","200002","","","",""
"100353","答题","111","200003","","","",""
"100354","战斗","111","200004","","","",""
"100355","战斗","111","200005","","","",""
"100356","战斗","111","200006","","","",""
"100357","战斗","111","200007","","","",""
"100358","战斗","111","200008","","","",""
"100359","战斗","111","200009","","","",""
"100360","战斗","111","200010","","","",""
"100361","战斗","111","200011","","","",""
"100362","战斗","111","200012","","","",""
"100363","战斗","111","200013","","","",""
"100364","战斗","111","200014","","","",""
"100365","战斗","111","200015","","","",""
"100366","战斗","111","200016","","","",""
"100367","战斗","111","200017","","","",""
"100368","战斗","111","200018","","","",""
"100369","战斗","111","200019","","","",""
"100370","战斗","111","200020","","","",""
"100371","战斗","111","200021","","","",""
"100372","战斗","111","200022","","","",""
"100373","战斗","111","200023","","","",""
"100374","战斗","111","200024","","","",""
"100375","战斗","111","200025","","","",""
"100376","战斗","111","200026","","","",""
"100377","战斗","111","200027","","","",""
"100378","战斗","111","200028","","","",""
"100379","战斗","111","200029","","","",""
"100380","交宝石","111","200030","","","",""
"100381","交宝石","111","200031","","","",""
"100382","交食物","111","200032","","","",""
"100383","交食物","111","200033","","","",""
"100510","交宝石","112","210001","","","",""
"100511","交宝石","112","210002","","","",""
"100512","交宝石","112","210003","","","",""
"100513","交食物","112","210004","","","",""
"100514","交食物","112","210005","","","",""
"100515","交食物","112","210006","","","",""
"100516","答题","112","210007","","","",""
"100517","战斗","112","210008","","","",""
"100518","战斗","112","210009","","","",""
"100519","战斗","112","210010","","","",""
"100520","战斗","112","210011","","","",""
"100521","战斗","112","210012","","","",""
"100522","战斗","112","210013","","","",""
"100523","战斗","112","210014","","","",""
"100524","战斗","112","210015","","","",""
"100525","战斗","112","210016","","","",""
"100526","战斗","112","210017","","","",""
"100527","战斗","112","210018","","","",""
"100528","战斗","112","210019","","","",""
"100529","战斗","112","210020","","","",""
"100530","战斗","112","210021","","","",""
"100531","战斗","112","210022","","","",""
"100532","战斗","112","210023","","","",""
"100533","战斗","112","210024","","","",""
"100534","战斗","112","210025","","","",""
"100535","战斗","112","210026","","","",""
"100536","战斗","112","210027","","","",""
"100537","战斗","112","210028","","","",""
"100538","战斗","112","210029","","","",""
"100539","战斗","112","210030","","","",""
"100540","战斗","112","210031","","","",""
"100541","战斗","112","210032","","","",""
"100542","战斗","112","210033","","","",""
