"ID","公会职务名称","职务等级","职务名额上限","是否需要标记名额数量","修改公会名称（会长）","设置公会是否可自动接收学徒（会长）","修改公会宗旨（会长、副会长）","公会药房选择产药方式（会长、副会长）","清空申请列表（会长、副会长）","任命（会长、副会长、军团长）","禁言（会长、副会长、军团长）","踢出（会长、副会长、军团长）","公会群发消息（会长、副会长、军团长）","领取公会分红（公会所有人员，学徒除外）","参与公会竞赛（公会所有人员，学徒除外）","邀请成员（公会所有人员）","使用公会频道（公会所有人员）","完成公会任务（公会所有人员）","参与公会活动（公会所有人员）","享受公会福利（公会所有人员）"
"1","帮主","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","副帮主","2","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"3","青龙堂主","3","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"4","白虎堂主","3","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"5","朱雀堂主","3","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"6","玄武堂主","3","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"7","青龙精英","4","60","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"8","白虎精英","4","60","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"9","朱雀精英","4","60","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"10","玄武精英","4","60","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"11","帮众","4","","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
