"定时活动配置表id","注释（策划备注）","活动开始时间","距离活动开始间隔时间","间隔刷新时间","触发时间随机","刷新时系统提示信息编号","刷新方式","补怪数量上限","补怪持续时间","刷新列表","刷新列表数量","每种NPC数量","刷新场景","刷新场景个数","怪物存在时间","击杀奖励个数","奖励ID","匹配等级方式","奖励个数超过提示编号","是否组队","组队人数要求","需求等级下限","需求等级上限","次数","补怪方式","对应事件刷新ID","观战","消失","对应活动表ID","分级奖励","在线人数刷新","匹配秒数","是否匹配","次数击杀","分级次数","刷新控制","刷新控制总数量","延迟秒数","延迟刷怪提示"
"230001","金宝箱","00:05:00","","3600","","170015","0","1","0","183706","1","50","1614@8;1615@8;1616@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230002","金宝箱","00:05:00","","3600","","170015","0","1","0","183706","1","50","1614@8;1615@8;1616@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230003","金宝箱","00:05:00","","3600","","170015","0","1","0","183706","1","50","1614@8;1615@8;1616@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230004","金宝箱","00:05:00","","3600","","170015","0","1","0","183706","1","50","1614@8;1615@8;1616@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230005","金宝箱","00:05:00","","3600","","170015","0","1","0","183706","1","50","1614@8;1615@8;1616@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230006","金宝箱","00:05:00","","3600","","170015","0","1","0","183706","1","50","1614@8;1615@8;1616@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230007","金宝箱","00:05:00","","3600","","170015","0","1","0","183706","1","50","1614@8;1615@8;1616@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230008","银宝箱","00:05:00","","3600","","170016","0","1","0","183707","1","10","1609@8;1610@8;1611@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230009","银宝箱","00:05:00","","3600","","170016","0","1","0","183707","1","10","1609@8;1610@8;1611@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230010","银宝箱","00:05:00","","3600","","170016","0","1","0","183707","1","10","1609@8;1610@8;1611@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230011","银宝箱","00:05:00","","3600","","170016","0","1","0","183707","1","10","1609@8;1610@8;1611@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230012","银宝箱","00:05:00","","3600","","170016","0","1","0","183707","1","10","1609@8;1610@8;1611@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230013","银宝箱","00:05:00","","3600","","170016","0","1","0","183707","1","10","1609@8;1610@8;1611@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"230014","银宝箱","00:05:00","","3600","","170016","0","1","0","183707","1","10","1609@8;1610@8;1611@8","3","3600","0","0","","0","0","0","1","300","0","1","","0","0","230","","","","","","","","","",""
"270001","大雁塔1星","00:00:05","","1800","","192129","0","0","0","250000,250001","2","20","5001@8;5002@8","2","1200","30","6993","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270002","大雁塔1星","00:00:05","","1800","","192129","0","0","0","250000,250001","2","20","5001@8;5002@8","2","1200","30","6993","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270003","大雁塔1星","00:00:05","","1800","","192129","0","0","0","250000,250001","2","20","5001@8;5002@8","2","1200","30","6993","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270004","大雁塔1星","00:00:05","","1800","","192129","0","0","0","250000,250001","2","20","5001@8;5002@8","2","1200","30","6993","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270005","大雁塔1星","00:00:05","","1800","","192129","0","0","0","250000,250001","2","20","5001@8;5002@8","2","1200","30","6993","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270006","大雁塔1星","00:00:05","","1800","","192129","0","0","0","250000,250001","2","20","5001@8;5002@8","2","1200","30","6993","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270007","大雁塔1星","00:00:05","","1800","","192129","0","0","0","250000,250001","2","20","5001@8;5002@8","2","1200","30","6993","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270008","大雁塔2星","00:00:05","","1800","","192129","0","0","0","250002,250003","2","20","5003@8;5004@8","2","1200","30","6994","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270009","大雁塔2星","00:00:05","","1800","","192129","0","0","0","250002,250003","2","20","5003@8;5004@8","2","1200","30","6994","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270010","大雁塔2星","00:00:05","","1800","","192129","0","0","0","250002,250003","2","20","5003@8;5004@8","2","1200","30","6994","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270011","大雁塔2星","00:00:05","","1800","","192129","0","0","0","250002,250003","2","20","5003@8;5004@8","2","1200","30","6994","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270012","大雁塔2星","00:00:05","","1800","","192129","0","0","0","250002,250003","2","20","5003@8;5004@8","2","1200","30","6994","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270013","大雁塔2星","00:00:05","","1800","","192129","0","0","0","250002,250003","2","20","5003@8;5004@8","2","1200","30","6994","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270014","大雁塔2星","00:00:05","","1800","","192129","0","0","0","250002,250003","2","20","5003@8;5004@8","2","1200","30","6994","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270015","大雁塔3星","00:00:05","","1800","","192129","0","0","0","250004,250005","2","20","5005@8;5006@8","2","1200","30","6995","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270016","大雁塔3星","00:00:05","","1800","","192129","0","0","0","250004,250005","2","20","5005@8;5006@8","2","1200","30","6995","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270017","大雁塔3星","00:00:05","","1800","","192129","0","0","0","250004,250005","2","20","5005@8;5006@8","2","1200","30","6995","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270018","大雁塔3星","00:00:05","","1800","","192129","0","0","0","250004,250005","2","20","5005@8;5006@8","2","1200","30","6995","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270019","大雁塔3星","00:00:05","","1800","","192129","0","0","0","250004,250005","2","20","5005@8;5006@8","2","1200","30","6995","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270020","大雁塔3星","00:00:05","","1800","","192129","0","0","0","250004,250005","2","20","5005@8;5006@8","2","1200","30","6995","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270021","大雁塔3星","00:00:05","","1800","","192129","0","0","0","250004,250005","2","20","5005@8;5006@8","2","1200","30","6995","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270022","大雁塔4星","00:00:05","","1800","","192129","0","0","0","250006,250007","2","20","5007@8;5008@8","2","1200","30","6996","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270023","大雁塔4星","00:00:05","","1800","","192129","0","0","0","250006,250007","2","20","5007@8;5008@8","2","1200","30","6996","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270024","大雁塔4星","00:00:05","","1800","","192129","0","0","0","250006,250007","2","20","5007@8;5008@8","2","1200","30","6996","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270025","大雁塔4星","00:00:05","","1800","","192129","0","0","0","250006,250007","2","20","5007@8;5008@8","2","1200","30","6996","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270026","大雁塔4星","00:00:05","","1800","","192129","0","0","0","250006,250007","2","20","5007@8;5008@8","2","1200","30","6996","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270027","大雁塔4星","00:00:05","","1800","","192129","0","0","0","250006,250007","2","20","5007@8;5008@8","2","1200","30","6996","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
