"幻化角色id","伙伴名称","类型","造型id","头像id","大小比例","技能1","技能2","技能3","技能4","技能5","特殊技能","特殊技能2","特殊技能3","","","","","","","","","","","",""
"28100","桶牛","1","1020133","30204","1","711001","711002","711003","711004","711005","711001","711001","711001","","","","","","","","","","","",""
"28101","暗夜男","1","1020117","30253","1","712001","712002","712003","712004","712005","712003","712003","712003","","","","","","","","","","","",""
"28102","会长","1","1020116","30243","1","713001","713002","713003","713004","713005","713003","713003","713003","","","","","","","","","","","",""
"28103","牛头人酋长","1","1020125","30302","0.9","714001","714002","714003","714004","714005","714001","714001","714001","","","","","","","","","","","",""
"28104","国足","4","1020106","30306","1","721001","721002","721003","721004","721005","721004","721004","721004","","","","","","","","","","","",""
"28105","锁蕊深大帝","4","1010148","30215","1","722001","722002","722003","722004","722005","722001","722001","722001","","","","","","","","","","","",""
"28106","大大姐","4","1020119","30201","1","723001","723002","723003","723004","723005","723002","723002","723002","","","","","","","","","","","",""
"28107","光芒使者","4","1020128","30296","1","724001","724002","724003","724004","724005","724004","724004","724004","","","","","","","","","","","",""
"28108","美屡","1","1020111","30261","1","731001","731002","731003","731004","731005","731001","731001","731001","","","","","","","","","","","",""
"28109","冬","1","1020135","30333","1","732001","732002","732003","732004","732005","732005","732005","732005","","","","","","","","","","","",""
"28110","兽王","1","1020126","30313","0.9","733001","733002","733003","733004","733005","733001","733001","733001","","","","","","","","","","","",""
"28111","神棍德","5","1020115","30255","1","741001","741002","741003","741004","741005","741004","741004","741004","","","","","","","","","","","",""
"28112","玛拉得公主","5","1010136","30223","1","742001","742002","742003","742004","742005","742004","742004","742004","","","","","","","","","","","",""
"28113","玛佛里","5","1020130","30315","0.9","743001","743002","743003","743004","743005","743003","743003","743003","","","","","","","","","","","",""
"28114","五火球教主","2","1020112","30263","1","751001","751002","751003","751004","751005","751002","751002","751002","","","","","","","","","","","",""
"28115","方砖","2","1020118","30257","1","752001","752002","752003","752004","752005","752001","752001","752001","","","","","","","","","","","",""
"28116","羞花","2","1020107","30303","1","753001","753002","753003","753004","753005","753002","753002","753002","","","","","","","","","","","",""
"28117","卡尔索斯","2","1020127","30311","0.9","754001","754002","754003","754004","754005","754001","754001","754001","","","","","","","","","","","",""
"28118","闭月","3","1020124","30307","1","761001","761002","761003","761004","761005","761003","761003","761003","","","","","","","","","","","",""
"28119","大奶铜须","3","1010147","30225","1","762001","762002","762003","762004","762005","762002","762002","762002","","","","","","","","","","","",""
"28120","沐丝","3","1020114","30203","1","763001","763002","763003","763004","763005","763002","763002","763002","","","","","","","","","","","",""
"28121","不朽者","3","1020129","30312","0.9","764001","764002","764003","764004","764005","764002","764002","764002","","","","","","","","","","","",""
"28122","傻馒","2","1020105","30245","1","771001","771002","771003","771004","771005","771001","771001","771001","","","","","","","","","","","",""
"28123","娘子","2","1020120","30254","1","772001","772002","772003","772004","772005","772004","772004","772004","","","","","","","","","","","",""
"28124","炮姐","2","1020123","30304","1","773001","773002","773003","773004","773005","773002","773002","773002","","","","","","","","","","","",""
"28125","沃尔金","2","1020138","30317","1","774001","774002","774003","774004","774005","774001","774001","774001","","","","","","","","","","","",""
"28126","呆贼","1","1020103","30202","1","781001","781002","781003","781004","781005","781001","781001","781001","","","","","","","","","","","",""
"28127","女贼","1","1020121","30259","1","782001","782002","782003","782004","782005","782002","782002","782002","","","","","","","","","","","",""
"28128","女王希尔","1","1000108","30310","1","783001","783002","783003","783004","783005","783003","783003","783003","","","","","","","","","","","",""
"28129","术士大妈","5","1020110","30262","1","791001","791002","791003","791004","791005","791002","791002","791002","","","","","","","","","","","",""
"28130","死骑瑞文","5","1010130","30322","1","793001","793002","793003","793004","793005","793004","793004","793004","","","","","","","","","","","",""
"28131","时空游龙","5","1020136","30277","1","794001","794002","794003","794004","794005","794001","794001","794001","","","","","","","","","","","",""
"28132","古尔迪安","5","1020140","30314","0.9","795001","795002","795003","795004","795005","795004","795004","795004","","","","","","","","","","","",""
