"序列","参加类型","等级下限","等级上限","地图"
"101","5","1","200","1610"
"102","10","1","200","1616"
"103","11","20","29","1616"
"104","10","30","39","1616"
"105","10","40","49","1614"
"106","10","50","59","1606"
"107","10","60","69","1605"
"108","10","70","79","1607"
"109","10","80","89","1610"
"110","10","90","99","1609"
"111","10","100","109","1609"
"331","5","1","89","1712"
"332","5","90","109","1713"
"330","5","110","200","1714"
"316","5","1","200","5011"
"317","5","1","200","5012"
"318","5","1","200","5013"
"319","5","1","200","5014"
"320","5","1","200","5015"
"321","5","1","200","5016"
"322","5","1","200","5017"
"323","5","1","200","5018"
"324","5","1","200","5019"
"325","5","1","200","5020"
"300","5","1","200","9031"
"301","5","1","200","9032"
"305","5","1","200","9033"
"306","5","1","200","9034"
"307","5","1","200","9035"
"308","5","1","200","9036"
"309","5","1","200","9037"
"312","5","1","200","9038"
"314","5","1","200","9039"
"315","5","1","200","9040"
"304","5","1","200","1621"
"302","5","1","200","1631"
