"序列","类型","对应ID","文本名","图标","图标2","参数"
"1","1","1","商会","ccui1","zw1",""
"2","1","2","摆摊","ccui1","zw1",""
"3","1","3","辅助技能","ccui1","zw2","300101"
"4","1","4","商城","ccui1","zw1",""
"5","2","161521","秘境降妖","ccui1","zw4",""
"6","1","64","积分商店","ccui1","zw5",""
"7","1","41","活动","ccui1","zw4",""
"8","2","180109","积分兑换","ccui1","881",""
"9","2","180109","积分兑换","ccui1","881",""
"10","2","180109","积分兑换","ccui1","881",""
"11","2","180109","积分兑换","ccui1","881",""
"12","2","180109","积分兑换","ccui1","881",""
"13","2","180109","积分兑换","ccui1","881",""
