"技能格ID","是否主技能格","是否绝技","可学等级上限","技能格名称","影响技能ID1","影响技能ID2","影响技能ID3","影响技能ID4","影响技能ID5","所属职业ID","依赖技能格ID","依赖技能格等级要求","绝技依赖技能格等级要求","技能格学习消耗规则","技能格附加属性类型","技能格附加属性公式系数a","技能格附加属性公式系数b","技能格附加属性公式系数c","技能格描述","技能格文案包装","技能格图标不可用","技能格图标悬浮","技能格图标正常","技能格图标按下","技能格位置x","技能格位置y","技能格等级位置x","技能格等级位置y","女技能格位置x","女技能格位置y","女技能格等级位置x","女技能格等级位置y"
"1111","true","false","180","为官之道","110000","","","","","11","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1112","false","false","180","破釜沉舟","110001","","","","","11","1111","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1113","false","false","180","翩鸿一击","110002","","","","","11","1111","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1114","false","false","180","横扫千军","110003","110008","","","","11","1111","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1115","false","false","180","后发制人","110004","110009","110011","","","11","1111","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1116","false","false","180","杀气诀","110005","110010","","","","11","1111","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1117","false","false","180","嗜血","110006","300401","","","","11","1111","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1118","false","true","3","绝技万剑归一","110007","","","","","11","1111,1112,1113,1114,1115,1116,1117","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1119","false","false","1","目空","110012","","","","","11","1111","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1120","false","false","1","翩鸿","110013","","","","","11","1111","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1121","false","false","1","亢强","110014","","","","","11","1111","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1122","false","false","1","干将","110015","","","","","11","1111","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1123","false","false","1","惊天动地","110016","","","","","11","1111","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1124","false","false","1","破势","110017","","","","","11","1111","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1125","false","false","1","额外能力","110018","","","","","11","1111","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1126","false","false","1","勇进","110019","","","","","11","1111","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1127","false","false","1","勇武","110020","","","","","11","1111","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1128","false","false","1","念心","110021","","","","","11","1111","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1129","false","false","1","勇念","110022","","","","","11","1111","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1130","false","false","1","不惊","110023","","","","","11","1111","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1131","false","false","1","孤勇","110024","","","","","11","1111","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1132","false","false","1","破军","110025","","","","","11","1111","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1133","false","false","1","突刺","110026","","","","","11","1111","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1134","false","false","1","长驱直入","110027","","","","","11","1111","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1135","false","false","1","静岳","110028","","","","","11","1111","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1136","false","false","1","神凝","110029","","","","","11","1111","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1137","false","false","1","突进","110030","","","","","11","1111","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1138","false","false","1","熟练","110031","","","","","11","1111","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1139","false","false","1","无双战神","110032","","","","","11","1111","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1211","true","false","180","虚幻咒","120000","","","","","12","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1212","false","false","180","五雷咒","120001","","","","","12","1211","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1213","false","false","180","定身符","120002","","","","","12","1211","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1214","false","false","180","失忆符","120003","120008","","","","12","1211","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1215","false","false","180","离魂符","120004","120009","","","","12","1211","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1216","false","false","180","失心符","120005","120010","","","","12","1211","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1217","false","false","180","神兵护法","120006","300404","","","","12","1211","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1218","false","true","3","绝技幻音古钟","120007","","","","","12","1211,1212,1213,1214,1215,1216,1217","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1219","false","false","1","雷动","120012","","","","","12","1211","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1220","false","false","1","黄粱","120013","","","","","12","1211","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1221","false","false","1","补缺","120014","","","","","12","1211","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1222","false","false","1","化身","120015","","","","","12","1211","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1223","false","false","1","斗法","120016","","","","","12","1211","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1224","false","false","1","鬼念","120017","","","","","12","1211","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1225","false","false","1","额外能力","120018","","","","","12","1211","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1226","false","false","1","苦缠","120019","","","","","12","1211","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1227","false","false","1","制约","120020","","","","","12","1211","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1228","false","false","1","不倦","120021","","","","","12","1211","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1229","false","false","1","调息","120022","","","","","12","1211","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1230","false","false","1","吐纳","120023","","","","","12","1211","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1231","false","false","1","灵威","120024","","","","","12","1211","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1232","false","false","1","顺势而为","120025","","","","","12","1211","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1233","false","false","1","灵咒","120026","","","","","12","1211","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1234","false","false","1","必果","120027","","","","","12","1211","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1235","false","false","1","精炼","120028","","","","","12","1211","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1236","false","false","1","幻变","120029","","","","","12","1211","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1237","false","false","1","专神","120030","","","","","12","1211","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1238","false","false","1","碎甲","120031","","","","","12","1211","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1239","false","false","1","拘灵散修","120032","","","","","12","1211","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1311","true","false","180","变身","130000","130011","","","","13","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
