"角色id","性别","种族","英文名称","描述","职业1ID","职业2ID","职业3ID","职业4ID","职业5ID","默认武器1ID","默认武器2ID","默认武器3ID","默认武器4ID","默认武器5ID","人物模型","默认武器","默认衣服","默认护腕","默认项链","默认腰带","默认鞋子","1","2","3","4","5","创建角色界面角色图","职业按钮图片1","职业按钮图片2","职业按钮图片3","职业按钮图片4","职业按钮图片5","职业底图1","职业底图2","职业底图3","职业底图4","职业底图5","职业大头像","开始游戏按钮","返回按钮","左翻页按钮","右翻页按钮","背景图","背景横框","图片上层","图片下层","请选择职业文字","人物选择页签","旗子图标","旗子特效","人物创建骨骼动画","底框旗子","人物属性骨骼动画id"
"1","1","剑侠客","[colour='ffff2f2f']TAUREN","剑侠客","11","12","19","25","0","5010101","6010101","6010101","6010101","","1010101","","","","","","","","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:huashengsi","set:menpai image:xumihai","","set:character4 image:datangguanfu_","set:character4 image:fangcunshan_","set:character4 image:huashengsi_","set:menpai image:xumihai","","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:huashengsi","set:menpai image:xumihai","set:menpai image:xumihai","set:createrolebg1 image:createrolebg1","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_3","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_1","spine/qizi_hong/qizi_hong","spinemh_jxk","set:character image:hong","1080101"
"2","1","逍遥生","[colour='ff5de6ff']KNIGHT","逍遥生","11","12","19","25","0","6010117","6010117","6010117","6010117","","1010102","","","","","","","","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:huashengsi","set:menpai image:xumihai","set:menpai image:nvercun","set:character4 image:datangguanfu_","set:character4 image:fangcunshan_","set:character4 image:huashengsi_","set:menpai image:xumihai","set:menpai image:nvercun","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:huashengsi","set:menpai image:xumihai","set:menpai image:huashengsi","set:createrolebg3 image:createrolebg3","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_3","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_1","spine/qizi_hong/qizi_hong","spinemh_xys","set:character image:hong","1080103"
"3","1","漠少君","[colour='ffff2f2f']MoShaojun","漠少君","11","12","19","25","0","6010114","6010114","6010114","6010114","","1010103","","","","","","","","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:huashengsi","set:menpai image:xumihai","","set:character4 image:datangguanfu_","set:character4 image:fangcunshan_","set:character4 image:huashengsi_","set:menpai image:xumihai","","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:huashengsi","set:menpai image:xumihai","set:menpai image:huashengsi","set:createrolebg5 image:createrolebg5","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_3","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_1","spine/qizi_hong/qizi_hong","spinemh_msj","set:character image:hong","1080105"
"4","2","飞燕女","[colour='ffff2f2f']FlYING","飞燕女","11","12","21","25","0","6010109","6010109","6010109","6010109","","1010104","","","","","","","","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:nvercun","set:menpai image:xumihai","set:menpai image:nvercun","set:character4 image:datangguanfu_","set:character4 image:fangcunshan_","set:menpai image:nvercun","set:menpai image:xumihai","set:menpai image:nvercun","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:nvercun","set:menpai image:xumihai","set:menpai image:nvercun","set:createrolebg4 image:createrolebg4","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_3","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_1","spine/qizi_hong/qizi_hong","spinemh_fyn","set:character image:hong","1080104"
"5","2","英女侠","[colour='ffff2f2f']Britishwoman","英女侠","11","12","21","25","0","6010116","6010116","6010116","6010116","","1010105","","","","","","","","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:nvercun","set:menpai image:xumihai","","set:character4 image:datangguanfu_","set:character4 image:fangcunshan_","set:menpai image:nvercun","set:menpai image:xumihai","","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:nvercun","set:menpai image:xumihai","set:menpai image:huashengsi","set:createrolebg6 image:createrolebg6","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_3","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_1","spine/qizi_hong/qizi_hong","spinemh_ynx","set:character image:hong","1080106"
"6","2","巫蛮儿","[colour='ffff2f2f']Witchbarbarian","巫蛮儿","11","12","21","25","0","6010104","6010104","6010104","6010104","","1010106","","","","","","","","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:nvercun","set:menpai image:xumihai","set:menpai image:nvercun","set:character4 image:datangguanfu_","set:character4 image:fangcunshan_","set:menpai image:nvercun","set:menpai image:xumihai","set:menpai image:nvercun","set:menpai image:datangguanfu","set:menpai image:fangcunshan","set:menpai image:nvercun","set:menpai image:xumihai","set:menpai image:huashengsi","set:createrolebg2 image:createrolebg2","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_2","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_2","spine/qizi1/qizi1","spinemh_wme","set:character image:lan","1080102"
"7","1","龙太子","[colour='ffff2f2f']FORSAKEN","龙太子","15","16","18","24","0","6010102","6010102","6010102","6010102","","1010107","","","","","","","","set:menpai image:longgong","set:menpai image:putuoshan","set:menpai image:yuegong","set:menpai image:huaguoshan","","set:character4 image:longgong_","set:character4 image:putuoshan_","set:character4 image:yuegong_","set:menpai image:huaguoshan","","set:menpai image:longgong","set:menpai image:putuoshan","set:menpai image:yuegong","set:menpai image:huaguoshan","set:menpai image:huaguoshan","set:createrolebg7 image:createrolebg7","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_3","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_1","spine/qizi_hong/qizi_hong","spine_ltz","set:character image:hong","1080107"
"8","1","神天兵","[colour='ffff2f2f']DiVINESOLDIER","神天兵","15","16","18","24","0","6010115","6010115","6010115","6010115","","1010108","","","","","","","","set:menpai image:longgong","set:menpai image:putuoshan","set:menpai image:yuegong","set:menpai image:huaguoshan","","set:character4 image:longgong_","set:character4 image:putuoshan_","set:character4 image:yuegong_","set:menpai image:huaguoshan","","set:menpai image:longgong","set:menpai image:putuoshan","set:menpai image:yuegong","set:menpai image:huaguoshan","set:menpai image:yuegong","set:createrolebg9 image:createrolebg9","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_3","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_1","spine/qizi_hong/qizi_hong","spinemh_stb","set:character image:hong","1080109"
"9","1","羽灵神","[colour='ffff2f2f']FeatherGod","羽灵神","15","16","18","24","0","6010112","6010112","6010112","6010112","","1010109","","","","","","","","set:menpai image:longgong","set:menpai image:putuoshan","set:menpai image:yuegong","set:menpai image:huaguoshan","","set:character4 image:longgong_","set:character4 image:putuoshan_","set:character4 image:yuegong_","set:menpai image:huaguoshan","","set:menpai image:longgong","set:menpai image:putuoshan","set:menpai image:yuegong","set:menpai image:huaguoshan","set:menpai image:yuegong","set:createrolebg11 image:createrolebg11","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_3","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_1","spine/qizi_hong/qizi_hong","spinemh_yls","set:character image:hong","1080111"
"10","2","舞天姬","[colour='ffff2f2f']BLOODELF","舞天姬","15","16","18","24","0","6010111","6010111","6010111","6010111","","1010110","","","","","","","","set:menpai image:longgong","set:menpai image:putuoshan","set:menpai image:yuegong","set:menpai image:huaguoshan","","set:character4 image:longgong_","set:character4 image:putuoshan_","set:character4 image:yuegong_","set:menpai image:huaguoshan","","set:menpai image:longgong","set:menpai image:putuoshan","set:menpai image:yuegong","set:menpai image:huaguoshan","set:menpai image:yuegong","set:createrolebg10 image:createrolebg10","","","","set:character image:character_btn1_you_2","","","","","set:character image:character_img_zhuangshi_3","set:character image:character_img_deng_b_","set:character image:character_img_qizhi_1","spine/qizi_hong/qizi_hong","spinemh_wtj","set:character image:lan","1080110"
