"id","界面名","数据1id","数据2id","数据3id","数据4id","数据5id","数据6id","数据7id","数据8id","数据9id"
"1","宠物宝宝","2","","","","","","","",""
"2","宠物合成","3","","","","","","","",""
"3","合宠限制","4","","","","","","","",""
"4","合宠预览","5","","","","","","","",""
"5","红尘试炼","6","","","","","","","",""
"6","宠物技能","7","","","","","","","",""
"7","打书","8","","","","","","","",""
"8","魔兽要诀","9","","","","","","","",""
"9","宠物洗练","10","","","","","","","",""
"10","太阳井水","11","","","","","","","",""
"11","太阳井水水消耗","12","","","","","","","",""
"12","场景封妖","13","","","","","","","",""
"13","游戏职业","14","","","","","","","",""
"14","战士","15","","","","","","","",""
"15","术士","16","","","","","","","",""
"16","猎人","17","","","","","","","",""
"17","【科举热身赛·温习题】","30000","","","","","","","",""
"","","","","","","","","","",""
