"服务编号","子服务1","子服务2","子服务3","子服务4","子服务5","子服务6","子服务7","子服务8","子服务9","子服务10","子服务11","子服务12","子服务13","子服务14","子服务15","子服务16","子服务17","子服务18","子服务19","子服务20","子服务21","子服务22","子服务23","子服务24","子服务25","子服务26","子服务27","子服务28","子服务29","子服务30","条件1","参数11","参数12","条件2","参数21","参数22","条件3","参数31","参数32","条件4","参数41","参数42","条件5","参数51","参数52","条件6","参数61","参数62","条件7","参数71","参数72","条件8","参数81","参数82","条件9","参数91","参数92","标示图标","描述","菜单介绍","打开网页","是否自动"
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","恭喜！您获得抽奖奖励","","",""
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","捎口信","","","1"
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","我要查看首席弟子能力","","",""
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","150","300","","","","","","","","","","","","","","","","","","","","","","","","","4","我要挑战首席弟子","","",""
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","40","300","","","","","","","","","","","","","","","","","","","","","","","","","4","我要竞选","","",""
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","我要投票","","",""
"100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","我要刷新首席弟子能力","","",""
"136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","我要参加科举考试","","",""
"137","264","265","266","10001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","我想了解科举考试比赛规则","科举考试介绍","",""
"166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","门派闯关","","",""
"167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","我想查询一下自己的活动积分","","",""
"168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","活动积分兑换","","",""
"171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","我要挑战","","",""
"264","10002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","科举考试1规则","科举考试1规则","",""
"265","267","268","10002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","科举考试2规则","科举考试2规则","",""
"266","10002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","科举考试3规则","科举考试3规则","",""
"267","10003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","答错怎么办？","科举考试3规则","",""
"268","10003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","道具怎么用？","科举考试3规则","",""
"355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","秘境降妖","","",""
"725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","助战NPC招募","","",""
"1469","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","回到副本","","",""
"1483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第1关","","","1"
"1484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第2关","","","1"
"1485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第3关","","","1"
