"NPC服务ID","服务类型","服务参数1","服务参数2","服务参数3","服务参数4","服务参数5","服务参数6","服务参数7","服务参数8"
"100000","0","0","0","0","0","0","0","0","0"
"100013","6","1","0","0","0","0","0","0","0"
"4003","4","5","0","0","0","0","0","0","0"
"100209","4","6","0","0","0","0","0","0","0"
"100210","4","27","0","0","0","0","0","0","0"
"100601","11","20","0","0","0","0","0","0","0"
"100602","4","26","0","0","0","0","0","0","0"
"100600","11","50","0","0","0","0","0","0","0"
"900050","11","52","0","0","0","0","0","0","0"
"900051","11","53","0","0","0","0","0","0","0"
"900052","11","54","0","0","0","0","0","0","0"
"900015","10","110","0","0","0","0","0","0","0"
"900016","10","111","0","0","0","0","0","0","0"
"900017","10","112","0","0","0","0","0","0","0"
"900018","10","113","0","0","0","0","0","0","0"
"3000","1","1010000","0","0","0","0","0","0","0"
"3001","1","1010000","0","0","0","0","0","0","0"
"3002","1","1010000","0","0","0","0","0","0","0"
"3003","1","1010000","0","0","0","0","0","0","0"
"3004","1","1010000","0","0","0","0","0","0","0"
"3005","1","1010000","0","0","0","0","0","0","0"
"3016","1","1010000","0","0","0","0","0","0","0"
"3017","1","1010000","0","0","0","0","0","0","0"
"3018","1","1010000","0","0","0","0","0","0","0"
"3022","1","1010000","0","0","0","0","0","0","0"
"3023","1","1010000","0","0","0","0","0","0","0"
"3024","1","1010000","0","0","0","0","0","0","0"
"3028","1","1010000","0","0","0","0","0","0","0"
"3029","1","1010000","0","0","0","0","0","0","0"
"3030","1","1010000","0","0","0","0","0","0","0"
"3010","2","1010000","0","0","0","0","0","0","0"
"3011","2","1010000","0","0","0","0","0","0","0"
"3012","2","1010000","0","0","0","0","0","0","0"
"3013","2","1010000","0","0","0","0","0","0","0"
"3014","2","1010000","0","0","0","0","0","0","0"
"3015","2","1010000","0","0","0","0","0","0","0"
"3019","2","1010000","0","0","0","0","0","0","0"
"3020","2","1010000","0","0","0","0","0","0","0"
"3021","2","1010000","0","0","0","0","0","0","0"
"3025","2","1010000","0","0","0","0","0","0","0"
"3026","2","1010000","0","0","0","0","0","0","0"
"3027","2","1010000","0","0","0","0","0","0","0"
"3031","2","1010000","0","0","0","0","0","0","0"
"3032","2","1010000","0","0","0","0","0","0","0"
"3033","2","1010000","0","0","0","0","0","0","0"
"4000","1","1030000","0","0","0","0","0","0","0"
"4001","2","1030000","0","0","0","0","0","0","0"
"4002","3","1030000","0","0","0","0","0","0","0"
"100010","5","1030000","0","0","0","0","0","0","0"
"100018","11","62","0","0","0","0","0","0","0"
"100171","5","1030000","0","0","0","0","0","0","0"
"100172","5","1030000","0","0","0","0","0","0","0"
"100173","5","1030000","0","0","0","0","0","0","0"
"100174","5","1030000","0","0","0","0","0","0","0"
"100175","5","1030000","0","0","0","0","0","0","0"
"100176","5","1030000","0","0","0","0","0","0","0"
"100177","5","1030000","0","0","0","0","0","0","0"
"100178","5","1030000","0","0","0","0","0","0","0"
"100179","5","1030000","0","0","0","0","0","0","0"
"100180","5","1030000","0","0","0","0","0","0","0"
"100181","5","1030000","0","0","0","0","0","0","0"
"100182","5","1030000","0","0","0","0","0","0","0"
"100001","1","1040000","0","0","0","0","0","0","0"
"100011","5","1040000","0","0","0","0","0","0","0"
"100014","7","1040000","0","0","0","0","0","0","0"
"100002","1","1050000","0","0","0","0","0","0","0"
"100016","1","1060000","0","0","0","0","0","0","0"
"100017","2","1060000","0","0","0","0","0","0","0"
"100201","2","1060000","0","0","0","0","0","0","0"
"100202","2","1060000","0","0","0","0","0","0","0"
"100203","2","1060000","0","0","0","0","0","0","0"
"100204","2","1060000","0","0","0","0","0","0","0"
"100205","2","1060000","0","0","0","0","0","0","0"
"100206","2","1060000","0","0","0","0","0","0","0"
"100207","9","1060000","0","0","0","0","0","0","0"
"100308","5","1060000","0","0","0","0","0","0","0"
"100021","5","1070000","0","0","0","0","0","0","0"
"100022","2","1070000","0","0","0","0","0","0","0"
"100023","2","1070000","0","0","0","0","0","0","0"
"100024","2","1070000","0","0","0","0","0","0","0"
"100025","2","1070000","0","0","0","0","0","0","0"
"100026","2","1070000","0","0","0","0","0","0","0"
"100027","2","1070000","0","0","0","0","0","0","0"
"100029","2","1070000","0","0","0","0","0","0","0"
"100030","2","1070000","0","0","0","0","0","0","0"
"100031","2","1070000","0","0","0","0","0","0","0"
"100032","2","1070000","0","0","0","0","0","0","0"
"100033","2","1070000","0","0","0","0","0","0","0"
"100034","2","1070000","0","0","0","0","0","0","0"
"100211","2","1080000","0","0","0","0","0","0","0"
"100212","2","1080000","0","0","0","0","0","0","0"
"100213","2","1080000","0","0","0","0","0","0","0"
"100214","2","1080000","0","0","0","0","0","0","0"
"100215","2","1080000","0","0","0","0","0","0","0"
"100216","2","1080000","0","0","0","0","0","0","0"
"100186","9","1080000","0","0","0","0","0","0","0"
"111191","9","1080000","0","0","0","0","0","0","0"
"111192","9","1080000","0","0","0","0","0","0","0"
"111193","9","1080000","0","0","0","0","0","0","0"
"111194","9","1080000","0","0","0","0","0","0","0"
"111195","9","1080000","0","0","0","0","0","0","0"
"111196","9","1080000","0","0","0","0","0","0","0"
"111197","9","1080000","0","0","0","0","0","0","0"
"111198","9","1080000","0","0","0","0","0","0","0"
"111199","9","1080000","0","0","0","0","0","0","0"
"111200","9","1080000","0","0","0","0","0","0","0"
"111201","9","1080000","0","0","0","0","0","0","0"
"111202","9","1080000","0","0","0","0","0","0","0"
"111203","9","1080000","0","0","0","0","0","0","0"
"111204","9","1080000","0","0","0","0","0","0","0"
"111205","9","1080000","0","0","0","0","0","0","0"
"111206","9","1080000","0","0","0","0","0","0","0"
"111207","9","1080000","0","0","0","0","0","0","0"
"111208","9","1080000","0","0","0","0","0","0","0"
"111209","9","1080000","0","0","0","0","0","0","0"
"111210","9","1080000","0","0","0","0","0","0","0"
"111211","9","1080000","0","0","0","0","0","0","0"
"111212","9","1080000","0","0","0","0","0","0","0"
"111213","9","1080000","0","0","0","0","0","0","0"
"111214","9","1080000","0","0","0","0","0","0","0"
"111215","9","1080000","0","0","0","0","0","0","0"
"111216","9","1080000","0","0","0","0","0","0","0"
"111217","9","1080000","0","0","0","0","0","0","0"
"111218","9","1080000","0","0","0","0","0","0","0"
"111219","9","1080000","0","0","0","0","0","0","0"
"111220","9","1080000","0","0","0","0","0","0","0"
"111221","9","1080000","0","0","0","0","0","0","0"
"111222","9","1080000","0","0","0","0","0","0","0"
"111223","9","1080000","0","0","0","0","0","0","0"
"111224","9","1080000","0","0","0","0","0","0","0"
"111225","9","1080000","0","0","0","0","0","0","0"
"111226","9","1080000","0","0","0","0","0","0","0"
"111227","9","1080000","0","0","0","0","0","0","0"
"111228","9","1080000","0","0","0","0","0","0","0"
"111229","9","1080000","0","0","0","0","0","0","0"
"111230","9","1080000","0","0","0","0","0","0","0"
