"条件id","条件类名","策划备注"
"1","RoleLevel","角色等级"
"2","RoleSchool","角色职业"
"3","RoleShopsNum","无用"
"4","RoleTeam","组队状态判断"
"5","RoleState","角色的状态判断"
"6","RoleSex","角色性别"
"7","RoleQuestState","角色有循环任务某个状态"
"8","RoleHasQuest","检查角色是否有某个循环任务"
"9","RoleQuestUnState","角色没有循环任务某个状态"
"10","HideServiceCond","无用"
"11","RoleHasApprenticeship","无用"
"12","RoleHasRegMaster","无用"
"13","RolePassonQuest","无用"
"14","RoleHasApprentice","无用"
"16","RoleHasShoponsell","无用"
"17","RoleSpot","是否有触发"
"18","HasQuestTeammemNumLT","无用"
"19","RoleHasCircleTask","是否有某一个循环子任务"
"20","RoleHasTuPo","是否处于某个等级的突破状态"
"21","RoleHasNoTuPoMission","角色没有突破任务"
"22","RoleClanInstanceState","公会前置副本有没有解锁"
