"ID","潜能果数量","属性池","属性数量最小值","属性数量最大值","属性增加倍率","重置消耗金币"
"1","5","60,130","1","2","1","100000"
"2","10","60,130,140,150,160,170,180","2","3","1","200000"
"3","15","60,130,140,150,160,170,180","2","3","2","300000"
"4","20","60,130,140,150,160,170,180","2","4","2","400000"
"5","25","60,130,140,150,160,170,180","3","7","2","500000"
"6","30","60,130,140,150,160,170,180","3","7","2","600000"
"7","35","60,130,140,150,160,170,180","3","7","2","700000"
"8","40","60,130,140,150,160,170,180","3","7","2","800000"
"9","45","60,130,140,150,160,170,180","3","7","2","900000"
"10","50","60,130,140,150,160,170,180","3","7","2","1000000"
"11","55","60,130,140,150,160,170,180","3","7","2","1100000"
"12","60","60,130,140,150,160,170,180","3","7","2","1200000"
"13","65","60,130,140,150,160,170,180","3","7","2","1300000"
"14","70","60,130,140,150,160,170,180","3","7","2","1400000"
"15","75","60,130,140,150,160,170,180","3","7","2","1500000"
"16","79","60,130,140,150,160,170,180","3","7","2","1600000"
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
