"ID","小头像id","大地图小头像id","大地图小头像id2","策划备注",""
"1010101","30200","30217","1879","剑侠客",""
"1010102","30201","30218","1880","逍遥生",""
"1010103","30202","30219","1881","杀破狼",""
"1010104","30203","30220","1882","骨精灵",""
"1010105","30204","30221","1883","龙太子",""
"1010106","30205","30222","1884","玄彩娥",""
"1010107","30206","30223","1885","飞燕女",""
"1010108","30207","30224","1886","虎头怪",""
"1010109","30208","30225","1887","神天兵",""
"1010110","30209","30226","1888","狐美人",""
"1010111","30210","30227","1889","巫蛮儿",""
"1010112","30211","30228","1890","舞天姬",""
"1010113","30212","30229","1891","漠少君",""
"1010114","30213","30230","1892","巨魔王",""
"1010115","30214","30231","1893","羽灵神",""
"1010116","30215","30232","1894","英女侠",""
"1010117","30216","30233","1895","梦玲珑",""
