"id","名字","传送左上角x","传送左上角y","传送右下角x","传送右下角y","地图类型","是否显示在世界地图上","等级下限","等级上限","从属暗雷","从属暗雷名","暗雷按钮图片普通","暗雷按钮图片按下","暗雷按钮图片灰色","怪物造型","地图怪物","小地图缩放比例","小地图资源路径","小地图大小","挂机地图背景图"
"1605","傲来渔港","47","38","49","40","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaodayantayi image:xiaodayantayi","717;474",""
"1606","宝象国","71","72","73","74","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:baoxiangguoxin image:baoxiangguoxin","640;474",""
"1607","凌霄宝殿","30","70","32","72","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoyiji image:xiaoyiji","918;622",""
"1608","东海湾","13","18","15","20","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoshizilukou image:xiaoshizilukou","627;515",""
"1609","大雪山","57","64","59","66","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaofeikuang image:xiaofeikuang","614;474",""
"1610","两界山","77","63","79","65","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaomuse image:xiaomuse","666;474",""
"1611","洛阳城","103","45","105","47","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaotidao image:xiaotidao","600;400",""
"1612","花果山","22","153","24","155","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaobaofengcheng image:xiaobaofengcheng","486;576",""
"1613","帮派","40","29","42","31","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaogonghui image:xiaogonghui","712;499",""
"1614","长寿村","65","61","67","63","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoaihao image:xiaoaihao","589;474",""
"1615","长安城","107","110","109","112","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoheishi image:xiaoheishi","941;566",""
"1616","建邺城","100","38","102","40","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoaoge image:xiaoaoge","772;324",""
