"等级","等级下限","等级上限","挂机区","升级经验","金钱上限","可达到技能等级上限","宠物出战上限","加点方案数量","离线每分钟经验值","每点双倍点数经验","基准经验","基准银币","援助战斗次数","援助物品次数","求助物品次数","援助声望上限","援助贡献上限"
"1","1","10","无","1600","5000000","1","2","1","500","0","400","1000","10","10","10","2000","300"
"2","1","10","无","3200","5000000","2","2","1","501","0","800","2000","10","10","10","2000","300"
"3","1","10","无","4800","5000000","3","2","1","502","0","1200","3000","10","10","10","2000","300"
"4","1","10","无","6400","5000000","4","2","1","503","0","1600","4000","10","10","10","2000","300"
"5","1","10","无","8000","5000000","5","2","1","504","0","2000","5000","10","10","10","2000","300"
"6","1","10","无","9600","5000000","6","2","1","505","0","2400","6000","10","10","10","2000","300"
"7","1","10","无","11200","5000000","7","2","1","506","0","2800","7000","10","10","10","2000","300"
"8","1","10","无","12800","5000000","8","2","1","507","0","3200","8000","10","10","10","2000","300"
"9","1","10","无","14400","5000000","9","2","1","508","0","3600","9000","10","10","10","2000","300"
"10","10","15","无","16000","5000000","10","2","1","509","0","4000","10000","10","10","10","2000","300"
"11","10","15","无","17600","5000000","11","2","1","510","0","4400","11000","10","10","10","2000","300"
"12","10","15","无","19200","5000000","12","2","1","511","0","4800","12000","10","10","10","2000","300"
"13","10","15","无","20800","5000000","13","2","1","512","0","5200","13000","10","10","10","2000","300"
"14","10","15","无","22400","5000000","14","2","1","513","0","5600","14000","10","10","10","2000","300"
"15","15","20","无","24000","5000000","15","2","1","514","0","6000","15000","10","10","10","2000","300"
"16","15","20","无","25600","5000000","16","2","1","515","0","6400","16000","10","10","10","2000","300"
"17","15","20","无","27200","5000000","17","2","1","516","0","6800","17000","10","10","10","2000","300"
"18","15","20","无","28800","5000000","18","2","1","517","0","7200","18000","10","10","10","2000","300"
"19","15","20","无","30400","5000000","19","2","1","518","0","7600","19000","10","10","10","2000","300"
"20","20","25","无","32000","5000000","20","2","1","519","0","8000","20000","10","10","10","2000","300"
"21","20","25","无","33600","5000000","21","2","1","520","0","8400","21000","10","10","10","2000","300"
"22","20","25","无","35200","5000000","22","2","1","521","0","8800","22000","10","10","10","2000","300"
"23","20","25","无","36800","5000000","23","2","1","522","0","9200","23000","10","10","10","2000","300"
"24","20","25","无","38400","5000000","24","2","1","523","0","9600","24000","10","10","10","2000","300"
"25","25","30","无","40000","5000000","25","2","1","524","0","10000","25000","10","10","10","2000","300"
"26","25","30","无","41600","5000000","26","2","1","525","0","10400","26000","10","10","10","2000","300"
