"序号","物品类型","id","备注名","逻辑类型","珍品","值1","显示1","区间1","区间2","区间3","区间4","区间5","区间6","区间7","区间8","区间9","区间10","区间11","区间12","2级菜单ID","1级菜单ID","默认货币类型","默认价格1","默认价格2","默认价格3","默认价格4","默认价格5","默认价格6","默认价格7","默认价格8","默认价格9","默认价格10","默认价格11","基准成交量","基准挂单量","可见等级","可购买等级下限","可购买等级上限","价格上限","价格下限","浮动价格系数","是否可以摆摊上架",""
"1000","2","520501","鲛将军","0","1","520501","鲛将军","","","","","","","","","","","","","100","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1001","2","520502","蚌仙子","0","1","520502","蚌仙子","","","","","","","","","","","","","100","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1002","2","520503","龙女","0","1","520503","龙女","","","","","","","","","","","","","100","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1003","2","530501","变异鲛将军","0","1","530501","变异鲛将军","","","","","","","","","","","","","100","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1004","2","530502","变异蚌仙子","0","1","530502","变异蚌仙子","","","","","","","","","","","","","100","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1005","2","530503","变异龙女","0","1","530503","变异龙女","","","","","","","","","","","","","100","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1100","2","520601","千年僵尸","0","1","520601","千年僵尸","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1101","2","520602","孤魂野鬼","0","1","520602","孤魂野鬼","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1102","2","520651","忘川童子","0","1","520651","忘川童子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1103","2","520652","吸血鬼","0","1","520652","吸血鬼","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1104","2","520653","蜃蛇","0","1","520653","蜃蛇","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1105","2","520751","夜叉","0","1","520751","夜叉","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
