"商品ID","商品分类","排序","累计充值符石","VIP等级要求","道具类型","默认购买数量","商品描述","促销类型"
"3999","1","1","0","0","帮派资金盒子","1","","0"
"4001","1","2","0","0","银币袋","1","","0"
"4004","1","3","0","0","千年人参果","1","","0"
"4005","1","4","0","0","回梦丹","1","","0"
"4006","1","5","0","0","幻色丹","1","","0"
"4007","1","6","0","0","彩果","1","","0"
"4008","1","7","0","0","花豆","1","","0"
"4009","1","8","0","0","海马","1","","0"
"4010","1","9","0","0","更名卡","1","","0"
"4011","1","10","0","0","战书","1","","0"
"4013","1","11","0","0","珍珠","1","","0"
"4014","1","12","0","0","修理符","1","","0"
"4025","1","13","0","0","自动挂机永久","1","","0"
"4135","2","1","0","0","青龙石*20","1","","0"
"4136","2","2","0","0","朱雀石*20","1","","0"
"4137","2","3","0","0","白虎石*20","1","","0"
"4138","2","4","0","0","玄武石*20","1","","0"
"4106","2","5","0","0","器灵•点化石","1","","0"
"4107","2","6","0","0","器灵•补天石","1","","0"
"4108","2","7","0","0","月华石","1","","0"
"4109","2","8","0","0","日光石","1","","0"
"4110","2","9","0","0","点星锤","1","","0"
"4111","2","10","0","0","万物之灵","1","","0"
"4112","2","11","0","0","星魂草","1","","0"
"4118","2","12","0","0","灵髓玉","1","","0"
"4119","2","13","0","0","金芒石","1","","0"
"4104","2","14","0","0","法宝精华礼包","1","","0"
"4105","2","15","0","0","法宝精魄礼包","1","","0"
"4120","2","16","0","0","1级神力珠","1","","0"
"4121","2","17","0","0","1级魔蕴珠","1","","0"
"4122","2","18","0","0","1级神魄珠","1","","0"
"4123","2","19","0","0","1级风灵珠","1","","0"
"4144","2","20","0","0","1级火灵珠","1","","0"
"4139","2","21","0","0","珍珠","1","","0"
"4140","2","22","0","0","修理符","1","","0"
"4141","2","23","0","0","星辰碎片","1","","0"
"4200","3","1","0","0","金柳露","1","","0"
"4201","3","2","0","0","超级金柳露","1","","0"
"4202","3","3","0","0","净瓶玉露","1","","0"
"4203","3","4","0","0","元宵","1","","0"
"4204","3","5","0","0","炼兽珍经","1","","0"
"4205","3","6","0","0","吉祥锦囊","1","","0"
"4206","3","7","0","0","丹心锦囊","1","","0"
"4207","3","8","0","0","如意锦囊","1","","0"
