"id","任务id","策划备注","任务类型","mapid","npcid","step","出现几率","LefttopX","LefttopY","结束任务","装饰npc1","坐标x1","坐标y1","装饰npc2","坐标x2","坐标y2","装饰npc3","坐标x3","坐标y3"
"2001","3010001","白龙闹海•1","100","1901","180601","1","","29","26","0","0","29","26","0","29","26","0","0","0"
"2002","3010002","白龙闹海•2","100","1901","180602","2","","29","26","0","0","29","26","0","29","26","0","0","0"
"2003","3010003","白龙闹海•3","100","1901","180603","3","","29","26","0","0","29","26","0","29","26","0","0","0"
"2004","3010004","白龙闹海•4","100","1901","180604","4","","29","26","0","0","29","26","0","29","26","0","0","0"
"2005","3010005","白龙闹海•5","100","1901","180605","5","","29","26","1","0","29","26","0","29","26","0","0","0"
"2006","3010006","天蓬娶亲•1","101","1902","180606","1","","35","68","0","0","35","68","0","35","68","0","0","0"
"2007","3010007","天蓬娶亲•2","101","1902","180607","2","","52","81","0","0","9","96","0","16","105","0","0","0"
"2008","3010008","天蓬娶亲•3","101","1902","180608","3","","86","68","0","0","63","83","0","67","94","0","0","0"
"2009","3010009","天蓬娶亲•4","101","1902","180609","4","","99","53","0","0","70","24","0","85","34","0","0","0"
"2010","3010010","天蓬娶亲•5","101","1902","180610","5","","67","29","1","0","41","49","0","50","60","0","0","0"
"2011","3010011","真假猴王•1","102","1903","180611","1","","37","69","0","0","37","69","0","37","69","0","0","0"
"2012","3010012","真假猴王•2","102","1903","180612","2","","46","69","0","0","9","96","0","16","105","0","0","0"
"2013","3010013","真假猴王•3","102","1903","180613","3","","90","76","0","0","63","83","0","67","94","0","0","0"
"2014","3010014","真假猴王•4","102","1903","180614","4","","70","42","0","0","70","24","0","85","34","0","0","0"
"2015","3010015","真假猴王•5","102","1903","180615","5","","93","19","1","0","41","49","0","50","60","0","0","0"
"2016","3010016","流沙地狱•1","103","1904","180616","1","","19","34","0","0","12","47","0","17","59","0","0","0"
"2017","3010017","金蝉转世•2","103","1904","180617","2","","11","71","0","0","9","96","0","16","105","0","0","0"
"2018","3010018","金蝉转世•3","103","1904","180618","3","","55","58","0","0","63","83","0","67","94","0","0","0"
"2019","3010019","金蝉转世•4","103","1904","180619","4","","92","72","0","0","70","24","0","85","34","0","0","0"
"2020","3010020","金蝉转世•5","103","1904","180620","5","","81","22","1","0","41","49","0","50","60","0","0","0"
"2021","3010021","金蝉转世•1","104","1905","180621","1","","17","49","0","0","12","47","0","17","59","0","0","0"
"2022","3010022","金蝉转世•2","104","1905","180622","2","","6","103","0","0","12","47","0","17","59","0","0","0"
"2023","3010023","金蝉转世•3","104","1905","180623","3","","65","88","0","0","9","96","0","16","105","0","0","0"
"2024","3010024","金蝉转世•4","104","1905","180624","4","","51","52","0","0","63","83","0","67","94","0","0","0"
"2025","3010025","金蝉转世•5","104","1905","180625","5","","75","33","0","0","50","50","0","85","34","0","0","0"
