"任性次数","花费符石","花费声望","花费金币"
"1","999999","999999","999999"
"2","999999","999999","999999"
"3","999999","999999","999999"
"4","999999","999999","999999"
"5","999999","999999","999999"
"6","999999","999999","999999"
"7","999999","999999","999999"
"8","999999","999999","999999"
"9","999999","999999","999999"
"10","999999","999999","999999"
"11","999999","999999","999999"
"12","999999","999999","999999"
"13","999999","999999","999999"
"14","999999","999999","999999"
"15","999999","999999","999999"
"16","999999","999999","999999"
"17","999999","999999","999999"
"18","999999","999999","999999"
"19","999999","999999","999999"
"20","999999","999999","999999"
"21","999999","999999","999999"
"22","999999","999999","999999"
"23","999999","999999","999999"
"24","999999","999999","999999"
"25","999999","999999","999999"
"26","999999","999999","999999"
"27","999999","999999","999999"
"28","999999","999999","999999"
"29","999999","999999","999999"
"30","999999","999999","999999"
"31","999999","999999","999999"
"32","999999","999999","999999"
"33","999999","999999","999999"
"34","999999","999999","999999"
"35","999999","999999","999999"
"36","999999","999999","999999"
"37","999999","999999","999999"
"38","999999","999999","999999"
"39","999999","999999","999999"
"40","999999","999999","999999"
"41","999999","999999","999999"
"42","999999","999999","999999"
"43","999999","999999","999999"
"44","999999","999999","999999"
"45","999999","999999","999999"
"46","999999","999999","999999"
"47","999999","999999","999999"
"48","999999","999999","999999"
"49","999999","999999","999999"
"50","999999","999999","999999"
"51","999999","999999","999999"
"52","999999","999999","999999"
"53","999999","999999","999999"
"54","999999","999999","999999"
"55","999999","999999","999999"
"56","999999","999999","999999"
"57","999999","999999","999999"
"58","999999","999999","999999"
"59","999999","999999","999999"
"60","999999","999999","999999"
"61","999999","999999","999999"
"62","999999","999999","999999"
"63","999999","999999","999999"
"64","999999","999999","999999"
"65","999999","999999","999999"
"66","999999","999999","999999"
"67","999999","999999","999999"
"68","999999","999999","999999"
"69","999999","999999","999999"
"70","999999","999999","999999"
"71","999999","999999","999999"
"72","999999","999999","999999"
"73","999999","999999","999999"
"74","999999","999999","999999"
"75","999999","999999","999999"
"76","999999","999999","999999"
"77","999999","999999","999999"
"78","999999","999999","999999"
"79","999999","999999","999999"
"80","999999","999999","999999"
"81","999999","999999","999999"
"82","999999","999999","999999"
"83","999999","999999","999999"
"84","999999","999999","999999"
"85","999999","999999","999999"
"86","999999","999999","999999"
"87","999999","999999","999999"
"88","999999","999999","999999"
"89","999999","999999","999999"
"90","999999","999999","999999"
"91","999999","999999","999999"
"92","999999","999999","999999"
"93","999999","999999","999999"
"94","999999","999999","999999"
"95","999999","999999","999999"
"96","999999","999999","999999"
"97","999999","999999","999999"
"98","999999","999999","999999"
"99","999999","999999","999999"
"100","999999","999999","999999"
"101","999999","999999","999999"
"102","999999","999999","999999"
"103","999999","999999","999999"
"104","999999","999999","999999"
"105","999999","999999","999999"
"106","999999","999999","999999"
"107","999999","999999","999999"
"108","999999","999999","999999"
"109","999999","999999","999999"
"110","999999","999999","999999"
"111","999999","999999","999999"
"112","999999","999999","999999"
"113","999999","999999","999999"
"114","999999","999999","999999"
"115","999999","999999","999999"
"116","999999","999999","999999"
"117","999999","999999","999999"
"118","999999","999999","999999"
"119","999999","999999","999999"
"120","999999","999999","999999"
"121","999999","999999","999999"
"122","999999","999999","999999"
"123","999999","999999","999999"
"124","999999","999999","999999"
"125","999999","999999","999999"
"126","999999","999999","999999"
"127","999999","999999","999999"
"128","999999","999999","999999"
"129","999999","999999","999999"
"130","999999","999999","999999"
"131","999999","999999","999999"
"132","999999","999999","999999"
"133","999999","999999","999999"
"134","999999","999999","999999"
"135","999999","999999","999999"
"136","999999","999999","999999"
"137","999999","999999","999999"
"138","999999","999999","999999"
"139","999999","999999","999999"
"140","999999","999999","999999"
"141","999999","999999","999999"
"142","999999","999999","999999"
"143","999999","999999","999999"
"144","999999","999999","999999"
"145","999999","999999","999999"
"146","999999","999999","999999"
"147","999999","999999","999999"
"148","999999","999999","999999"
"149","999999","999999","999999"
"150","999999","999999","999999"
"151","999999","999999","999999"
"152","999999","999999","999999"
"153","999999","999999","999999"
"154","999999","999999","999999"
"155","999999","999999","999999"
"156","999999","999999","999999"
"157","999999","999999","999999"
"158","999999","999999","999999"
"159","999999","999999","999999"
"160","999999","999999","999999"
