"使用道具类id","使用道具组","职业","等级段min","等级段max","地图id","x坐标","y坐标","偏移范围","是否随机坐标","道具id","使用道具后喊话"
"1","1","0","15","29","1605","47","36","10","0","50350",""
"2","1","0","30","39","1606","41","49","10","0","50351",""
"3","1","0","40","49","1614","64","42","10","0","50352",""
"4","1","0","50","59","1608","41","44","10","0","50353",""
"5","1","0","60","69","1609","55","63","10","0","50354",""
"6","1","0","70","155","1610","70","57","10","0","50355",""
"7","2","0","15","29","1605","47","36","10","0","50356",""
"8","2","0","30","39","1606","41","49","10","0","50357",""
"9","2","0","40","49","1614","24","79","10","0","50358",""
"10","2","0","50","59","1608","41","44","10","0","50359",""
"11","2","0","60","69","1609","55","63","10","0","50360",""
"12","2","0","70","155","1610","70","57","10","0","50361",""
"13","3","0","1","300","1615","47","36","10","1","50362","296"
"14","3","0","1","300","1616","41","49","10","1","50363","296"
"15","3","0","1","300","1614","21","59","10","1","50364","296"
"16","3","0","1","300","1611","41","44","10","1","50365","296"
"17","4","0","1","300","1609","55","63","10","1","50366","296"
"18","4","0","1","300","1610","70","57","10","1","50367","296"
"19","4","0","15","29","1605","47","36","10","0","50368","296"
"20","4","0","30","39","1606","41","49","10","0","50369","296"
"21","4","0","40","49","1607","21","59","10","0","50370","296"
"22","4","0","50","59","1608","41","44","10","0","50371","296"
"23","4","0","60","69","1609","55","63","10","0","50372","296"
"24","4","0","70","300","1610","70","57","10","0","50373","296"
"25","5","0","1","300","1614","18","26","10","0","50356",""
"26","6","0","1","300","1614","75","65","10","0","50357",""
"27","7","0","1","300","1614","40","95","10","0","50358",""
"28","8","0","1","300","1614","18","119","10","0","50359",""
"29","9","0","1","300","1614","83","132","10","0","50360",""
"30","10","0","1","300","1614","97","55","10","0","50361",""
