"寻找宠物类id","寻找宠物组","职业","等级段min","等级段max","回收宠物","物品数量","售卖NPC"
"1","1","11","10","24","500101@30;500102@30;500103@30","1","160802"
"2","1","11","25","34","500201@30;500202@30","1","160802"
"3","1","11","35","44","500301@30;500302@30;500303@30","1","160802"
"4","1","11","45","64","500401@30;500402@30;500403@30","1","160802"
"5","1","11","65","69","500652@30;500652@30;500652@30","1","160802"
"6","1","11","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"7","1","11","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"8","1","11","80","84","500652@30;500652@30;500652@30","1","160802"
"9","1","11","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"10","1","11","90","94","500652@30;500652@30","1","160802"
"11","1","11","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"12","1","11","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"13","1","11","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"14","1","12","10","24","500101@30;500102@30;500103@30","1","160802"
"15","1","12","25","34","500201@30;500202@30","1","160802"
"16","1","12","35","44","500301@30;500302@30;500303@30","1","160802"
"17","1","12","45","64","500401@30;500402@30;500403@30","1","160802"
"18","1","12","65","69","500652@30;500652@30;500652@30","1","160802"
"19","1","12","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"20","1","12","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"21","1","12","80","84","500652@30;500652@30;500652@30","1","160802"
"22","1","12","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"23","1","12","90","94","500652@30;500652@30","1","160802"
"24","1","12","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"25","1","12","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"26","1","12","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"27","1","13","10","24","500101@30;500102@30;500103@30","1","160802"
"28","1","13","25","34","500201@30;500202@30","1","160802"
"29","1","13","35","44","500301@30;500302@30;500303@30","1","160802"
"30","1","13","45","64","500401@30;500402@30;500403@30","1","160802"
"31","1","13","65","69","500652@30;500652@30;500652@30","1","160802"
"32","1","13","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"33","1","13","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"34","1","13","80","84","500652@30;500652@30;500652@30","1","160802"
"35","1","13","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"36","1","13","90","94","500652@30;500652@30","1","160802"
"37","1","13","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
