"巡逻类id","巡逻组","职业","等级段min","等级段max","地图id","战斗信息编号"
"1","1","11","15","300","1618@8","2461@50;2461@50"
"2","1","12","15","300","1621@8","2461@50;2461@50"
"3","1","13","15","300","1620@8","2461@50;2461@50"
"4","1","14","15","300","1622@8","2461@50;2461@50"
"5","1","15","15","300","1617@8","2461@50;2461@50"
"6","1","16","15","300","1619@8","2461@50;2461@50"
"7","1","17","15","300","1625@8","2461@50;2461@50"
"8","1","18","15","300","1623@8","2461@50;2461@50"
"9","1","19","15","300","1624@8","2461@50;2461@50"
"103","1","20","15","300","1638@8","2461@50;2461@50"
"104","1","21","15","300","1632@8","2461@50;2461@50"
"105","1","22","15","300","1627@8","2461@50;2461@50"
"106","1","23","15","300","1632@8","2461@50;2461@50"
"107","1","24","15","300","1612@8","2461@50;2461@50"
"108","1","25","15","300","9021@8","2461@50;2461@50"
"10","2","11","15","300","1613@100","2563@50;2563@50"
"11","2","12","15","300","1613@100","2563@50;2563@50"
"12","2","13","15","300","1613@100","2563@50;2563@50"
"13","2","14","15","300","1613@100","2563@50;2563@50"
"14","2","15","15","300","1613@100","2563@50;2563@50"
"15","2","16","15","300","1613@100","2563@50;2563@50"
"16","2","17","15","300","1613@100","2563@50;2563@50"
"17","2","18","15","300","1613@100","2563@50;2563@50"
"18","2","19","15","300","1613@100","2563@50;2563@50"
"109","2","20","15","300","1613@100","2563@50;2563@50"
"110","2","21","15","300","1613@100","2563@50;2563@50"
"111","2","22","15","300","1613@100","2563@50;2563@50"
"112","2","23","15","300","1613@100","2563@50;2563@50"
"113","2","24","15","300","1613@100","2563@50;2563@50"
"114","2","25","15","300","1613@100","2563@50;2563@50"
"19","3","11","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"20","3","12","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"21","3","13","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"22","3","14","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"23","3","15","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"24","3","16","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"25","3","17","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"26","3","18","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"27","3","19","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"115","3","20","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"116","3","21","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"117","3","22","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"118","3","23","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"119","3","24","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"120","3","25","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50"
"28","4","11","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"29","4","12","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"30","4","13","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"31","4","14","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"32","4","15","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"33","4","16","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"34","4","17","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"35","4","18","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"36","4","19","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"121","4","20","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"122","4","21","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"123","4","22","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"124","4","23","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"125","4","24","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
