"挑战类id","挑战组","职业","等级段min","等级段max","NPCid","战斗信息编号","挑战服务ID"
"1","1","0","15","155","161850@20","2801@20",""
"2","1","0","15","155","162150@20","2802@20",""
"3","1","0","15","155","162050@20","2803@20",""
"4","1","0","15","155","180250@20","2804@20",""
"5","1","0","15","155","161750@20","2805@20",""
"6","1","0","15","155","161950@20","2806@20",""
"7","1","0","15","155","169150@20","2807@20",""
"8","1","0","15","155","169050@20","2808@20",""
"9","1","0","15","155","169250@20","2809@20",""
"10","2","0","0","155","199901@100","2310@100",""
"11","3","0","0","155","199902@100","2311@100",""
"12","4","0","0","155","199903@100","2312@100",""
"13","5","0","0","155","199904@100","2310@100",""
"14","6","0","0","155","199905@100","2311@100",""
"15","7","0","15","155","161850@20","2801@20",""
"16","7","0","15","155","162150@20","2802@20",""
"17","7","0","15","155","162050@20","2803@20",""
"18","7","0","15","155","180250@20","2804@20",""
"19","7","0","15","155","161750@20","2805@20",""
"20","7","0","15","155","161950@20","2806@20",""
"21","7","0","15","155","169150@20","2807@20",""
"22","7","0","15","155","169050@20","2808@20",""
"23","7","0","15","155","169250@20","2809@20",""
"24","10","0","40","155","161702@20","8000@20",""
"25","10","0","40","155","161803@20","8001@20",""
"26","10","0","40","155","161902@20","8002@20",""
"27","10","0","40","155","162002@20","8003@20",""
"28","10","0","40","155","162102@20","8004@20",""
"29","10","0","40","155","162202@20","8005@20",""
"30","11","0","0","155","180001@100","2567@100",""
"31","12","0","0","155","180002@100","2568@100",""
"32","13","0","0","155","180003@100","2569@100",""
"33","14","0","0","155","180004@100","2570@100",""
"34","15","0","0","155","180005@100","2571@100",""
"35","16","0","0","155","180006@100","2572@100",""
"36","17","0","0","155","180007@100","2573@100",""
"37","18","0","0","155","180008@100","2574@100",""
"38","19","0","0","155","180009@100","2575@100",""
"39","20","0","0","155","180010@100","2576@100",""
"40","21","0","0","155","180011@100","2577@100",""
"41","23","0","30","50","211128@100","3102@100",""
"42","24","0","50","70","211129@100","3103@100",""
"43","25","0","70","99","211130@100","3104@100",""
"44","31","0","40","155","161614@100","2811@100","100191"
"45","32","0","40","155","161428@100","2812@100","100192"
"46","33","0","40","155","161429@100","2813@100","100193"
"47","34","0","40","155","161430@100","2814@100","100194"
"48","35","0","40","155","161206@100","2815@100","100195"
"49","36","0","40","155","161006@100","2816@100","100196"
"50","37","0","40","155","160816@100","2817@100","100197"
"51","38","0","40","155","160801@100","2818@100","100198"
"52","39","0","40","155","160913@100","2819@100","100199"
"53","40","0","40","155","160614@100","2820@100","100200"
"54","41","0","40","155","161614@100","2481@100","100191"
"55","42","0","40","155","161428@100","2482@100","100192"
"56","43","0","40","155","161429@100","2483@100","100193"
"57","44","0","40","155","161430@100","2484@100","100194"
"58","45","0","40","155","161206@100","2485@100","100195"
"59","46","0","40","155","161006@100","2486@100","100196"
"60","47","0","40","155","160816@100","2487@100","100197"
"61","48","0","40","155","160801@100","2488@100","100198"
"62","49","0","40","155","160913@100","2489@100","100199"
"63","50","0","40","155","160614@100","2490@100","100200"
"64","51","0","40","155","161614@100","2491@100","100191"
"65","52","0","40","155","161428@100","2492@100","100192"
"66","53","0","40","155","161429@100","2493@100","100193"
"67","54","0","40","155","161430@100","2494@100","100194"
"68","55","0","40","155","161206@100","2495@100","100195"
"69","56","0","40","155","161006@100","2496@100","100196"
"70","57","0","40","155","160816@100","2497@100","100197"
"71","58","0","40","155","160801@100","2498@100","100198"
"72","59","0","40","155","160913@100","2499@100","100199"
"73","60","0","40","155","160614@100","2500@100","100200"
"74","61","0","40","155","161614@100","2501@100","100191"
"75","62","0","40","155","161428@100","2502@100","100192"
"76","63","0","40","155","161429@100","2503@100","100193"
"77","64","0","40","155","161430@100","2504@100","100194"
"78","65","0","40","155","161206@100","2505@100","100195"
"79","66","0","40","155","161006@100","2506@100","100196"
"80","67","0","40","155","160816@100","2507@100","100197"
"81","68","0","40","155","160801@100","2508@100","100198"
"82","69","0","40","155","160913@100","2509@100","100199"
"83","70","0","40","155","160614@100","2510@100","100200"
"84","71","0","40","155","161614@100","2511@100","100191"
"85","72","0","40","155","161428@100","2512@100","100192"
"86","73","0","40","155","161429@100","2513@100","100193"
"87","74","0","40","155","161430@100","2514@100","100194"
"88","75","0","40","155","161206@100","2515@100","100195"
"89","76","0","40","155","161006@100","2516@100","100196"
"90","77","0","40","155","160816@100","2517@100","100197"
"91","78","0","40","155","160801@100","2518@100","100198"
"92","79","0","40","155","160913@100","2519@100","100199"
"93","80","0","40","155","160614@100","2520@100","100200"
"94","81","0","40","155","161614@100","2521@100","100191"
"95","82","0","40","155","161428@100","2522@100","100192"
"96","83","0","40","155","161429@100","2523@100","100193"
"97","84","0","40","155","161430@100","2524@100","100194"
"98","85","0","40","155","161206@100","2525@100","100195"
"99","86","0","40","155","161006@100","2526@100","100196"
"100","87","0","40","155","160816@100","2527@100","100197"
"101","88","0","40","155","160801@100","2528@100","100198"
"102","89","0","40","155","160913@100","2529@100","100199"
"103","90","0","40","155","160614@100","2530@100","100200"
"104","91","0","40","155","161614@100","2531@100","100191"
"105","92","0","40","155","161428@100","2532@100","100192"
"106","93","0","40","155","161429@100","2533@100","100193"
"107","94","0","40","155","161430@100","2534@100","100194"
"108","95","0","40","155","161206@100","2535@100","100195"
"109","96","0","40","155","161006@100","2536@100","100196"
"110","97","0","40","155","160816@100","2537@100","100197"
"111","98","0","40","155","160801@100","2538@100","100198"
"112","99","0","40","155","160913@100","2539@100","100199"
"113","100","0","40","155","160614@100","2540@100","100200"
"114","101","0","40","155","161614@100","2541@100","100191"
"115","102","0","40","155","161428@100","2542@100","100192"
"116","103","0","40","155","161429@100","2543@100","100193"
"117","104","0","40","155","161430@100","2544@100","100194"
"118","105","0","40","155","161206@100","2545@100","100195"
"119","106","0","40","155","161006@100","2546@100","100196"
"120","107","0","40","155","160816@100","2547@100","100197"
"121","108","0","40","155","160801@100","2548@100","100198"
"122","109","0","40","155","160913@100","2549@100","100199"
"123","110","0","40","155","160614@100","2550@100","100200"
"124","111","0","40","155","161614@100","2551@100","100191"
"125","112","0","40","155","161428@100","2552@100","100192"
"126","113","0","40","155","161429@100","2553@100","100193"
"127","114","0","40","155","161430@100","2554@100","100194"
"128","115","0","40","155","161206@100","2555@100","100195"
"129","116","0","40","155","161006@100","2556@100","100196"
"130","117","0","40","155","160816@100","2557@100","100197"
"131","118","0","40","155","160801@100","2558@100","100198"
"132","119","0","40","155","160913@100","2559@100","100199"
"133","120","0","40","155","160614@100","2560@100","100200"
"134","121","0","40","155","161614@100","2821@100","100191"
"135","122","0","40","155","161428@100","2822@100","100192"
"136","123","0","40","155","161429@100","2823@100","100193"
"137","124","0","40","155","161430@100","2824@100","100194"
"138","125","0","40","155","161206@100","2825@100","100195"
"139","126","0","40","155","161006@100","2826@100","100196"
"140","127","0","40","155","160816@100","2827@100","100197"
"141","128","0","40","155","160801@100","2828@100","100198"
"142","129","0","40","155","160913@100","2829@100","100199"
"143","130","0","40","155","160614@100","2830@100","100200"
"144","131","0","40","155","161614@100","2831@100","100191"
"145","132","0","40","155","161428@100","2832@100","100192"
"146","133","0","40","155","161429@100","2833@100","100193"
"147","134","0","40","155","161430@100","2834@100","100194"
"148","135","0","40","155","161206@100","2835@100","100195"
"149","136","0","40","155","161006@100","2836@100","100196"
"150","137","0","40","155","160816@100","2837@100","100197"
"151","138","0","40","155","160801@100","2838@100","100198"
"152","139","0","40","155","160913@100","2839@100","100199"
"153","140","0","40","155","160614@100","2840@100","100200"
"154","141","0","40","155","161614@100","2841@100","100191"
"155","142","0","40","155","161428@100","2842@100","100192"
"156","143","0","40","155","161429@100","2843@100","100193"
"157","144","0","40","155","161430@100","2844@100","100194"
"158","145","0","40","155","161206@100","2845@100","100195"
"159","146","0","40","155","161006@100","2846@100","100196"
"160","147","0","40","155","160816@100","2847@100","100197"
"161","148","0","40","155","160801@100","2848@100","100198"
"162","149","0","40","155","160913@100","2849@100","100199"
"163","150","0","40","155","160614@100","2850@100","100200"
"164","151","0","40","155","161614@100","2851@100","100191"
"165","152","0","40","155","161428@100","2852@100","100192"
"166","153","0","40","155","161429@100","2853@100","100193"
"167","154","0","40","155","161430@100","2854@100","100194"
"168","155","0","40","155","161206@100","2855@100","100195"
"169","156","0","40","155","161006@100","2856@100","100196"
"170","157","0","40","155","160816@100","2857@100","100197"
"171","158","0","40","155","160801@100","2858@100","100198"
"172","159","0","40","155","160913@100","2859@100","100199"
"173","160","0","40","155","160614@100","2860@100","100200"
"174","161","0","40","155","161614@100","2861@100","100191"
"175","162","0","40","155","161428@100","2862@100","100192"
"176","163","0","40","155","161429@100","2863@100","100193"
"177","164","0","40","155","161430@100","2864@100","100194"
"178","165","0","40","155","161206@100","2865@100","100195"
"179","166","0","40","155","161006@100","2866@100","100196"
"180","167","0","40","155","160816@100","2867@100","100197"
"181","168","0","40","155","160801@100","2868@100","100198"
"182","169","0","40","155","160913@100","2869@100","100199"
"183","170","0","40","155","160614@100","2870@100","100200"
"184","171","0","40","155","161614@100","2871@100","100191"
"185","172","0","40","155","161428@100","2872@100","100192"
"186","173","0","40","155","161429@100","2873@100","100193"
"187","174","0","40","155","161430@100","2874@100","100194"
"188","175","0","40","155","161206@100","2875@100","100195"
"189","176","0","40","155","161006@100","2876@100","100196"
"190","177","0","40","155","160816@100","2877@100","100197"
"191","178","0","40","155","160801@100","2878@100","100198"
"192","179","0","40","155","160913@100","2879@100","100199"
"193","180","0","40","155","160614@100","2880@100","100200"
"194","181","0","40","155","161614@100","2881@100","100191"
"195","182","0","40","155","161428@100","2882@100","100192"
"196","183","0","40","155","161429@100","2883@100","100193"
"197","184","0","40","155","161430@100","2884@100","100194"
"198","185","0","40","155","161206@100","2885@100","100195"
"199","186","0","40","155","161006@100","2886@100","100196"
"200","187","0","40","155","160816@100","2887@100","100197"
"201","188","0","40","155","160801@100","2888@100","100198"
"202","189","0","40","155","160913@100","2889@100","100199"
"203","190","0","40","155","160614@100","2890@100","100200"
"204","191","0","40","155","161614@100","2891@100","100191"
"205","192","0","40","155","161428@100","2892@100","100192"
"206","193","0","40","155","161429@100","2893@100","100193"
"207","194","0","40","155","161430@100","2894@100","100194"
"208","195","0","40","155","161206@100","2895@100","100195"
"209","196","0","40","155","161006@100","2896@100","100196"
"210","197","0","40","155","160816@100","2897@100","100197"
"211","198","0","40","155","160801@100","2898@100","100198"
"212","199","0","40","155","160913@100","2899@100","100199"
"213","200","0","40","155","160614@100","2900@100","100200"
"214","201","0","40","155","161614@100","2901@100","100191"
"215","202","0","40","155","161428@100","2902@100","100192"
"216","203","0","40","155","161429@100","2903@100","100193"
"217","204","0","40","155","161430@100","2904@100","100194"
"218","205","0","40","155","161206@100","2905@100","100195"
"219","206","0","40","155","161006@100","2906@100","100196"
"220","207","0","40","155","160816@100","2907@100","100197"
"221","208","0","40","155","160801@100","2908@100","100198"
"222","209","0","40","155","160913@100","2909@100","100199"
"223","210","0","40","155","160614@100","2910@100","100200"
"224","211","0","40","155","161614@100","2911@100","100191"
"225","212","0","40","155","161428@100","2912@100","100192"
"226","213","0","40","155","161429@100","2913@100","100193"
"227","214","0","40","155","161430@100","2914@100","100194"
"228","215","0","40","155","161206@100","2915@100","100195"
"229","216","0","40","155","161006@100","2916@100","100196"
"230","217","0","40","155","160816@100","2917@100","100197"
"231","218","0","40","155","160801@100","2918@100","100198"
"232","219","0","40","155","160913@100","2919@100","100199"
"233","220","0","40","155","160614@100","2920@100","100200"
"234","221","0","40","155","161614@100","2921@100","100191"
"235","222","0","40","155","161428@100","2922@100","100192"
"236","223","0","40","155","161429@100","2923@100","100193"
"237","224","0","40","155","161430@100","2924@100","100194"
"238","225","0","40","155","161206@100","2925@100","100195"
"239","226","0","40","155","161006@100","2926@100","100196"
"240","227","0","40","155","160816@100","2927@100","100197"
"241","228","0","40","155","160801@100","2928@100","100198"
"242","229","0","40","155","160913@100","2929@100","100199"
"243","230","0","40","155","160614@100","2930@100","100200"
