"收集物品类id","收集物品组","职业","地图备注","等级段min","等级段max","地图id","怪物id","物品id","物品数量"
"1","1","11","溶洞二层","15","24","1626@100","22003","50374","1"
"2","1","11","溶洞三层","25","29","1626@100","22003","50374","1"
"3","1","11","废矿一层","30","32","1626@100","22003","50374","1"
"4","1","11","废矿二层","33","35","1626@100","22003","50374","1"
"5","1","11","废矿三层","36","39","1626@100","22003","50374","1"
"6","1","11","银堡一层","40","42","1626@100","22003","50374","1"
"7","1","11","银堡二层","43","45","1626@100","22003","50374","1"
"8","1","11","银堡三层","46","49","1626@100","22003","50374","1"
"9","1","11","荒泽一层","50","52","1626@100","22003","50374","1"
"10","1","11","荒泽二层","53","55","1626@100","22003","50374","1"
"11","1","11","荒泽三层","56","59","1626@100","22003","50374","1"
"12","1","11","教堂一层","60","62","1627@100","22003","50374","1"
"13","1","11","教堂二层","63","65","1627@100","22003","50374","1"
"14","1","11","教堂三层","66","69","1627@100","22003","50374","1"
"15","1","11","埋股圣地一层","70","71","1627@100","22003","50374","1"
"16","1","11","埋股圣地二层","72","73","1627@100","22003","50374","1"
"17","1","11","埋股圣地三层","74","75","1627@100","22003","50374","1"
"18","1","11","遗迹一层","76","77","1627@100","22003","50374","1"
"19","1","11","遗迹二层","78","79","1627@100","22003","50374","1"
"20","1","11","遗迹三层","80","81","1628@100","22003","50374","1"
"21","1","11","祭坛一层","82","83","1628@100","22003","50374","1"
"22","1","11","祭坛二层","84","85","1628@100","22003","50374","1"
"23","1","11","祭坛三层","86","87","1628@100","22003","50374","1"
"24","1","11","深渊一层","88","89","1628@100","22003","50374","1"
"25","1","11","深渊二层","90","91","1629@100","22003","50374","1"
"26","1","11","深渊三层","92","93","1629@100","22003","50374","1"
"27","1","11","雾都一层","94","95","1629@100","22003","50374","1"
"28","1","11","雾都二层","96","97","1629@100","22003","50374","1"
"29","1","11","雾都三层","98","150","1629@100","22003","50374","1"
"30","1","12","溶洞二层","15","24","1626@100","22003","50374","1"
"31","1","12","溶洞三层","25","29","1626@100","22003","50374","1"
"32","1","12","废矿一层","30","32","1626@100","22003","50374","1"
"33","1","12","废矿二层","33","35","1626@100","22003","50374","1"
"34","1","12","废矿三层","36","39","1626@100","22003","50374","1"
"35","1","12","银堡一层","40","42","1626@100","22003","50374","1"
"36","1","12","银堡二层","43","45","1626@100","22003","50374","1"
"37","1","12","银堡三层","46","49","1626@100","22003","50374","1"
"38","1","12","荒泽一层","50","52","1626@100","22003","50374","1"
"39","1","12","荒泽二层","53","55","1626@100","22003","50374","1"
"40","1","12","荒泽三层","56","59","1626@100","22003","50374","1"
"41","1","12","教堂一层","60","62","1627@100","22003","50374","1"
"42","1","12","教堂二层","63","65","1627@100","22003","50374","1"
"43","1","12","教堂三层","66","69","1627@100","22003","50374","1"
"44","1","12","埋股圣地一层","70","71","1627@100","22003","50374","1"
"45","1","12","埋股圣地二层","72","73","1627@100","22003","50374","1"
"46","1","12","埋股圣地三层","74","75","1627@100","22003","50374","1"
"47","1","12","遗迹一层","76","77","1627@100","22003","50374","1"
"48","1","12","遗迹二层","78","79","1627@100","22003","50374","1"
"49","1","12","遗迹三层","80","81","1628@100","22003","50374","1"
"50","1","12","祭坛一层","82","83","1628@100","22003","50374","1"
"51","1","12","祭坛二层","84","85","1628@100","22003","50374","1"
"52","1","12","祭坛三层","86","87","1628@100","22003","50374","1"
"53","1","12","深渊一层","88","89","1628@100","22003","50374","1"
"54","1","12","深渊二层","90","91","1629@100","22003","50374","1"
"55","1","12","深渊三层","92","93","1629@100","22003","50374","1"
"56","1","12","雾都一层","94","95","1629@100","22003","50374","1"
"57","1","12","雾都二层","96","97","1629@100","22003","50374","1"
"58","1","12","雾都三层","98","150","1629@100","22003","50374","1"
"59","1","13","溶洞二层","15","24","1626@100","22003","50374","1"
"60","1","13","溶洞三层","25","29","1626@100","22003","50374","1"
"61","1","13","废矿一层","30","32","1626@100","22003","50374","1"
"62","1","13","废矿二层","33","35","1626@100","22003","50374","1"
"63","1","13","废矿三层","36","39","1626@100","22003","50374","1"
"64","1","13","银堡一层","40","42","1626@100","22003","50374","1"
"65","1","13","银堡二层","43","45","1626@100","22003","50374","1"
"66","1","13","银堡三层","46","49","1626@100","22003","50374","1"
"67","1","13","荒泽一层","50","52","1626@100","22003","50374","1"
"68","1","13","荒泽二层","53","55","1626@100","22003","50374","1"
"69","1","13","荒泽三层","56","59","1626@100","22003","50374","1"
"70","1","13","教堂一层","60","62","1627@100","22003","50374","1"
"71","1","13","教堂二层","63","65","1627@100","22003","50374","1"
"72","1","13","教堂三层","66","69","1627@100","22003","50374","1"
"73","1","13","埋股圣地一层","70","71","1627@100","22003","50374","1"
"74","1","13","埋股圣地二层","72","73","1627@100","22003","50374","1"
"75","1","13","埋股圣地三层","74","75","1627@100","22003","50374","1"
"76","1","13","遗迹一层","76","77","1627@100","22003","50374","1"
"77","1","13","遗迹二层","78","79","1627@100","22003","50374","1"
"78","1","13","遗迹三层","80","81","1628@100","22003","50374","1"
"79","1","13","祭坛一层","82","83","1628@100","22003","50374","1"
"80","1","13","祭坛二层","84","85","1628@100","22003","50374","1"
"81","1","13","祭坛三层","86","87","1628@100","22003","50374","1"
"82","1","13","深渊一层","88","89","1628@100","22003","50374","1"
"83","1","13","深渊二层","90","91","1629@100","22003","50374","1"
"84","1","13","深渊三层","92","93","1629@100","22003","50374","1"
"85","1","13","雾都一层","94","95","1629@100","22003","50374","1"
"86","1","13","雾都二层","96","97","1629@100","22003","50374","1"
"87","1","13","雾都三层","98","150","1629@100","22003","50374","1"
"88","1","14","溶洞二层","15","24","1626@100","22003","50374","1"
