"id","等级段min","等级段max","环数段min","环数段max","任务概率"
"1","50","59","1","10","1080001@15;1080027@15;1080043@15"
"2","50","59","11","20","1080001@15;1080002@15;1080028@15;1080044@15"
"3","50","59","21","30","1080001@15;1080002@15;1080005@15;1080029@15;1080045@15"
"4","50","59","31","40","1080001@15;1080002@15;1080005@15;1080010@15;1080030@15;1080046@15"
"5","50","59","41","50","1080001@15;1080002@15;1080003@15;1080005@15;1080010@15;1080017@15;1080030@15;1080046@15"
"6","50","59","51","60","1080001@15;1080002@15;1080003@15;1080006@15;1080011@15;1080018@15;1080031@15;1080047@15"
"7","50","59","61","70","1080001@15;1080002@15;1080003@15;1080006@15;1080011@15;1080018@15;1080031@15;1080048@15"
"8","50","59","71","80","1080001@15;1080002@15;1080003@15;1080006@15;1080011@15;1080018@15;1080031@15;1080049@15"
"9","50","59","81","90","1080002@15;1080003@15;1080004@15;1080007@15;1080012@15;1080019@15;1080031@15;1080050@15"
"10","50","59","91","100","1080002@15;1080003@15;1080004@15;1080007@15;1080012@15;1080019@15;1080031@15;1080051@15"
"11","50","59","101","110","1080002@15;1080003@15;1080004@15;1080008@15;1080013@15;1080020@15;1080031@15;1080052@15"
"12","50","59","111","120","1080002@15;1080003@15;1080004@15;1080008@15;1080013@15;1080020@15;1080031@15;1080051@15"
"13","50","59","121","130","1080002@15;1080003@15;1080004@15;1080009@15;1080014@15;1080020@15;1080031@15;1080052@15"
"14","50","59","131","140","1080002@15;1080003@15;1080004@15;1080009@15;1080014@15;1080020@15;1080031@15;1080051@15"
"15","60","300","1","10","1080001@15;1080027@15;1080043@15"
"16","60","300","11","20","1080001@15;1080002@15;1080028@15;1080044@15"
"17","60","300","21","30","1080001@15;1080002@15;1080005@15;1080029@15;1080045@15"
"18","60","300","31","40","1080001@15;1080002@15;1080005@15;1080010@15;1080030@15;1080046@15"
"19","60","300","41","50","1080001@15;1080002@15;1080003@15;1080005@15;1080010@15;1080017@15;1080030@15;1080046@15"
"20","60","300","51","60","1080001@15;1080002@15;1080003@15;1080006@15;1080011@15;1080018@15;1080031@15;1080047@15"
"21","60","300","61","70","1080001@15;1080002@15;1080003@15;1080006@15;1080011@15;1080018@15;1080031@15;1080048@15"
"22","60","300","71","80","1080001@15;1080002@15;1080003@15;1080006@15;1080011@15;1080018@15;1080031@15;1080049@15"
"23","60","300","81","90","1080002@15;1080003@15;1080004@15;1080007@15;1080012@15;1080019@15;1080032@15;1080050@15"
"24","60","300","91","100","1080002@15;1080003@15;1080004@15;1080007@15;1080012@15;1080019@15;1080032@15;1080051@15"
"25","60","300","101","110","1080002@15;1080003@15;1080004@15;1080008@15;1080013@15;1080020@15;1080032@15;1080052@15"
"26","60","300","111","120","1080002@15;1080003@15;1080004@15;1080008@15;1080013@15;1080020@15;1080032@15;1080051@15"
"27","60","300","121","130","1080002@15;1080003@15;1080004@15;1080009@15;1080014@15;1080020@15;1080032@15;1080052@15"
"28","60","300","131","140","1080002@15;1080003@15;1080004@15;1080009@15;1080014@15;1080020@15;1080032@15;1080051@15"
"","","","","",""
