"id","任务对话"
"1","<T t=""你来的正好，替我送封信给""></T><T t=""$NPCName$""></T><T t=""，快去快回不要偷懒。""></T>"
"2","<T t=""信件我已收到，十分感谢~"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"3","<T t=""前去采集草药，快去快回。"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"4","<T t=""前去"" c=""FFFFF2DF"" f=""simhei-13""></T><T t=""$MapName$"" c=""FF33FF00"" f=""simhei-13""></T><T t=""制造一张符文，快去快回。"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"5","<T t=""师门最近""></T><T t=""$ItemName$""></T><T t=""消耗过大，你去""></T><T t=""$MapName$""></T><T t=""收集一些吧。""></T>"
"6","<T t=""最近总有些捣乱的家伙在""></T><T t=""$MapName$""></T><T t=""鬼鬼祟祟，你快去收拾了他们！""></T>"
"7","<T t=""去寻个"" c=""FFFFF2DF"" f=""simhei-13""></T><T t=""$ItemName$"" c=""FF33FF00"" f=""simhei-13""></T><T t=""来。"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"8","<T t=""辛苦你了~"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"9","<T t=""去寻个"" c=""FFFFF2DF"" f=""simhei-13""></T><T t=""$ItemName$"" c=""FF33FF00"" f=""simhei-13""></T><T t=""来。"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"10","<T t=""$NPCName$"" c=""FF33FF00"" f=""simhei-13""></T><T t=""出现在"" c=""FFFFF2DF"" f=""simhei-13""></T><T t=""$MapName$"" c=""FF33FF00"" f=""simhei-13""></T><T t=""，速速前去捉拿。"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"11","<T t=""少侠既然这么豪爽，那么我也不藏着掖着了，请少侠按照任务上的地点前去查看强盗位置。"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"12","多年前我作为冒险者，叱咤风云的时候，不小心遗失了自己的装备，你能去帮我找回来吗？"
"13","不错,看来你已经真正成长起来了，那么我这里有些好东西要给你，能拿到什么就看你的运气了。"
"14","<T t=""我们的帮派需要壮大，去寻找""></T><T t=""$NPCName$""></T><T t=""，寻求支持。""></T>"
"15","<T t=""你的来意我已知道，你先去忙吧，我随后就到。"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"16","<T t=""去宣读公告，宣扬帮派章程，扩大帮派影响。"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"17","<T t=""去张贴告示，公示帮派待遇，扩大帮派影响。"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"18","文无第一，武无第二，所以你一定要充分展现自己！"
"19","<T t=""想要领取称谓？让我看看你的修炼成果。正好刚才有只""></T><T t=""$NPCName$""></T><T t=""不知道怎么发狂了，不知跑到哪里，快去把它带回来。""></T>"
"20","<T t=""你做的很好，现在授予你""></T><T t=""$NPCName$""></T><T t=""的称号。希望你勤加修炼，莫生懈怠之心。""></T>"
"21","不错就是这个，没想到分别多年的老伙计，还有再见的一天，穿上它我仿佛又回到了那些铁血峥嵘的岁月。"
"22","这些该死的劫匪竟敢来抢劫我的贸易车队，要是你能够帮我清除它们，我将会给你丰厚的报酬。"
"23","<T t=""辛苦少侠，不愧是人中龙凤，这镖银送的真快。"" c=""FFFFF2DF"" f=""simhei-13""></T><E e=""126""></E><E e=""126""></E>"
"24","<T t=""少侠务必要将镖银安全送达！镖局最近被劫怕了呀~"" c=""FFFFF2DF"" f=""simhei-13""></T><E e=""114""></E><E e=""114""></E>"
"25","<T t=""不好！！镖局有镖银被劫匪劫去了，请少侠将镖银追回！"" c=""FFFFF2DF"" f=""simhei-13""></T>"
"26","<T t=""辛苦少侠。"" c=""FFFFF2DF"" f=""simhei-13""></T><E e=""126""></E><E e=""126""></E>"
"27","<T t=""辛苦~帮派有你们建设，定能越来越繁荣。"" c=""FFFFF2DF"" f=""simhei-13""></T><E e=""126""></E><E e=""126""></E>"
"28","<T t=""少侠古道热肠，帮在下收集"" c=""FFFFF2DF"" f=""simhei-13""></T><T t=""$ItemName$"" c=""FF33FF00"" f=""simhei-13""></T><T t=""来，在下必有重赏。"" c=""FFFFF2DF"" f=""simhei-13""></T><E e=""203""></E>"
"29","<T t=""就是此物~少侠果真厉害呢，这就收集到了。"" c=""FFFFF2DF"" f=""simhei-13""></T><E e=""201""></E>"
