"坐骑ID","坐骑模型","坐骑移动速度","坐骑buff","坐骑特效","坐骑特效坐标X","坐骑特效坐标Y","策划备注","站坐"
"1","162","1200","888888","","","","可爱云","1"
"2","112","1200","888889","","","","流沙葫","0"
"3","211","1200","888890","","","","丹须虾","0"
"4","213","1200","888891","","","","望月吼","0"
"5","214","1200","888892","","","","龙羽枭","0"
"6","215","1200","888893","","","","四不像","0"
"7","216","1200","888894","","","","灵月驼","0"
"8","217","1200","888895","","","","岩溶牛","0"
"9","220","1200","888896","","","","蝶语莺","0"
"10","222","1200","888897","","","","龙灵猫","0"
"11","223","1200","888898","","","","冰晶虎","0"
"12","228","1200","888899","","","","羊咩咩","0"
"13","237","1200","888900","","","","金玉鲤","0"
"14","259","1200","888901","","","","竹团团","0"
"15","505","1300","888902","","","","九霄鹏","0"
"16","260","1200","888903","","","","比翼飞","1"
"17","115","1200","888904","","","","开明兽","0"
"18","116","1200","888905","","","","吉庆兽","0"
"19","114","1200","888906","","","","炎爆龙","0"
"20","617","1200","888907","","","","天地棋局","1"
"21","618","1200","888908","","","","童话书·日","1"
"22","619","1200","888909","","","","童话书·夜","1"
"23","620","1200","888910","","","","一路发","1"
"24","2016","1300","888911","","","","招财虎","0"
"25","601","1200","888912","","","","琉璃雪","1"
"26","602","1200","888913","","","","雷电","1"
"27","100","1200","888914","","","","仙人掌","0"
"28","158","1200","888915","","","","好梦云","1"
"29","159","1200","888916","","","","睡梦云","1"
"30","157","1200","888917","","","","丰雪嘟嘟","0"
"31","155","1200","888918","","","","北冥鲲（篮）","0"
"32","136","1200","888919","","","","冰晶鹿","0"
"33","143","1200","888920","","","","猛犸象","0"
"34","144","1200","888921","","","","蓝瞳兔","0"
"35","161","1200","888922","","","","雪嘟嘟","0"
"36","142","1200","888923","","","","小锦鲤","0"
"37","241","1200","888924","","","","琉璃雪","1"
"38","504","1300","888925","","","","超人小柴","0"
"39","205","1200","888926","","","","雪绒鸭","0"
"40","206","1200","888927","","","","暖绒熊","0"
"41","1622","1200","509796","","","","雪云狮","0"
"42","502","1300","509796","","","","天元狮","0"
"43","1511","1200","509796","","","","玄天虎","0"
"44","506","1300","509796","","","","冥翼虎","0"
"45","507","1300","509796","","","","炎翼虎","0"
"46","101","1200","509796","","","","冰翔虎","0"
"47","117","1200","509796","","","","花猫","0"
"48","102","1200","509796","","","","光猫","0"
"49","2005","1300","509796","","","","彩毛驴","0"
"50","109","1200","509796","","","","彩小驴","0"
"51","263","1200","509796","","","","粉小驴","0"
"52","266","1200","509796","","","","毛小驴","0"
"53","501","1300","509796","","","","流星马","0"
"54","1519","1200","509796","","","","幽冥马","0"
"55","1522","1200","509796","","","","绝影马","0"
"56","1581","1200","509796","","","","飞焰马","0"
"57","122","1200","509796","","","","彩虹马","0"
"58","2002","1300","509796","","","","云龙马","0"
"59","137","1200","509796","","","","时空马","0"
"60","138","1200","509796","","","","风灵马","0"
"61","154","1200","509796","","","","白龙马","0"
"62","1521","1200","509796","","","","魔晶狼","0"
"63","1523","1200","509796","","","","风怒麟","0"
"64","1528","1200","509796","","","","仙瑞麟","0"
"65","1532","1200","509796","","","","月影鹿","0"
"66","123","1200","509796","","","","萌萌龙","0"
"67","124","1200","509796","","","","黑金豹","0"
"68","125","1200","509796","","","","小阿狸","0"
"69","126","1200","509796","","","","小柯","0"
"70","127","1200","509796","","","","福猪猪","0"
"71","128","1200","509796","","","","小鼬鼬","0"
"72","129","1200","509796","","","","星云兽","0"
"73","130","1200","509796","","","","奶雷兔","0"
"74","132","1200","509796","","","","雪绒狐","0"
"75","133","1200","509796","","","","充偶虎","0"
"76","134","1200","509796","","","","翼海马","0"
"77","140","1200","509796","","","","奇旅喵","0"
"78","141","1200","509796","","","","灰猫","0"
"79","118","1200","509796","","","","锦鲤","0"
"80","503","1300","509796","","","","蒙面酷猫","0"
"81","613","1200","509796","","","","海洋霸主","0"
"82","111","1200","509796","","","","天使猪猪","0"
"83","107","1200","509796","","","","巡洋鲨","0"
"84","207","1200","509796","","","","布偶熊","0"
"85","1510","1200","509796","","","","食月逐影","0"
"86","1512","1200","509796","","","","天狗踏月","0"
"87","119","1200","509796","","","","月豹","0"
"88","120","1200","509796","","","","风雷羚（炎）","0"
"89","121","1200","509796","","","","一尾狐","0"
"90","145","1200","509796","","","","黑耀鹿","0"
"91","146","1200","509796","","","","三尾狐","0"
"92","147","1200","509796","","","","孺子牛","0"
"93","148","1200","509796","","","","天狗","0"
"94","160","1200","509796","","","","黑天狗","0"
"95","149","1200","509796","","","","熔岩犀","0"
"96","151","1200","509796","","","","巡林猪","0"
"97","153","1200","509796","","","","阴阳牛","0"
"98","250","1200","509796","","","","哮天犬","0"
"99","251","1200","509796","","","","星云兽","0"
"100","252","1200","509796","","","","熊猫儿","0"
"101","255","1200","509796","","","","枯骨龙•粉","0"
"102","278","1200","509796","","","","芭蕉扇","1"
"103","279","1200","509796","","","","七彩羽","1"
"104","280","1200","509796","","","","雷云","1"
"105","281","1200","509796","","","","彩云","1"
"106","203","1200","509796","","","","最靓的仔","1"
"107","219","1200","509796","","","","天下第一高手","1"
"108","268","1200","509796","","","","住在海边喜欢浪","1"
"109","269","1200","509796","","","","九天碧落笑黄泉","1"
"110","270","1200","509796","","","","不死不休独未央","1"
"111","113","1200","509796","","","","无欲无求帝空镜","1"
"112","614","1200","509796","","","","富甲天下","1"
"113","615","1200","509796","","","","大哥的女人","1"
"114","616","1200","509796","","","","大富大贵","1"
"115","612","1200","509796","","","","来啊•快活呀","1"
"116","105","1200","509796","","","","咒印封邪•吾定乾坤","1"
"117","106","1200","509796","","","","逆风神豪•唯吾独尊","1"
"118","108","1200","509796","","","","不良人一•辈子都是","1"
"119","110","1200","509796","","","","佛不度我•我便弑佛","1"
"120","156","1200","509796","","","","逆风霸主•不服来战","1"
"121","152","1200","509796","","","","逆风西游•冠名大佬","1"
"122","139","1200","509796","","","","有钱真的可以为所欲为","1"
"123","246","1200","509796","","","","雕虫小技•竟敢班门弄","1"
"124","150","1200","509796","","","","一个月几百块玩什么命","1"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
