"id","战斗回合数","条件脚本","奖励次数","AI怪回合数","触发几率","对象过滤","被使用的技能ID","策划备注"
"34001",">=1","","0","","","_94001_>=1","","自己中了失心"
"34002",">=1","","0","","","_94002_>=1","","自己中了定身"
"34003",">=1","","0","","","_94003_>=1","","自身血大于等于50%"
"34004",">=1","","0","","","_94004_>=1","","自身血小于等于30%"
"34005",">=1","","0","","","_94005_>=5","","对方没被控制的单位大于等于5"
"34006",">=1","","0","","","_94005_>=3","","对方没被控制的单位大于等于3"
"34007",">=1","","0","","","_94005_>=1","","对方没被控制的单位大于等于1"
"34008",">=1","","0","","","_94006_<3","","对方单位数量小于3"
"34009",">=1","","0","","","_94007_>=2&&_94011_>=1","","我方主角和伙伴血小于等于80%的单位大于等于2且对方没中毒的单位大于等于1"
"34010",">=1","","0","","","_94007_>=2","","我方主角和伙伴血小于等于80%的单位大于等于2"
"34011",">=1","","0","","","_94008_>=1","","对方隐身单位大于等于1"
"34012",">=1","","0","","","_94009_<1","","对方身上有绿之潮buff的单位小于1"
"34013",">=1","","0","","","_94012_>=2","","我方中毒单位大于等于2"
"34014",">=1","","0","","","_94013_>=1","","对方血小于等于30%的单位大于等于1"
"34016",">=1","","0","","","_94016_>=1","","我方血小于等于50%单位大于等于1"
"34017",">=1","","0","","","_94014_>=1","","我方死亡单位大于等于1"
"34018",">=1","","0","","","_94015_>=1","","我方血小于等于80%单位大于等于1"
"34019",">=1","","0","","","_94017_<1","","我方身上有专注意志buff的单位小于1"
"34020",">=1","","0","","","_94006_<3&&_94005_>=1","","对方单位数量小于3且对方没被控制的单位大于等于1"
"34021",">=1","","0","","","_94003_>=1&&_94006_>=3","","自身血大于等于50%且对方人数大于等于3"
"34022",">=1","","0","","","_94003_>=1&&_94006_<3","","自身血大于等于50%且对方人数小于于3"
"34023",">=1","","0","","","_94019_<1","","己方没有有金刚护法buff大于等于5"
"33011",">=1","","0","","","_94023_>=1","","敌方有boss没中嘲讽"
"33012",">=1","","0","","","_94024_>=1","","敌方有boss没中破甲"
