"id","res","策划备注"
"1","/sound/scene/boss_battle.ogg","普通战斗随机1"
"2","/sound/scene/boss_battle.ogg","普通战斗随机2"
"3","/sound/scene/boss_battle.ogg","普通战斗随机3"
"4","/sound/scene/boss_battle.ogg","普通战斗随机4"
"5","/sound/scene/boss_battle.ogg","普通战斗随机5"
"6","/sound/scene/boss_battle.ogg","普通战斗随机6"
"7","/sound/scene/boss_battle.ogg","普通战斗随机7"
"8","/sound/scene/boss_battle.ogg","普通战斗随机8"
"9","/sound/scene/boss_battle.ogg","普通战斗随机9"
"10","/sound/scene/boss_battle.ogg","普通战斗随机10"
"11","/sound/scene/boss_battle.ogg","首场/最终BOSS战斗"
"12","/sound/scene/boss_battle.ogg","普通BOSS战斗"
"13","/sound/scene/boss_battle.ogg","普通活动战斗1"
"14","/sound/scene/boss_battle.ogg","普通活动战斗2"
