"id","组id","是否为人物头像","显示图标","名字","排序","描述","前往等级","前往逻辑","前往逻辑对应","完成逻辑","完成逻辑参数1","完成逻辑参数2","道具1","道具数量1","道具1图标","道具1名称","宠物1","宠物数量1","宠物1图标","宠物1名称","奖励ID","职业贡献奖励图标","职业贡献奖励文本","节日积分奖励图标","节日积分奖励文本","公会贡献奖励图标","公会贡献奖励文本","公会任务贡献资金图标","公会任务贡献资金文本","公会任务个人分红图标","公会任务个人分红文本","经验奖励图标","经验奖励文本","宠物经验奖励图标","宠物经验奖励文本","游戏币奖励图标","游戏币奖励文本","金币奖励图标","金币奖励文本","声望图标","声望文本"
"101","1","0","1149","<T t=""妖风剧情"" c=""ff8c5e2a""/>","1","完成妖风剧情","1","3","","3","180136","","710001","1","1732","银币袋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","1","0","30242","<T t=""新手宝宝"" c=""ff8c5e2a""/>","2","获得主线任务的变异泡泡","1","3","18","1","666666","","710001","1","1732","银币袋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","1","0","1149","<T t=""蜃蛇剧情"" c=""ff8c5e2a""/>","1","完成蜃蛇剧情","1","3","","3","180161","","710001","1","1732","银币袋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","1","0","1149","<T t=""长安剧情"" c=""ff8c5e2a""/>","1","完成长安剧情","1","3","","3","180196","","710001","1","1732","银币袋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201","2","0","1156","<T t=""谨遵师嘱"" c=""ff8c5e2a""/>","1","累计完成200次师门任务","10","4","","10","101","200","720203","1","1173","称号•谨遵师嘱","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","2","0","1253","<T t=""强盗克星"" c=""ff8c5e2a""/>","2","累计完成200次宝图任务","10","2","161510","10","104","200","720204","1","1173","称号•强盗克星","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"203","2","0","1164","<T t=""塔内已空"" c=""ff8c5e2a""/>","3","累计完成300次大雁塔妖魔任务","10","2","500001","10","270","200","720205","1","1173","称号•智慧过人","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","2","0","1748","<T t=""运镖之王"" c=""ff8c5e2a""/>","4","累计完成200次运镖任务","10","1","41","10","107","200","720206","1","1173","称号•运镖之王","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"205","2","0","1167","<T t=""积极分子"" c=""ff8c5e2a""/>","5","累计完成200次帮派任务","10","1","41","10","108","200","720207","1","1173","称号•中流砥柱","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","2","0","1174","<T t=""钟馗在世"" c=""ff8c5e2a""/>","6","累计完成2000次捉鬼任务","10","2","161501","10","102","2000","720208","1","1173","称号•钟馗在世","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"301","3","0","1167","<T t=""帮派玩法"" c=""ff8c5e2a""/>","1","加入一个帮派，并在帮派频道说话","20","5","","5","1","","710007","1","1725","低级宝石箱","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","3","0","1158","<T t=""助人为乐"" c=""ff8c5e2a""/>","2","累计在帮派中捐赠200次临时符","20","5","","43","200","","720209","1","1173","称号•乐于助人","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"303","3","0","1150","<T t=""呼朋唤友"" c=""ff8c5e2a""/>","3","拥有1个好友。","20","1","49","2","1","1","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304","3","0","1159","<T t=""门庭若市"" c=""ff8c5e2a""/>","4","拥有10个好友。","20","1","49","2","10","10","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"305","3","0","1176","<T t=""泛泛之交"" c=""ff8c5e2a""/>","5","和一个好友的友好度达到10点","20","1","42","26","10","10","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"306","3","0","1176","<T t=""义结金兰"" c=""ff8c5e2a""/>","6","和一个好友的友好度达到500点","20","1","42","26","500","500","337943","1","1240","金钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"307","3","0","1154","<T t=""听我说呀"" c=""ff8c5e2a""/>","7","在世界频道喊话1次","20","1","44","8","1","1","710007","1","1725","低级宝石箱","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"401","4","0","17","<T t=""师门技能"" c=""ff8c5e2a""/>","1","所有门派技能达到50级","30","1","19","19","1118,1218,1318,1418,1518,1618,1718,1818,1918","1","710024","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"402","4","0","20","<T t=""满级技能"" c=""ff8c5e2a""/>","2","将所有门派技能升至满级","30","1","19","7","109","","337943","2","1240","金钥匙x2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"403","4","0","1","<T t=""满级辅助"" c=""ff8c5e2a""/>","3","将随意一个辅助技能升至110级","30","1","3","42","110","","337943","2","1240","金钥匙x2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","4","0","8","<T t=""满级修炼"" c=""ff8c5e2a""/>","4","将随意一个修炼技能升至20级","30","1","20","16","20","","337943","2","1240","金钥匙x2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"501","5","0","1627","<T t=""特效装备"" c=""ff8c5e2a""/>","1","拥有一件带有特效的装备","40","1","10","33","","","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"502","5","0","1597","<T t=""特技装备"" c=""ff8c5e2a""/>","2","穿戴一件不低于60级的特技装备","40","1","10","40","60","","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"503","5","0","1406","<T t=""锻造达人"" c=""ff8c5e2a""/>","3","累计打造200件装备","40","1","6","13","200","","720210","1","1173","称号•锻造达人","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"504","5","0","1409","<T t=""百级套装"" c=""ff8c5e2a""/>","4","全身穿戴的装备等级不低于100级","40","1","10","34","5","","337943","1","1240","金钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"505","5","0","1259","<T t=""6段宝石"" c=""ff8c5e2a""/>","5","任意装备镶嵌两颗6级宝石","40","1","9","14","6","2","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"506","5","0","1258","<T t=""9段宝石"" c=""ff8c5e2a""/>","6","任意装备镶嵌两颗9级宝石","40","1","9","14","9","2","337943","2","1240","金钥匙x2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"507","5","0","1256","<T t=""11段宝石"" c=""ff8c5e2a""/>","7","任意装备镶嵌两颗11级宝石","40","1","9","14","11","2","337943","5","1240","金钥匙x5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"508","5","0","1257","<T t=""全身13段"" c=""ff8c5e2a""/>","8","全身穿戴的装备镶嵌不低于13级宝石","40","1","9","46","13","","337942","1","1172","称号•全身十三段","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"601","6","0","30257","<T t=""珍品宠物"" c=""ff8c5e2a""/>","1","洗炼一个珍品宠物","50","1","16","30","","","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"602","6","0","30272","<T t=""高级变异"" c=""ff8c5e2a""/>","2","拥有一只不低于80级的变异宠物","50","1","16","1","530801,530802,530803,530851,530852,530853,530854,530855,530901,530902,530951,530952,530953,530954,531051,531052,531053,531054,531101,531102,531103","","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
