"id","名字","英文名称","类型","描述","职业图标","出生范围左上角x","出生范围左上角y","出生范围宽","出生范围高","出生地图id","职业地图id","初始等级","所属种族","赠送物品1","赠送物品2","赠送物品3","赠送物品4","赠送物品5","赠送物品6","数量1","数量2","数量3","数量4","数量5","数量6","重定位地图id","重定位x坐标","重定位y坐标","职业背景","辅助AI","职业图标路径","推荐加点1","加点1说明","推荐体1","推荐智1","推荐力1","推荐耐1","推荐敏1","推荐加点2","加点2说明","推荐体2","推荐智2","推荐力2","推荐耐2","推荐敏2","推荐加点3","加点3说明","推荐体3","推荐智3","推荐力3","推荐耐3","推荐敏3","默认加点方案","普通态职业","按下态职业","战斗职业","特殊用途","特殊用途1"
"11","大唐官府","[colour='ffd08c20']WARRIOR","1","物理门派 擅长点杀 爆发力强","zhanshi","490","706","100","100","1631","1618","1","1","","","","","","","","","","","","","1631","30","44","zhanshi","","set:ccui image:cmp1","4力量1体质","输出较高，血量多，生存强","1","0","4","0","0","4力量1耐力","输出较高，防御高，生存强","0","0","4","1","0","5力量","输出高，抗性弱，生存弱","0","0","5","0","0","1","set:character4 image:datangguanfu_1","set:character4 image:datangguanfu_2","/ui/zhandou/datang.png","物理型","set:ccui1 image:wgx"
"12","方寸山","[colour='ffff6cfd']PALADIN","5","封系门派 封印混乱 干扰敌方","qishi","490","706","100","100","1631","1621","1","1","","","","","","","","","","","","","1631","30","44","qishi","","set:ccui image:cmp2","2体质2耐力1敏捷","常用加点，站的稳，生存强","2","0","0","2","1","3智力1体质1敏捷","适合任务，能输出，生存强","1","3","0","0","1","3体质2耐力","高防御，高血量，高生存","3","0","0","2","0","2","set:character4 image:fangcunshan_1","set:character4 image:fangcunshan_2","/ui/zhandou/fangcun.png","封印型","set:ccui1 image:fyx"
"13","狮驼岭","[colour='ff3dff00']HUNTER","1","物理门派 以一敌多 物理面伤","lieren","490","706","100","100","1631","1620","1","1","","","","","","","","","","","","","1631","30","44","lieren","","set:ccui image:cmp3","4力量1体质","输出较高，血量多，生存强","1","0","4","0","0","5力量","输出高，抗性弱，生存弱","0","0","5","0","0","4力量1敏捷","输出较高，出手快，生存弱","0","0","4","0","1","1","set:character4 image:shituoling_1","set:character4 image:shituoling_2","/ui/zhandou/shituo.png","物理型","set:ccui1 image:wgx"
"14","阴曹地府","[colour='ffff6c00']DRUID","4","辅助门派 抗封加血 诅咒敌方","deluyi","490","706","100","100","1631","1622","1","1","","","","","","","","","","","","","1631","30","44","deluyi","","set:ccui image:cmp4","2体质2敏捷1耐力","速度较快，抗性高，生存强","2","0","0","1","2","3敏捷1耐力1体质","速度快，抗性较好，适合PK","1","0","0","1","3","3智力1体质1敏捷","适合任务，能输出，生存强","1","3","0","0","1","3","set:character4 image:yincaodifu_1","set:character4 image:yincaodifu_2","/ui/zhandou/difu.png","辅助型","set:ccui1 image:fzx"
"15","龙宫","[colour='ff00b3ff']MAGE","2","法术门派 以一敌多 法术面伤","fashi","490","706","100","100","1631","1617","1","1","","","","","","","","","","","","","1631","30","44","fashi","","set:ccui image:cmp5","4智力1体质","输出稳，血量多，生存强","1","4","0","0","0","5智力","输出高，抗性弱，生存弱","0","5","0","0","0","4智力1耐力","输出稳，防御高，生存强","0","4","0","1","0","1","set:character4 image:longgong_1","set:character4 image:longgong_2","/ui/zhandou/longgong.png","法术型","set:ccui1 image:fsx"
"16","普陀山","[colour='ffffffff']PRIEST","3","辅助门派 复活加血 增益己方","mushi","490","706","100","100","1631","1619","1","1","","","","","","","","","","","","","1631","30","44","mushi","","set:ccui image:cmp6","2体质2耐力1敏捷","常用加点，站的稳，生存强","2","0","0","2","1","3智力1体质1敏捷","适合任务，能输出，生存强","1","3","0","0","1","3耐力2体质","高防御，高生存，克制物理系","2","0","0","3","0","2","set:character4 image:putuoshan_1","set:character4 image:putuoshan_2","/ui/zhandou/putuo.png","治疗型","set:ccui1 image:zlx"
"17","魔王寨","[colour='ff008aff']SHAMAN","2","法术门派 擅长暴击 单体爆发","saman","490","706","100","100","1631","1625","1","1","","","","","","","","","","","","","1631","30","44","fashi","","set:ccui image:cmp7","4智力1体质","输出稳，血量多，生存强","1","4","0","0","0","5智力","输出高，抗性弱，生存弱","0","5","0","0","0","2体质2耐力1敏捷","辅助加点，站的稳，生存强","2","0","0","2","1","1","set:character4 image:mowangzhai_1","set:character4 image:mowangzhai_2","/ui/zhandou/mowang.png","法术型","set:ccui1 image:fsx"
"18","月宫","[colour='ffffea00']ROGUE","1","物理门派 点面结合 冰冻对方","daozei","490","706","100","100","1631","1623","1","1","","","","","","","","","","","","","1631","30","44","zhanshi","","set:ccui image:cmp8","4力量1体质","输出较高，血量多，生存强","1","0","4","0","0","5力量","输出高，抗性弱，生存弱","0","0","5","0","0","4力量1耐力","输出较高，防御高，生存强","0","0","4","1","0","1","set:character4 image:yuegong_1","set:character4 image:yuegong_2","/ui/zhandou/yuegong.png","物理型","set:ccui1 image:wgx"
"19","化生寺","[colour='ffc554ff']WARLOCK","3","辅助门派 范围治疗 增益己方","shushi","490","706","100","100","1631","1624","1","1","","","","","","","","","","","","","1631","30","44","qishi","","set:ccui image:cmp9","2体质2敏捷1耐力","速度较快，抗性高，生存强","2","0","0","1","2","3敏捷1耐力1体质","速度快，抗性较好，适合PK","1","0","0","1","3","3智力1体质1敏捷","适合任务，能输出，生存强","1","3","0","0","1","3","set:character4 image:huashengsi_1","set:character4 image:huashengsi_2","/ui/zhandou/huasheng.png","治疗型","set:ccui1 image:zlx"
"21","女儿村","[colour='ffffea00']NVERCUN","5","  控制职业  擅长群封  擅长施毒","nvercun","1120","464","16","16","1616","1632","1","1","","","","","","","","","","","","","1609","478","353","deluyi","","set:ccui image:cmp11","2体质2耐力1敏捷","常用加点，站的稳，生存强","2","0","0","2","1","3智力1体质1敏捷","适合任务，能输出，生存强","1","3","0","0","1","3体质2耐力","高防御，高血量，高生存","3","0","0","2","0","2","set:character3 image:character_btn2_nvercun_b_1","set:character3 image:character_btn2_nvercun_b_2","/ui/zhandou/nver.png","封印型","set:ccui1 image:wgx"
