"套装id","名称","属性id","技能id","套装介绍"
"1","风起云涌•六件","131=80","","提升物理伤害 +80"
"2","惊雷碎胆•六件","231=100","","提升物理暴击 +10%"
"3","火舞苍穹•六件","151=60","","提升法术伤害 +60"
"4","五雷天怒•六件","261=100","","提升法术暴击 +10%"
"5","刀枪不入•六件","141=10","","提升物理防御 +120"
"6","水火不侵•六件","161=80","","提升法术防御 +80"
"7","百折不饶•六件","241=100","","提升物理暴抗 +10%"
"8","独当一面•六件","271=100","","提升法术暴抗 +10%"
"9","妙手回春•六件","171=80","","提升治疗强度 +80"
"10","天降甘霖•六件","291=100","","提升治疗暴击 +10%"
"11","苍雷幻昼•六件","201=80","","提升速度 +80"
"12","气定神闲•六件","91=1200","","提升魔法 +1200"
