"装备属性编号","属性1ID","属性1名称","属性2ID","属性2名称","属性3ID","属性3名称","属性1波动段1min","属性1波动段1max","属性1波动段2min","属性1波动段2max","属性1波动段3min","属性1波动段3max","属性1波动段4min","属性1波动段4max","属性1波动段5min","属性1波动段5max","属性1波动段1权重","属性1波动段2权重","属性1波动段3权重","属性1波动段4权重","属性1波动段5权重","属性2波动段1min","属性2波动段1max","属性2波动段2min","属性2波动段2max","属性2波动段3min","属性2波动段3max","属性2波动段4min","属性2波动段4max","属性2波动段5min","属性2波动段5max","属性2波动段1权重","属性2波动段2权重","属性2波动段3权重","属性2波动段4权重","属性2波动段5权重","属性3波动段1min","属性3波动段1max","属性3波动段2min","属性3波动段2max","属性3波动段3min","属性3波动段3max","属性3波动段4min","属性3波动段4max","属性3波动段5min","属性3波动段5max","属性3波动段1权重","属性3波动段2权重","属性3波动段3权重","属性3波动段4权重","属性3波动段5权重"
"100000","150","magicattack_value","160","magicdef_value","","","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","3000","2500","2000","1500","1000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","3000","2500","2000","1500","1000","","","","","","","","","","","3000","2500","2000","1500","1000"
"100001","130","phyattack_value","140","defend_value","","","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","3000","2500","2000","1500","1000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","3000","2500","2000","1500","1000","","","","","","","","","","","3000","2500","2000","1500","1000"
"100002","200","speed_value","170","medical_value","","","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","3000","2500","2000","1500","1000","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","3000","2500","2000","1500","1000","","","","","","","","","","","3000","2500","2000","1500","1000"
"100003","130","phyattack_value","150","magicattack_value","170","medical_value","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","3000","2500","2000","1500","1000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","2500","2000","1500","1000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","3000","2500","2000","1500","1000"
"6030101","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030102","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030103","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030104","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030105","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030106","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030107","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030108","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030109","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030110","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030111","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030112","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030113","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
