"造型id","造型","全身像","半身像id","小头像id","小地图头像","描述","几个方向","影子尺寸","攻击音效","施法音效","是否远程","是否进行位移","是否染色","部件1","部件2","部件3","显示武器ID","显示坐骑ID","秘境头像","透明化半身像","圆形头像","站位点专用"
"1","role-jianxiake","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6100101","","913","1848","",""
"2","role-xiaoyaosheng","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6100104","","914","1849","",""
"3","role-moshaojun","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6100117","","915","1850","",""
"4","role-feiyannv","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6100109","","916","1851","",""
"5","role-yingnvxia","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6100114","","917","1852","",""
"6","role-wumaner","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6100116","","918","1853","",""
"7","role-longtaizi","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6100102","","919","1854","",""
"8","role-shentianbing","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6100107","","920","1855","",""
"9","role-yulingshen","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6100115","","921","1856","",""
"10","role-wutianji","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6100111","","922","1857","",""
"11","role-menglinglong","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6100112","","923","1858","",""
"12","role-xuancaie","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6100105","","924","1859","",""
"13","role-shapolang","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6100110","","929","1864","",""
"14","role-hutouguai","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6100103","","930","1865","",""
"15","role-jumowang","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6100113","","931","1866","",""
"16","role-gujingling","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6100106","","932","1867","",""
"17","role-humeiren","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6100108","","933","1868","",""
"1070101","paopao","","9130","30395","30395","下面是门派师傅模型：4方向","8","2","mt-_niutouren_gongji1","mt-_niutouren_shifa2","0","0","0","0","0","0","","","","","",""
"1000101","npc-chengyaojin","","9035","30413","30413","程咬金-不可用于战斗","4","2","","BB-tongyong1-sf","0","1","0","0","0","0","","","","","",""
"1000102","npc-putilaozu","","9036","30410","30410","菩提祖师","4","2","","BB-tongyong2-sf","0","1","0","0","0","0","","","","","",""
"1000103","zz18-guanyinpusa","","9038","30385","30385","观音菩萨","2","2","","BB-tongyong3-sf","0","1","0","0","0","0","","","","","",""
"1000104","zz09-jiulingyuansheng","","9037","30376","30376","大大王","4","2","","BB-tongyong4-sf","0","1","0","0","0","0","","","","","",""
"1000105","zz15-donghailongwang","","9040","30382","30382","东海龙王","4","2","","BB-tongyong5-sf","0","1","0","0","0","0","","","","","",""
"1000106","zz12-dizangpusa","","9039","30379","30379","地藏菩萨","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1000107","zz21-niumowang","","9041","30388","30388","牛魔王","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1000108","zz23-change","","9043","30390","30390","月灵","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1000109","zz26-kongducanshi","","9042","30393","30393","空度禅师","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1888289","paopao","","9130","30332","","下面是主角模型：4方向","8","2","mt-_niutouren_gongji1","mt-_niutouren_shifa2","0","0","0","0","0","0","","","","","",""
"1010101","role-jianxiake","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6100101","","913","1848","",""
"1010102","role-xiaoyaosheng","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6100104","","914","1849","",""
"1010103","role-moshaojun","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6100117","","915","1850","",""
"1010104","role-feiyannv","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6100109","","916","1851","",""
"1010105","role-yingnvxia","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6100114","","917","1852","",""
"1010106","role-wumaner","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6100116","","918","1853","",""
"1010107","role-longtaizi","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6100102","","919","1854","",""
"1010108","role-shentianbing","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6100107","","920","1855","",""
