"ID","字符串"
"20","怪物"
"22",""
"54","的"
"55","你好，我加你为好友了哦~以后常联系~"
"256","天"
"257","小时"
"258","分钟"
"260","体力"
"261","速度"
"262","攻击"
"263","法术"
"264","防御"
"265","资质"
"266","人员清理"
"267","长期不上线"
"268","表现不积极"
"269","志趣不合"
"270","<T t='$parameter1$' c='ff005b0f'/><T t='创建帮派' c='ff50321a'/>"
"271","<T t='恭喜新成员' c='ff50321a'/><T t='$parameter1$' c='ff005b0f'/><T t='加入帮派。' c='ff50321a'/>"
"272","<T t='很遗憾' c='ff50321a'/><T t='$parameter1$' c='ff005b0f'/><T t='离开了帮派。' c='ff50321a'/>"
"273","<T t='$parameter1$' c='ff005b0f'/><T t='将' c='ff50321a'/><T t='$parameter2$' c='ff005b0f'/><T t='任命为' c='ff50321a'/><T t='$parameter3$' c='ff005b0f'/>"
"274","<T t='$parameter1$' c='ff005b0f'/><T t='因' c='ff50321a'/><T t='$parameter2$' c='ff005b0f'/><T t='被' c='ff50321a'/><T t='$parameter3$' c='ff005b0f'/><T t='踢出帮派。' c='ff50321a'/>"
"275","<T t='帮派维护消耗了' c='ff50321a'/><T t='$parameter1$' c='ff005b0f'/><T t='帮派资金。' c='ff50321a'/>"
"276","<T t='$parameter1$' c='ff50321a'/><T t='提升至' c='ff50321a'/><T t='$parameter2$' c='ff50321a'/><T t='级' c='ff50321a'/>"
"277","<T t='因帮派资金不足，帮派建筑效果降至' c='ff50321a'/><T t='$parameter1$' c='ff50321a'/><T t='级' c='ff50321a'/>"
"278","帮派"
"279","金库"
"280","药房"
"281","厢房"
"282","系统"
"283","帮主"
"284","宝宝等级过高无法捕捉"
"285","<T t=""行动目标:$parameter1$, 等级$parameter2$----$parameter3$开组了!"" c=""ff50321a""> </T><R t=""[申请加入]"" leaderid=""$parameter4$"" c=""FFFFFF00""></R>"
"286","开始组队"
"287","两倍"
"288","三倍"
"289","正常"
"290","熔火之心"
"291","纳克萨玛斯"
"292","单人竞技场"
"293","华山论剑"
"294","比武大会"
"295","<T t='$parameter1$' c='ff005b0f'/><T t='将帮派名称修改为' c='ff50321a'/><T t='$parameter2$' c='ff50321a'/>"
"296","<T t=""欢迎来到$parameter1$帮派, 【帮派ID：$parameter2$】"" c=""ff50321a""> </T>"
"297","[队长加成5%]"
"298","<T t=""提问:$parameter1$"" c=""FFFFFF00""> </T><A t=""[回答问题]"" questionid=""$parameter2$"" name=""$parameter3$"" roleid=""$parameter4$"" type=""$parameter5$""  c=""FFFFFF00""/>"
"299","求助"
"300","<T t=""提问:$parameter1$"" c=""FFFFFF00""> </T><A t=""[回答问题]"" questionid=""$parameter2$"" name=""$parameter3$"" roleid=""$parameter4$"" type=""$parameter5$""  c=""FFFFFF00""/>"
"301","世界红包"
"302","帮派红包"
"303","队伍红包"
"304","首胜奖励"
"305","五胜奖励"
"306","五战奖励"
"307","十战奖励"
"308","精锐组"
"309","勇武组"
"310","神威组"
"311","青龙"
"312","白虎"
"313","<T t='通关' c='ff50321a'/><T t='$parameter1$' c='ff005b0f'/><T t=',下次将挑战' c='ff50321a'/><T t='$parameter2$' c='ff005b0f'/><T t=',(活动面板设置)' c='ff50321a'/>"
"314","<T t='$parameter1$' c='ff005b0f'/><T t='修改下次活动挑战' c='ff50321a'/><T t='$parameter2$' c='ff005b0f'/><T t=',(可在活动面板设置)' c='ff50321a'/>"
"315","<T t='$parameter1$' c='ff005b0f'/><T t='发起了弹劾' c='ff50321a'/>"
"316","<T t='弹劾成功，' c='ff50321a'/><T t='$parameter1$' c='ff005b0f'/><T t='成为新的帮主' c='ff50321a'/>"
