"Buff编号","Buff名称","Buff简述","classname","限制动作","时间","量","清除方式","保存到硬盘","下线保存时间","策划备注类型","Buff类型","针对类型","是否发给客户端","广播类型","发战斗脚本","效果","一次性BUFF","一次性BUFF效果值","计数","自身覆盖类型","覆盖属性","场景状态ID","战斗内是否显示","Tips描述","Buff显示名","图标id","特效","特殊表现","特效优先级","文字特效","文字特效优先级"
"500000","武器Buff","武器Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"500002","饰品Buff","饰品Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"500003","铠甲Buff","铠甲Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"500004","腰带Buff","腰带Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"500005","靴子Buff","靴子Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"500006","头饰Buff","头饰Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"500007","头饰Buff","头饰Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"500008","不遇普通暗雷状态","不遇普通暗雷状态","fire.pb.buff.continual.ConstantlyBuff","","1800","0","1","false","0","","401","0","1","0","false","","0","","0","0","","","1","效果：可在低于自身等级的地图上避免遭遇暗雷战斗，效果可持续30分钟，下线会失效。【可使用显性药解除该效果，杂货店有售】","隐身药","1093","","","0","","0"
"500009","战斗结束后自动补充满当前生命","战斗结束后自动补充满当前生命","fire.pb.buff.continual.ConstantlyBuff","","0","50000","2","true","0","","401","0","0","1","false","","0","","0","0","","","1","效果：每场战斗结束后，可自动补充满角色的生命，生命储备：$parameter1$","生命储备","1392","","","0","","0"
"500010","战斗结束后自动补充满当前法力","战斗结束后自动补充满当前法力","fire.pb.buff.continual.ConstantlyBuff","","0","10000","2","true","0","","401","0","0","1","false","","0","","0","0","","","1","效果：每场战斗结束后，可自动补充满角色的魔法，魔法储备：$parameter1$","魔法储备","1393","","","0","","0"
"500012","光环效果","光环效果","fire.pb.buff.continual.ConstantlyBuff","","0","0","0","false","0","","401","0","1","1","true","","0","","0","0","","","1","效果：在$parameter1$影响下，该位置$parameter2$","光环","1113","","","0","","0"
"500015","先发速度","先发速度","fire.pb.buff.continual.ConstantlyBuff","","0","0","0","false","0","","403","0","1","2","true","","0","","1","0","","","1","效果：在回合出手排序前的速度改变BUFF","先发速度","70","","","0","","0"
"500033","死亡","死亡","fire.pb.buff.continual.ConstantlyBuff","1;2;3;4;5;6;7;8;9;11;12;13;","0","0","0","false","0","","301","0","1","2","true","","0","","0","0","","","1","效果：战斗中死亡，只有人物才能有，死亡状态下指令无效","死亡","910","","","0","","0"
"500058","技能效果","技能效果","fire.pb.buff.continual.ConstantlyBuff","","0","0","2","false","0","","403","0","0","-1","false","","0","","0","0","","","1","效果：技能效果","技能效果","70","","","0","","0"
"500082","被动-辅助技能效果","被动-辅助技能效果","fire.pb.buff.continual.ConstantlyBuff","","0","0","2","false","0","","303","0","0","-1","false","","0","","0","0","","","1","效果：提升辅助技能效果回合数","提升辅助效果","70","","","0","","0"
"500099","智慧试炼会试状态","智慧试炼会试状态","fire.pb.buff.continual.ConstantlyBuff","","0","0","2","true","0","","401","0","1","0","false","","0","","0","0","","","1","效果：你正在参与智慧试炼会试答题","智慧试炼会试状态","70","","","0","","0"
"500112","乱敏速度","乱敏速度","fire.pb.buff.continual.ConstantlyBuff","","0","0","0","false","0","","403","0","0","-1","false","","0","","0","0","","","0","效果：乱敏速度","乱敏速度","70","","","0","","0"
"500343","擂台PK保护BUFF","擂台PK保护BUFF","fire.pb.buff.continual.ConstantlyBuff","","10","0","1","false","0","","401","-1","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"500344","公会BOSS间隔时间","公会BOSS间隔时间","fire.pb.buff.continual.ConstantlyBuff","","120","0","1","false","0","","401","-1","1","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
