"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"110000","为官之道","为官之道","官场如战场，万事休鲁莽。精学为官道，万事皆无妄。","17","-1","0","0","无消耗","-1","0","0","","1","1","","官场如战场，万事休鲁莽。精学为官道，万事皆无妄。大幅度增加物理暴击几率！","大唐官府基础技能","1","大唐官府基础技能","大唐官府基础技能","大唐官府基础技能","大唐官府基础技能","大唐官府基础技能","大唐官府基础技能","大唐官府基础技能","永久增加角色的物理伤害、气血。","永久增加角色的物理伤害、气血。","永久增加角色的物理伤害、气血。","永久增加角色的物理伤害、气血。","永久增加角色的物理伤害、气血。","永久增加角色的物理伤害、气血。","永久增加角色的物理伤害、气血。","永久增加角色的物理伤害、气血。","1","200","200","200","200","200","200"
"110001","破釜沉舟","破釜沉舟","危急时刻，以一敌众，经常起到以少胜多的奇效。","18","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","危急时刻，以一敌众，经常起到以少胜多的奇效。","攻击敌方多个目标，伤害结果逐个降低。","2","攻击敌方多个目标，伤害结果逐个降低。","攻击敌方多个目标，伤害结果逐个降低。","攻击敌方多个目标，伤害结果逐个降低。","攻击敌方多个目标，伤害结果逐个降低。","攻击敌方多个目标，伤害结果逐个降低。","攻击敌方多个目标，伤害结果逐个降低。","攻击敌方多个目标，伤害结果逐个降低。","增加使用时的伤害，40级可攻击3个目标。","增加使用时的伤害，40级可攻击3个目标。","增加使用时的伤害，70级可攻击4个目标。","增加使用时的伤害，70级可攻击4个目标。","增加使用时的伤害，70级可攻击4个目标。","增加使用时的伤害，70级可攻击4个目标。","增加使用时的伤害，70级可攻击4个目标。","增加使用时的伤害，70级可攻击4个目标。","1","40","70","200","200","200","200"
"110002","翩鸿一击","翩鸿一击","翩若惊鸿，婉若游龙。大唐官府深谙兵贵神速的道理。","19","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","翩若惊鸿，婉若游龙。大唐官府深谙兵贵神速的道理。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","3","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。","1","60","200","200","200","200","200"
"110003","横扫千军","横扫千军","以攻代守，战场上一往无前，给敌人致命打击。","20","100","0","10","消耗：$parameter1$%最大气血","-1","0","0","","480","1","","以攻代守，战场上一往无前，给敌人致命打击。","攻击目标4次，使用时气血不能低于气血上限的50%，使用后虚弱休息一回合。","4","攻击目标4次，使用时气血不能低于气血上限的50%，使用后虚弱休息一回合。","攻击目标4次，使用时气血不能低于气血上限的50%，使用后虚弱休息一回合。","攻击目标4次，使用时气血不能低于气血上限的50%，使用后虚弱休息一回合。","攻击目标4次，使用时气血不能低于气血上限的50%，使用后虚弱休息一回合。","攻击目标4次，使用时气血不能低于气血上限的50%，使用后虚弱休息一回合。","攻击目标4次，使用时气血不能低于气血上限的50%，使用后虚弱休息一回合。","攻击目标4次，使用时气血不能低于气血上限的50%，使用后虚弱休息一回合。","增加使用时的伤害，永久增加角色的速度。","增加使用时的伤害，永久增加角色的速度。","增加使用时的伤害，永久增加角色的速度。","增加使用时的伤害，永久增加角色的速度。","增加使用时的伤害，永久增加角色的速度。","增加使用时的伤害，永久增加角色的速度。","增加使用时的伤害，永久增加角色的速度。","增加使用时的伤害，永久增加角色的速度。","1","200","200","200","200","200","200"
"110004","后发制人","后发制人","从孙子兵法中悟出的绝学，避敌锐气而后发制人。","21","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","从孙子兵法中悟出的绝学，避敌锐气而后发制人。","临时提高大量双防和封印抵抗，下回合首先出手攻击目标","5","临时提高大量双防和封印抵抗，下回合首先出手攻击目标","临时提高大量双防和封印抵抗，下回合首先出手攻击目标","临时提高大量双防和封印抵抗，下回合首先出手攻击目标","临时提高大量双防和封印抵抗，下回合首先出手攻击目标","临时提高大量双防和封印抵抗，下回合首先出手攻击目标","临时提高大量双防和封印抵抗，下回合首先出手攻击目标","临时提高大量双防和封印抵抗，下回合首先出手攻击目标","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的封印抵抗","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的封印抵抗","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的封印抵抗","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的封印抵抗","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的封印抵抗","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的封印抵抗","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的封印抵抗","增加使用时的伤害，增加临时提高双防的效果。永久增加角色的封印抵抗","1","200","200","200","200","200","200"
"110005","杀气诀","杀气诀","将全身杀气凝聚于武器上，厚积而薄发。","22","100","1.2","10","消耗：$parameter1$魔法","-1","0","0","","1","1","","将全身杀气凝聚于武器上，厚积而薄发。","附加5回合的杀气状态，提升物理伤害，物理攻击敌方单人时，如果造成击败则对其它目标再次发动该技能，伤害结果为原先的50%。","6","附加5回合的杀气状态，提升物理伤害，物理攻击敌方单人时，如果造成击败则对其它目标再次发动该技能，伤害结果为原先的50%。","附加5回合的杀气状态，提升物理伤害，物理攻击敌方单人时，如果造成击败则对其它目标再次发动该技能，伤害结果为原先的50%。","附加5回合的杀气状态，提升物理伤害，物理攻击敌方单人时，如果造成击败则对其它目标再次发动该技能，伤害结果为原先的50%。","附加5回合的杀气状态，提升物理伤害，物理攻击敌方单人时，如果造成击败则对其它目标再次发动该技能，伤害结果为原先的50%。","附加5回合的杀气状态，提升物理伤害，物理攻击敌方单人时，如果造成击败则对其它目标再次发动该技能，伤害结果为原先的50%。","附加5回合的杀气状态，提升物理伤害，物理攻击敌方单人时，如果造成击败则对其它目标再次发动该技能，伤害结果为原先的50%。","附加5回合的杀气状态，提升物理伤害，物理攻击敌方单人时，如果造成击败则对其它目标再次发动该技能，伤害结果为原先的50%。","增加杀气决物伤，永久增加角色的物理防御。","增加杀气决物伤，永久增加角色的物理防御。","增加杀气决物伤，永久增加角色的物理防御。","增加杀气决物伤，永久增加角色的物理防御。","增加杀气决物伤，永久增加角色的物理防御。","增加杀气决物伤，永久增加角色的物理防御。","增加杀气决物伤，永久增加角色的物理防御。","增加杀气决物伤，永久增加角色的物理防御。","1","60","200","200","200","200","200"
"110006","嗜血","嗜血","金戈铁马，嗜血沙场。大唐官府弟子有更精壮的体魄。","23","-1","0.667","6","消耗：$parameter1$活力","-1","0","0","","1","1","","金戈铁马，嗜血沙场。大唐官府弟子有更精壮的体魄。","制造一张临时符，可给衣甲增加气血","7","制造一张临时符，可给衣甲增加气血","制造一张临时符，可给衣甲增加气血","制造一张临时符，可给衣甲增加气血","制造一张临时符，可给衣甲增加气血","制造一张临时符，可给衣甲增加气血","制造一张临时符，可给衣甲增加气血","制造一张临时符，可给衣甲增加气血","增加临时符附加气血的效果。","增加临时符附加气血的效果。","增加临时符附加气血的效果。","增加临时符附加气血的效果。","增加临时符附加气血的效果。","增加临时符附加气血的效果。","增加临时符附加气血的效果。","增加临时符附加气血的效果。","1","200","200","200","200","200","200"
"110007","万剑归一","万剑归一","大唐官府门派绝技，手中只一剑，却化作万道剑气飞向敌人，极少有人能在这样的攻势下幸免","24","120","0","120","消耗：$parameter1$愤怒","-1","0","0","","480","1","","大唐官府门派绝技，手中只一剑，却化作万道剑气飞向敌人，极少有人能在这样的攻势下幸免","直接对目标发动5-9次攻击，自身气血越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","8","直接对目标发动5-9次攻击，自身气血越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身气血越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身气血越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身气血越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身气血越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身气血越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身气血越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","1","2","3","4","5","6","7"
"110012","目空","目空","铜墙铁壁：增加人物物理防御","25","-1","0","0","无消耗","-1","0","0","","1","1","","目空","目空","9","目空","目空","目空","目空","目空","目空","目空","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110013","翩鸿","翩鸿","千里神行：增加人物速度","26","-1","0","0","无消耗","-1","0","0","","1","1","","翩鸿","翩鸿","10","翩鸿","翩鸿","翩鸿","翩鸿","翩鸿","翩鸿","翩鸿","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
