"ID","道具1","道具数量1","道具2","道具数量2"
"1","260003","100","0","0"
"2","260003","150","0","0"
"3","260003","200","0","0"
"4","260003","250","0","0"
"5","260003","300","260004","0"
"6","260003","350","260004","0"
"7","260003","400","260004","0"
"8","260003","450","260004","0"
"9","260003","500","260004","0"
"10","260003","550","260004","0"
"11","260003","600","260004","0"
"12","260003","650","260004","0"
"13","260003","700","260004","1"
"14","260003","750","260004","1"
"15","260003","800","260004","1"
"16","260003","900","260004","1"
