"ID","职业","活力","经脉ID","经脉技能1","经脉技能2","经脉技能3","经脉技能4","经脉技能5","经脉技能6","经脉技能7","经脉技能8","经脉技能9","经脉技能10","经脉技能11","经脉技能12","经脉技能13","经脉技能14","经脉技能15","经脉技能16","星辰技能1","星辰技能2","星辰技能3","星辰技能4","星辰技能5","星辰技能6","星辰技能7","星辰技能8","星辰技能9","星辰技能10","星辰技能11","星辰技能12","星辰技能13","星辰技能14","星辰技能15","星辰技能16"
"1","11","100","1","532001","532002","532003","532004","532005","532006","532007","532008","532009","532010","532011","532012","532400","532401","532402","532403","540408","540409","540410","540411","540412","540413","540414","540415","540416","540417","540418","540419","540420","540421","540422","540423"
"2","11","100","2","532101","532102","532103","532104","532105","532106","532107","532108","532109","532110","532111","532112","532400","532401","532402","532403","540424","540425","540426","540427","540428","540429","540430","540431","540432","540433","540434","540435","540436","540437","540438","540439"
"3","11","100","3","532201","532202","532203","532204","532205","532206","532207","532208","532209","532210","532211","532212","532404","532405","532406","532407","540440","540441","540442","540443","540444","540445","540446","540447","540448","540449","540450","540451","540452","540453","540454","540455"
"4","11","100","4","532301","532302","532303","532304","532305","532306","532307","532308","532309","532310","532311","532312","532404","532405","532406","532407","540456","540457","540458","540459","540460","540461","540462","540463","540464","540465","540466","540467","540468","540469","540470","540471"
"5","12","100","1","533001","533002","533003","533004","533005","533006","533007","533008","533009","533010","533011","533012","533400","533401","533402","533403","540472","540473","540474","540475","540476","540477","540478","540479","540480","540481","540482","540483","540484","540485","540486","540487"
"6","12","100","2","533101","533102","533103","533104","533105","533106","533107","533108","533109","533110","533111","533112","533400","533401","533402","533403","540488","540489","540490","540491","540492","540493","540494","540495","540496","540497","540498","540499","540500","540501","540502","540503"
"7","12","100","3","533201","533202","533203","533204","533205","533206","533207","533208","533209","533210","533211","533212","533404","533405","533406","533407","540504","540505","540506","540507","540508","540509","540510","540511","540512","540513","540514","540515","540516","540517","540518","540519"
"8","12","100","4","533301","533302","533303","533304","533305","533306","533307","533308","533309","533310","533311","533312","533404","533405","533406","533407","540520","540521","540522","540523","540524","540525","540526","540527","540528","540529","540530","540531","540532","540533","540534","540535"
"9","13","100","1","534001","534002","534003","534004","534005","534006","534007","534008","534009","534010","534011","534012","534400","534401","534402","534403","540408","540409","540410","540411","540412","540413","540414","540415","540416","540417","540418","540419","540420","540421","540422","540423"
"10","13","100","2","534101","534102","534103","534104","534105","534106","534107","534108","534109","534110","534111","534112","534400","534401","534402","534403","540424","540425","540426","540427","540428","540429","540430","540431","540432","540433","540434","540435","540436","540437","540438","540439"
