"ID","礼包名称","道具1","道具1是否绑定","道具2","道具2是否绑定","道具3","道具3是否绑定","道具4","道具4是否绑定","道具5","道具5是否绑定","道具6","道具6是否绑定","道具7","道具7是否绑定","道具8","道具8是否绑定","道具9","道具9是否绑定","道具10","道具10是否绑定","道具11","道具11是否绑定","道具12","道具12是否绑定","道具13","道具13是否绑定","道具14","道具14是否绑定","道具15","道具15是否绑定","道具16","道具16是否绑定","道具17","道具17是否绑定","道具18","道具18是否绑定","道具19","道具19是否绑定","道具20","道具20是否绑定","道具21","道具21是否绑定","道具22","道具22是否绑定","道具23","道具23是否绑定","道具24","道具24是否绑定","道具25","道具25是否绑定","道具26","道具26是否绑定","道具27","道具27是否绑定","道具28","道具28是否绑定","道具29","道具29是否绑定","道具30","道具30是否绑定","道具31","道具31是否绑定","道具32","道具32是否绑定","道具33","道具33是否绑定","道具34","道具34是否绑定","道具35","道具35是否绑定","道具36","道具36是否绑定","道具37","道具37是否绑定","道具38","道具38是否绑定","道具39","道具39是否绑定","道具40","道具40是否绑定","道具41","道具41是否绑定","道具42","道具42是否绑定","道具43","道具43是否绑定","道具44","道具44是否绑定","道具45","道具45是否绑定","道具46","道具46是否绑定","道具47","道具47是否绑定","道具总数量"
"340041","专精礼包","334100","0","334101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"340042","原石礼包","40008","0","40009","0","40010","0","40011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"340044","原石大礼包","40008","0","40009","0","40010","0","40011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"710053","法宝自选礼包","700101","0","700201","0","700301","0","700401","0","700501","0","700601","0","700701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"710054","师门自选礼包","800101","0","800201","0","800301","0","800401","0","800501","0","800601","0","800701","0","800801","0","800901","0","801001","0","802001","0","803001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"710055","坐骑自选礼包","910101","0","910201","0","910301","0","910401","0","910501","0","910601","0","910701","0","910801","0","910901","0","911001","0","912001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"710058","特技符自选礼包","680601","1","680602","1","680603","1","680604","1","680605","1","680606","1","680607","1","680608","1","680609","1","680610","1","680611","1","680612","1","680613","1","680614","1","680615","1","680616","1","680617","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"710059","器灵自选礼包","680501","1","680502","1","680503","1","680504","1","680505","1","680506","1","680507","1","680508","1","680509","1","680510","1","680511","1","680512","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"710203","神兵自选•60级","350600","0","350601","0","350602","0","350603","0","350604","0","350605","0","350606","0","350607","0","350608","0","350609","0","350610","0","350611","0","350612","0","350613","0","350614","0","350615","0","350616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"710064","神兵自选•70级","350700","0","350701","0","350702","0","350703","0","350704","0","350705","0","350706","0","350707","0","350708","0","350709","0","350710","0","350711","0","350712","0","350713","0","350714","0","350715","0","350716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
