"id","sid","username","userid","roleid"
"1","1101011001","200977714@@108800100","3023","1262569"
"2","1101011001","205307286@@108800100","4966","3101673"
"3","1101011001","215644196@@108800100","80700","59544553"
"4","1101011001","215486537@@108800100","118","160745"
"5","1101011001","211557179@@208890201","1075","250857"
"6","1101011001","203680005@@108800100","3107","1606633"
"7","1101011001","202819610@@108800100","2706","2290665"
"8","1101011001","215478059@@208890201","1089","2421737"
"9","1101011001","215479312@@108800100","1374","480233"
"10","1101011001","204529368@@108800100","1875","1192937"
"11","1101011001","215695310@@208890201","4092","8762345"
"12","1101011001","214353686@@108800100","790","377833"
"13","1101011001","214346904@@108800100","2271","832489"
"14","1101011001","215480139@@208890201","3673","1541097"
"15","1101011001","215481310@@108800100","139","107497"
"16","1101011001","213454328@@108800100","164","279529"
"17","1101011001","207748338@@108800100","1301","562153"
"18","1101011001","214720547@@108800100","1931","611305"
"19","1101011002","214345373@@108800100","21","54250"
"20","1101011002","215863571@@208890201","17747","8831978"
"21","1101011002","215647669@@108800100","44466","33838058"
"22","1101011002","215922629@@108800100","79793","75125738"
"23","1101011002","215958545@@108800100","128349","121668586"
"24","1101011002","213005934@@208890201","9","29674"
"25","1101011002","213045097@@208890201","54340","41808874"
"26","1101011002","216113544@@108800100","295868","213730282"
"27","1101011002","212780130@@108800100","6936","17630186"
"28","1101011003","215492642@@208890201","11655","2790379"
"29","1101011003","200018918@@108800100","9353","4465643"
"30","1101011003","215594942@@208890201","637","12649451"
"31","1101011003","200014374@@108800100","1697","226283"
"32","1101011003","215640772@@108800100","4403","553963"
"33","1101011003","215695847@@108800100","24756","21156843"
"34","1101011004","214339405@@208890201","2308","410604"
"35","1101011004","215811014@@208890201","6298","3597292"
"36","1101011004","215951459@@108800100","119465","91907052"
"37","1101011005","215898064@@108800100","32228","21263341"
"38","1101011005","215505092@@208890201","25546","71025645"
"39","1101011005","215941571@@108800100","106439","98821101"
"40","1101011006","212972548@@108800100","164496","852974"
"41","1101011006","215761200@@208890201","31477","1131502"
"42","1101011006","216070056@@108800100","247273","69317614"
"43","1101011006","216027955@@108800100","199945","111764462"
"44","1101011006","216184434@@108800100","367088","255075310"
"45","1101011006","215869026@@208890201","2608","3539950"
"46","1101011006","216002049@@108800100","176776","4678638"
"47","1101011006","216034590@@208890201","205753","49353710"
"48","1101011006","211628747@@108800100","105928","594926"
"49","1101011001","215480203@@208890201","244","218089"
"50","1101011001","208265647@@108800100","11429","26878953"
"51","1101011001","215515058@@208890201","2424","29049833"
"52","1101011001","215486304@@108800100","506","586729"
"53","1101011001","215592479@@108800100","16680","28906473"
"54","1101011001","200380868@@108800100","615","275433"
"55","1101011001","215480992@@208890201","1715","1225705"
"56","1101011001","214368307@@108800100","1169","283625"
"57","1101011001","208263612@@208890201","271","320489"
"58","1101011001","214339426@@108800100","12113","20636649"
"59","1101011002","215959030@@108800100","128955","133153770"
"60","1101011002","215742507@@208890201","2274","635882"
"61","1101011003","215805374@@208890201","88724","71447531"
"62","1101011003","215769677@@208890201","124744","113869803"
"63","1101011003","215933783@@108800100","96136","81630187"
"64","1101011003","215556137@@108800100","69736","77427691"
"65","1101011003","215479552@@108800100","3418","201707"
"66","1101011003","215478914@@108800100","1452","62443"
"67","1101011003","215967616@@108800100","139723","126465003"
"68","1101011003","215777181@@108800100","3305","4334571"
"69","1101011003","215922955@@108800100","80273","63767531"
"70","1101011004","215871643@@208890201","9229","8557548"
"71","1101011004","215496234@@108800100","67","58348"
"72","1101011004","215488676@@108800100","3239","3195884"
"73","1101011004","215888246@@108800100","5395","8111084"
"74","1101011004","215758283@@108800100","42341","29697004"
"75","1101011004","208277819@@108800100","14294","14140396"
"76","1101011004","215763680@@208890201","20912","19772396"
"77","1101011004","215811563@@208890201","9342","8000492"
"78","1101011004","200855867@@108800100","15431","24572908"
"79","1101011004","215899029@@108800100","35249","26543084"
"80","1101011005","215592016@@108800100","170909","160236525"
"81","1101011005","214438613@@108800100","18717","93443053"
"82","1101011005","215752441@@208890201","77936","68756461"
"83","1101011006","215930912@@208890201","92156","73991150"
"84","1101011006","215890180@@108800100","22220","140270"
"85","1101011006","215983351@@108800100","157881","3208174"
"86","1101011007","216201675@@108800100","383866","273646575"
"87","1101011007","216167684@@108800100","350975","250246127"
"88","1101011007","216044895@@108800100","221596","10605551"
"89","1101011007","216035537@@108800100","206568","148463"
"90","1101011007","216032280@@108800100","203653","193519"
"91","1101011007","216022482@@208890201","195992","32420847"
"92","1101011007","215968681@@108800100","141025","32785391"
"93","1101011007","201796846@@108800100","60956","508911"
"94","1101011007","216008447@@208890201","183111","11518959"
"95","1101011007","216044685@@108800100","216222","4424687"
"96","1101011007","215619065@@108800100","84445","7365615"
"97","1101011002","214004043@@108800100","14","37866"
"98","1101011002","212896370@@108800100","42587","62452714"
"99","1101011002","208373005@@108800100","4082","447466"
"100","1101011001","214004043@@208890201","2","9193"
"101","1101011001","215549486@@108800100","39980","189907945"
"102","1101011002","211315618@@208890201","27","78826"
"103","1101011002","203345132@@108800100","151749","138458090"
"104","1101011002","215472257@@108800100","34","74730"
"105","1101011002","205743847@@208890201","12","33770"
"106","1101011002","212004224@@108800100","4235","484330"
"107","1101011002","212167551@@108800100","7","25578"
"108","1101011001","214075096@@108800100","4615","5628905"
"109","1101011004","215862903@@108800100","20910","19702764"
"110","1101011002","213980666@@108800100","48901","36766698"
"111","1101011001","213997336@@108800100","10","1864681"
"112","1101011002","213971253@@108800100","5","17386"
"113","1101011002","215435626@@108800100","426208","286995434"
"114","1101011001","214340865@@108800100","38","33769"
"115","1101011001","214075952@@208890201","49843","34268137"
"116","1101011002","212418927@@108800100","3523","1422314"
"117","1101011001","212039312@@108800100","3","13289"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
