"道具id","策划看备注名","购买类型","对应值"
"310000","营养套餐","2","1125"
"310001","高级营养套餐","2","1126"
"310100","资质影砂","3","11060"
"310101","兽王纲要","3","11061"
"320003","美味风蛇","3","5002"
"320006","酸橙派","3","5005"
"339001","浓缩染料","1","4031"
"339000","染料","3","10011"
"331005","莫迪伦之书","1","4046"
"339002","宠物染料","1","4041"
"310102","太阳井水","3","11062"
"310103","永恒井水","3","11063"
"40008","天火原石","3","11048"
"40009","风暴原石","3","11049"
"40010","宁静原石","3","11050"
"40011","洞察原石","3","11051"
"40013","修理宝石","3","11046"
"331000","还原卷轴-体","3","10000"
"331001","还原卷轴-智","3","10001"
"331002","还原卷轴-力","3","10002"
"331003","还原卷轴-耐","3","10003"
"331004","还原卷轴-敏","3","10004"
"331101","10级武器模具","3","8000"
"331102","20级武器模具","3","8001"
"331103","30级武器模具","3","8002"
"331104","40级武器模具","3","8003"
"331105","50级武器模具","3","8004"
"331106","60级武器模具","3","8005"
"331107","70级武器模具","3","8006"
"331108","80级武器模具","3","8007"
"331109","90级武器模具","3","8008"
"331110","100级武器模具","3","8009"
"331131","10级防具模具","3","8010"
"331132","20级防具模具","3","8011"
"331133","30级防具模具","3","8012"
"331134","40级防具模具","3","8013"
"331135","50级防具模具","3","8014"
"331136","60级防具模具","3","8015"
"331137","70级防具模具","3","8016"
"331138","80级防具模具","3","8017"
"331139","90级防具模具","3","8018"
"331140","100级防具模具","3","8019"
"331161","10级饰品模具","3","8020"
"331162","20级饰品模具","3","8021"
"331163","30级饰品模具","3","8022"
"331164","40级饰品模具","3","8023"
"331165","50级饰品模具","3","8024"
"331166","60级饰品模具","3","8025"
"331167","70级饰品模具","3","8026"
"331168","80级饰品模具","3","8027"
"331169","90级饰品模具","3","8028"
"331170","100级饰品模具","3","8029"
"331201","生命附魔卷轴","3","9000"
"331202","物攻附魔卷轴","3","9001"
"331203","法攻附魔卷轴","3","9002"
"331204","物防附魔卷轴","3","9003"
"331205","法防附魔卷轴","3","9004"
"331206","愤怒附魔卷轴","3","9005"
"331207","治疗附魔卷轴","3","9006"
"331208","控制附魔卷轴","3","9007"
"331209","速度附魔卷轴","3","9008"
"331210","封印附魔卷轴","3","9009"
"331211","体质附魔卷轴","3","9010"
"331212","力量附魔卷轴","3","9011"
"331213","魔力附魔卷轴","3","9012"
"331300","藏宝图","3","11103"
"331350","巨龙之魂","3","10006"
"331351","巨龙之血","3","10007"
"331352","巨龙之眼","3","10008"
"331353","巨龙之骨","3","10009"
"331354","巨龙之鳞","3","10010"
"341108","泰坦精铁","3","11000"
"341109","泰坦精铁","3","11001"
"341110","泰坦精铁","3","11002"
"350800","打造图纸-剑","3","11003"
"350801","打造图纸-锤","3","11006"
"350802","打造图纸-弓","3","11009"
"350803","打造图纸-斧","3","11012"
"350804","打造图纸-法杖","3","11015"
"350806","打造图纸-腰带","3","11021"
"350807","打造图纸-鞋子","3","11024"
"350808","打造图纸-项链","3","11027"
"350809","打造图纸-男头","3","11030"
"350810","打造图纸-女头","3","11033"
"350811","打造图纸-男衣","3","11036"
"350812","打造图纸-女衣","3","11039"
"350900","打造图纸-剑","3","11004"
"350901","打造图纸-锤","3","11007"
"350902","打造图纸-弓","3","11010"
"350903","打造图纸-斧","3","11013"
"350904","打造图纸-法杖","3","11016"
"350906","打造图纸-腰带","3","11022"
"350907","打造图纸-鞋子","3","11025"
"350908","打造图纸-项链","3","11028"
"350909","打造图纸-男头","3","11031"
"350910","打造图纸-女头","3","11034"
"350911","打造图纸-男衣","3","11037"
"350912","打造图纸-女衣","3","11040"
"351000","打造图纸-剑","3","11005"
"351001","打造图纸-锤","3","11008"
"351002","打造图纸-弓","3","11011"
"351003","打造图纸-斧","3","11014"
"351004","打造图纸-法杖","3","11017"
"351006","打造图纸-腰带","3","11023"
"351007","打造图纸-鞋子","3","11026"
"351008","打造图纸-项链","3","11029"
"351009","打造图纸-男头","3","11032"
"351010","打造图纸-女头","3","11035"
"351011","打造图纸-男衣","3","11038"
"351012","打造图纸-女衣","3","11041"
"339102","镇魂石","3","10016"
"339103","玫瑰花","3","10014"
"339104","郁金香","3","10015"
"35001","1级血精石","2","1000"
"35002","1级红曜石","2","1001"
"35003","1级石榴石","2","1002"
"35004","1级月亮石","2","1003"
"35005","1级孔雀石","2","1004"
"35006","1级猫眼石","2","1005"
"35007","1级茶晶石","2","1006"
"35008","1级红宝石","2","1007"
"35009","1级蓝宝石","2","1008"
"35010","2级血精石","2","1009"
"35011","2级红曜石","2","1010"
"35012","2级石榴石","2","1011"
"35013","2级月亮石","2","1012"
"35014","2级孔雀石","2","1013"
"35015","2级猫眼石","2","1014"
"35016","2级茶晶石","2","1015"
"35017","2级红宝石","2","1016"
"35018","2级蓝宝石","2","1017"
"35019","3级血精石","2","1018"
"35020","3级红曜石","2","1019"
"35021","3级石榴石","2","1020"
"35022","3级月亮石","2","1021"
"35023","3级孔雀石","2","1022"
"35024","3级猫眼石","2","1023"
"35025","3级茶晶石","2","1024"
"35026","3级红宝石","2","1025"
"35027","3级蓝宝石","2","1026"
"341101","10级精铁","2","1027"
"341102","20级精铁","2","1028"
"341103","30级精铁","2","1029"
"341104","40级精铁","2","1030"
"341105","50级精铁","3","11064"
"341106","60级精铁","3","11065"
"341107","70级精铁","3","11066"
"350100","10级剑书","2","1034"
"350200","20级剑书","2","1035"
"350300","30级剑书","2","1036"
"350400","40级剑书","2","1037"
"350500","50级剑书","3","11067"
"350600","60级剑书","3","11068"
"350700","70级剑书","3","11069"
"350101","10级锤书","2","1041"
"350201","20级锤书","2","1042"
"350301","30级锤书","2","1043"
"350401","40级锤书","2","1044"
"350501","50级锤书","3","11070"
"350601","60级锤书","3","11071"
"350701","70级锤书","3","11072"
"350102","10级匕首书","2","1048"
"350202","20级匕首书","2","1049"
"350302","30级匕首书","2","1050"
"350402","40级匕首书","2","1051"
"350502","50级匕首书","3","11073"
"350602","60级匕首书","3","11074"
"350702","70级匕首书","3","11075"
"350103","10级爪书","2","1055"
"350203","20级爪书","2","1056"
"350303","30级爪书","2","1057"
"350403","40级爪书","2","1058"
"350503","50级爪书","3","11076"
"350603","60级爪书","3","11077"
"350703","70级爪书","3","11078"
"350104","10级魔棒书","2","1062"
"350204","20级魔棒书","2","1063"
"350304","30级魔棒书","2","1064"
"350404","40级魔棒书","2","1065"
"350504","50级魔棒书","3","11079"
"350604","60级魔棒书","3","11080"
"350704","70级魔棒书","3","11081"
"350105","10级法杖书","2","1069"
"350205","20级法杖书","2","1070"
"350305","30级法杖书","2","1071"
"350405","40级法杖书","2","1072"
"350505","50级法杖书","2","1073"
"350605","60级法杖书","2","1074"
"350705","70级法杖书","2","1075"
"350106","10级腰带书","2","1076"
"350206","20级腰带书","2","1077"
"350306","30级腰带书","2","1078"
"350406","40级腰带书","2","1079"
"350506","50级腰带书","3","11082"
"350606","60级腰带书","3","11083"
"350706","70级腰带书","3","11084"
"350107","10级鞋书","2","1083"
"350207","20级鞋书","2","1084"
"350307","30级鞋书","2","1085"
"350407","40级鞋书","2","1086"
"350507","50级鞋书","3","11085"
"350607","60级鞋书","3","11086"
"350707","70级鞋书","3","11087"
"350108","10级项链书","2","1090"
"350208","20级项链书","2","1091"
"350308","30级项链书","2","1092"
"350408","40级项链书","2","1093"
"350508","50级项链书","3","11088"
"350608","60级项链书","3","11089"
"350708","70级项链书","3","11090"
"350109","10级男头书","2","1097"
"350209","20级男头书","2","1098"
"350309","30级男头书","2","1099"
"350409","40级男头书","2","1100"
"350509","50级男头书","3","11091"
"350609","60级男头书","3","11092"
"350709","70级男头书","3","11093"
"350110","10级女头书","2","1104"
"350210","20级女头书","2","1105"
"350310","30级女头书","2","1106"
"350410","40级女头书","2","1107"
"350510","50级女头书","3","11094"
"350610","60级女头书","3","11095"
"350710","70级女头书","3","11096"
"350111","10级男衣书","2","1111"
"350211","20级男衣书","2","1112"
"350311","30级男衣书","2","1113"
"350411","40级男衣书","2","1114"
"350511","50级男衣书","3","11097"
"350611","60级男衣书","3","11098"
"350711","70级男衣书","3","11099"
"350112","10级女衣书","2","1118"
"350212","20级女衣书","2","1119"
"350312","30级女衣书","2","1120"
"350412","40级女衣书","2","1121"
"350512","50级女衣书","3","11100"
"350612","60级女衣书","3","11101"
"350712","70级女衣书","3","11102"
"360001","命令之书","2","1127"
"360002","专注之书","2","1128"
"360003","风怒之书","2","1129"
"360004","惩戒之书","2","1130"
"360005","自然之书","2","1131"
"360006","潮汐之书","2","1132"
"360007","拯救之书","2","1133"
"360008","迅捷之书","2","1134"
"360009","邪恶之书","2","1135"
"360010","信念之书","2","1136"
"336010","歌唱水晶","1","4030"
"337944","更名卡","1","4040"
