"序列","NPCid","商店ID","商店名","NPC服务按钮名","默认显示货币类型","价格是否波动","波动周期","商品1id","商品2id","商品3id","商品4id","商品5id","商品6id","商品7id","商品8id","商品9id","商品10id","商品11id","商品12id","商品13id","商品14id","商品15id","商品16id","商品17id","商品18id","商品19id","商品20id","商品21id","商品22id","商品23id","商品24id","商品25id","商品26id","商品27id","商品28id","商品29id","商品30id","商品31id","商品32id","商品33id","商品34id","商品35id","商品36id","商品37id","商品38id","商品39id","商品40id","商品41id","商品42id","商品43id","商品44id","商品45id","商品46id","商品47id","商品48id","商品49id","商品50id","商品51id","商品52id","商品53id","商品54id","商品55id","商品56id","商品57id","商品58id","商品59id","商品60id","商品61id","商品62id","商品63id","商品64id","商品65id","商品66id","商品67id","商品68id","商品69id","商品70id","商品71id","商品72id","商品73id","商品74id","商品75id","商品76id","商品77id","商品78id","商品79id","商品80id","商品81id","商品82id","商品83id","商品84id","商品85id","商品86id","商品87id","商品88id","商品89id","商品90id","商品91id","商品92id","商品93id","商品94id","商品95id","商品96id","商品97id","商品98id","商品99id","商品100id","商品101id","商品102id","商品103id","商品104id","商品105id","商品106id","商品107id","商品108id","商品109id","商品110id","商品111id","商品112id","商品113id","商品114id","商品115id","商品116id","商品117id","商品118id","商品119id","商品120id","商品121id","商品122id","商品123id","商品124id","商品125id","商品126id","商品127id","商品128id","商品129id","商品130id","商品131id","商品132id","商品133id","商品134id","商品135id","商品136id","商品137id","商品138id","商品139id","商品140id","商品141id","商品142id","商品143id","商品144id","商品145id","商品146id","商品147id","商品148id","商品149id","商品150id","商品151id","商品152id","商品153id","商品154id","商品155id","商品156id","商品157id","商品158id","商品159id","商品160id","商品161id","商品162id","商品163id","商品164id","商品165id","商品166id","商品167id","商品168id","商品169id","商品170id","商品171id","商品172id","商品173id","商品174id","商品175id","商品176id","商品177id","商品178id","商品179id","商品180id","商品181id","商品182id","商品183id","商品184id","商品185id","商品186id","商品187id","商品188id","商品189id","商品190id","商品191id","商品192id","商品193id","商品194id","商品195id","商品196id","商品197id","商品198id","商品199id","商品200id","商品201id","商品202id","商品203id","商品204id","商品205id","商品206id","商品207id","商品208id","商品209id","商品210id","商品211id","商品212id","商品213id","商品214id","商品215id","商品216id","商品217id","商品218id","商品219id","商品220id","商品221id","商品222id","商品223id","商品224id","商品225id","商品226id","商品227id","商品228id","商品229id","商品230id","商品231id","商品232id","商品233id","商品234id","商品235id","商品236id","商品237id","商品238id","商品239id","商品240id","商品241id","商品242id","商品243id","商品244id","商品245id","商品246id","商品247id","商品248id","商品249id","商品250id","商品251id","商品252id","商品253id","商品254id","商品255id","商品256id","商品257id","商品258id","商品259id","商品260id","商品261id","商品262id","商品263id","商品264id","商品265id","商品266id","商品267id","商品268id","商品269id","商品270id","商品271id","商品272id","商品273id","商品274id","商品275id","商品276id","商品277id","商品278id","商品279id","商品280id","商品281id","商品282id","商品283id","商品284id","商品285id","商品286id","商品287id","商品288id","商品289id","商品290id","商品291id","商品292id","商品293id","商品294id","商品295id","商品296id","商品297id","商品298id","商品299id","商品300id","商品301id","商品302id","商品303id","商品304id","商品305id","商品306id","商品307id","商品308id","商品309id","商品310id","商品311id","商品312id","商品313id","商品314id","商品315id","商品316id","商品317id","商品318id","商品319id","商品320id","商品321id","商品322id","商品323id","商品324id","商品325id","商品326id","商品327id","商品328id","商品329id","商品330id","商品331id","商品332id","商品333id","商品334id","商品335id","商品336id","商品337id","商品338id","商品339id","商品340id","商品341id","商品342id","商品343id","商品344id","商品345id","商品346id","商品347id","商品348id","商品349id","商品350id","商品351id","商品352id","商品353id","商品354id","商品355id","商品356id","商品357id","商品358id","商品359id","商品360id","商品361id","商品362id","商品363id","商品364id","商品365id","商品366id","商品367id","商品368id","商品369id","商品370id","商品371id","商品372id","商品373id","商品374id","商品375id","商品376id","商品377id","商品378id","商品379id","商品380id","商品381id","商品382id","商品383id","商品384id","商品385id","商品386id","商品387id","商品388id","商品389id","商品390id","商品391id","商品392id","商品393id","商品394id","商品395id","商品396id","商品397id","商品398id","商品399id","商品400id"
"1","161502","1","药品商店","购买药品","1","0","0","5000","5001","5002","5003","5004","5005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","161503","2","酒馆老板","购买物品","1","0","0","6000","6001","6002","6003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","161504","3","兵器铺","购买装备","1","0","0","7000","7001","7002","7003","7004","7005","7006","7007","7008","7009","7010","7011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","161505","4","宠物店","购买宠物","1","0","0","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","161506","5","商会","打开商会","1","1","86400","1000","1001","1002","1003","1004","1005","1006","1007","1008","1009","1010","1011","1012","1013","1014","1015","1016","1017","1018","1019","1020","1021","1022","1023","1024","1025","1026","1027","1028","1029","1030","1031","1034","1035","1036","1037","1038","1041","1042","1043","1044","1045","1048","1049","1050","1051","1052","1055","1056","1057","1058","1059","1062","1063","1064","1065","1066","1069","1070","1071","1072","1073","1076","1077","1078","1079","1080","1083","1084","1085","1086","1087","1090","1091","1092","1093","1094","1097","1098","1099","1100","1101","1104","1105","1106","1107","1108","1111","1112","1113","1114","1115","1118","1119","1120","1121","1122","1125","1126","1127","1128","1129","1130","1131","1132","1133","1134","1135","1136","1143","1144","1145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1000000","6","商城","","2","0","0","4000","4001","4002","4003","4004","4005","4006","4007","4008","4009","4010","4011","4012","4013","4014","4015","4016","4017","4018","4019","4020","4021","4022","4023","4024","4025","4026","4027","4028","4030","4031","4032","4034","4035","4041","4044","4045","4046","4047","4053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1000001","7","声望","","7","0","0","3000","3001","3002","3003","3004","3005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1000002","8","功勋值","","5","0","0","8000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1000003","9","节日积分","","8","0","0","9000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1000004","10","良师值","","9","0","0","10000","10001","10002","10003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
