"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","对应宠物技能","恢复宠物忠诚度","增加宠物经验","增加宠物寿命","使用次数限制","可否给予战斗中对象","使用后是否消耗","属性名1","属性名2","属性名3","属性名4","属性名5","属性名6","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","摆摊冻结时间","是否稀有","寻路特殊处理","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5"
"310000","209","营养套餐","FF06cc11","2","1049","份","0","1","4021","true","0","0","0","1125","false","false","false","0","0","2","999","0","0","0","使用后为您的宠物增加50000经验。","增加宠物经验","","10298","使用方法：点击直接给参战宠使用","","","","","","","0","0","50000","","","false","1","0","","","","","","0","","","","","","1","","","","","","","","","","","","","","","","",""
"310001","209","高级营养套餐","FF00b1ff","3","1050","份","0","1","4020","true","0","0","0","1126","false","false","false","0","0","2","999","0","0","0","使用后为您的宠物增加500000经验。","增加宠物经验","","10298","使用方法：点击直接给参战宠使用","","","","","","","0","0","500000","","","false","1","0","","","","","","0","","","","","","1","","","","","","","","","","","","","","","","",""
"310100","177","资质影砂","FF00b1ff","3","1002","瓶","0","1","4022","true","0","1","0","0","false","false","false","0","0","2","999","0","0","0","神奇的药剂，可以提升宠物的资质。","增加宠物资质","","10298","使用方法：点击直接给参战宠使用","","","","","","","0","0","","","10","false","1","0","","","","","","0","","","","","","2","","","","","","","","","","","1","","","","","",""
"310101","193","兽王纲要","FFff46f0","4","1001","本","0","1","4022","true","0","1","0","0","false","false","false","0","0","2","999","0","0","0","兽王雷克萨编写的训练宠物技巧纲要，可以提升宠物的成长。","增加宠物成长","","10298","使用方法：点击直接给参战宠使用","","","","","","","0","0","","","5","false","1","0","","","","","","0","","","","","","2","","","","","","","","","","","1","","","","","",""
"310102","33","太阳井水","FF00b1ff","3","1004","份","0","1","4024","true","0","1","0","0","false","false","false","0","0","2","999","0","0","0","具有魔法气息的井水，据说可以令宠物回归到原始状态，重置其资质和技能。","宠物洗炼道具","3","161506","使用方法：点击直接使用","","","","","","","0","0","","","","false","1","0","","","","","","0","","","","","","2","","","","","","","","","","","","","","","","",""
"310103","33","永恒井水","FFff46f0","4","1003","份","0","1","4023","true","0","1","0","0","false","false","false","0","0","2","999","0","0","0","永恒之井的井水。拥有神奇的效果，可以重置变异宠物的资质和技能。","变异洗练道具","3","161506","使用方法：点击直接使用","","","","","","","0","0","","","","false","1","0","","","","","","0","","","","","","2","","","","","","","","","","","1","","","","","",""
"310200","225","宠物零食","FF06cc11","2","1000","份","0","1","4025","true","0","0","0","0","false","false","false","0","0","2","999","0","0","0","使用后可为宠物恢复100寿命。","增加宠物寿命","3","161506","使用方法：点击直接给参战宠使用","","","","","","","0","0","","100","","false","1","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"311001","49","暴击","FF00b1ff","3","1095","本","0","1","4011","true","1","1","0","0","false","false","false","0","0","2","1","0","0","0","物理攻击时暴击概率增加11%。","学习宠物技能","3","161506","打开宠物炼妖界面为宠物学习技能","","","","","","","206001","0","","","","false","1","","","","","","","","","","","","","","","","","","","","","","","30","1","","","","","",""
"311002","49","连击","FF00b1ff","3","1095","本","0","1","4011","true","1","1","0","0","false","false","false","0","0","2","1","0","0","0","普通物理攻击时，有40%概率追加一次攻击，拥有此技能物理伤害结果会降低20%。","学习宠物技能","3","161506","打开宠物炼妖界面为宠物学习技能","","","","","","","206002","0","","","","false","1","","","","","","","","","","","","","","","","","","","","","","","30","1","","","","","",""
"311003","49","强劲","FF00b1ff","3","1095","本","0","1","4011","true","1","1","0","0","false","false","false","0","0","2","1","0","0","0","提升少量的物理攻击力，如果对方有铁甲或高级铁甲技能，物理伤害结果会减少25%。","学习宠物技能","3","161506","打开宠物炼妖界面为宠物学习技能","","","","","","","206003","0","","","","false","1","","","","","","","","","","","","","","","","","","","","","","","30","1","","","","","",""
