"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","说明描述","增加宠物寿命","效果公式","增加当前生命","增加当前生命上限","增加当前真气","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","属性值7","功能枚举","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","是否有品质","需求烹饪等级","烹饪权重","需求炼药等级","炼药权重","炼药材料附加权重","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","摆摊冻结时间","是否稀有","寻路特殊处理","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5"
"32014","66","大生命储备","FF06cc11","2","1131","个","0","1","1999","false","0","0","0","0","false","false","false","0","0","1","1","99","0","0","","古尔迪安精制的生命药剂，增加生命储备值100000点，在战斗结束后增加生命值。","补充储备生命","1","161503","使用方法：双击使用","","","补充储备生命100000点","0","","0","0","0","100000","","","","","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"32015","66","大魔法储备","FF06cc11","2","1132","个","0","1","1999","false","0","0","0","0","false","false","false","0","0","1","1","99","0","0","","古尔迪安精制的魔力药剂，增加魔法储备值100000点，在战斗结束后增加魔法值。","补充储备魔法","1","161503","使用方法：双击使用","","","补充储备魔法100000点","0","","0","0","0","100000","","","","","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"32037","66","小生命储备","fffff2df","1","1129","个","0","1","1999","false","0","0","0","0","false","false","false","0","0","1","1","99","0","0","","古尔迪安精制的生命药剂，增加生命储备值10000点，在战斗结束后增加生命值。","补充储备生命","1","161503","使用方法：双击使用","","","补充储备生命10000点","0","","0","0","0","10000","","","","","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"32038","66","小魔法储备","fffff2df","1","1128","个","0","1","1999","false","0","0","0","0","false","false","false","0","0","1","1","99","0","0","","古尔迪安精制的魔力药剂，增加魔法储备值10000点，在战斗结束后增加魔法值。","补充储备魔法","1","161503","使用方法：双击使用","","","补充储备魔法10000点","0","","0","0","0","10000","","","","","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"320000","290","肉干","FF06cc11","2","1014","个","0","1","5907","true","0","0","0","0","false","false","false","0","0","3","1","99","0","0","","<T t=""经过简单烹制的肉干，口感较硬。"" ></T><B/><T t=""功效：增加生命储备2000点，非战斗时才可食用。"" ></T>","增加生命储备","","10157","使用方法：战斗外使用可以回复生命","","","功效：增加生命储备2000点，非战斗时才可食用","0","","0","0","0","200","","","","","","","0","","20","","","0","1","1000","","","","","","","","","","","","","","","","","","","","",""
"320001","290","培根煎蛋","FF00b1ff","3","1037","个","0","1","5906","true","1","1","0","0","false","false","false","0","0","3","1","1","0","0","","<T t=""加入了精心烹制的培根的煎蛋卷，香气馋人。"" ></T><B/><T t=""功效：增加生命储备=品质*60+2000。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：增加生命储备$parameter1$点","0","quality*60+2000","0","0","0","200","","","","","","","0","","20","","","1","1","385","","","","","","","","","","","","","","30","","","","","","",""
"320002","290","樱桃派","FF00b1ff","3","1007","个","0","1","5905","true","1","1","0","0","false","false","false","0","0","3","1","1","0","0","","<T t=""满满的樱桃香气，在女性中很受欢迎。"" ></T><B/><T t=""功效：增加魔法储备=品质*60+2000。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：增加魔法储备$parameter1$点","0","quality*60+2000","0","0","0","200","","","","","","","0","","20","","","1","10","385","","","","","","","","","","","","","","30","","","","","","",""
"320003","290","香煎鲑鱼","FF00b1ff","3","1051","个","0","1","5904","true","1","1","0","0","false","false","false","0","0","3","1","1","0","0","","<T t=""吃我！快吃我！。"" ></T><B/><T t=""功效：恢复宠物寿命=品质*0.5。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：恢复宠物寿命$parameter1$点","0","quality*0.5","0","0","0","200","","","","","","","0","","20","","","1","20","333","","","","","","","","","","","","","","30","","","","","","",""
"320004","290","凤梨烈酒","FF00b1ff","3","1062","个","0","1","5903","true","1","1","0","0","false","false","false","1","1","3","1","1","0","0","","<T t=""用凤梨酿制的果酒，酒性较烈。"" ></T><B/><T t=""功效：战斗内恢复愤怒值=品质*0.4+10；战斗外恢复愤怒值=品质*0.6+10。"" ></T><B/><T t=""只能自己对自己使用。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：恢复愤怒值$parameter1$点","0","quality*0.4+10","0","0","0","200","","","","","","","0","","20","","","1","30","333","","","","","","","","","","","","","","30","","","","","","",""
"320005","290","麻辣狼排","FF00b1ff","3","1072","个","0","1","5902","true","1","1","0","0","false","false","false","0","0","3","1","1","0","0","","<T t=""慢火烤制的狼排，洒了矮人秘制的辣椒粉。"" ></T><B/><T t=""功效：增加生命储备=品质*32+1000，增加魔法储备=品质*32+1000。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：增加生命储备$parameter1$点，魔法$parameter2$点","0","quality*32+1000;quality*32+1000","0","0","0","200","","","","","","","0","","20","","","1","40","333","","","","","","","","","","","","","","30","","","","","","",""
"320006","290","甜橙馅饼","FF00b1ff","3","1081","个","0","1","5901","true","1","1","0","0","false","false","false","0","0","3","1","1","0","0","","<T t=""具有独特的酸甜口感，迅速的在各大城镇中流行起来。"" ></T><B/><T t=""功效：恢复宠物寿命=品质*2+50。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：恢复宠物寿命$parameter1$点","0","quality*2+50","0","0","0","200","","","","","","","0","","20","","","1","50","167","","","","","","","","","","","","","","30","","","","","","",""
"320007","290","朝露酒","FF00b1ff","3","1152","个","0","1","5900","true","1","1","0","0","false","false","false","1","1","0","1","1","0","0","","<T t=""收集朝露酿制的美酒，产量极少。"" ></T><B/><T t=""功效：恢复愤怒值=品质*1，降低双防10%状态2回合。"" ></T><B/><T t=""只能自己对自己使用。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：恢复愤怒值$parameter1$点，降低双防10%状态2回合","0","quality*1","0","0","0","200","","","","","","","0","","20","","","1","60","125","","","","","","","","","","","","","","30","","","","","","",""
"320100","291","恢复剂","FF06cc11","2","1012","个","0","1","5805","true","0","0","0","0","false","false","false","4127","3","3","1","99","0","0","","<T t=""用多种具有治疗功效的草药调制，使用者恢复大量生命，战斗中可一瞬间逆转形势。"" ></T><B/><T t=""功效：战斗中使用恢复生命400点，或者直接使用增加500点储备生命。"" ></T>","恢复生命400点","1","161502","使用方法：战斗外使用可以回复生命","","","功效：战斗中使用恢复生命400点，或者直接使用增加500点储备生命","0","","0","0","0","200","","","","","","","0","","","","","0","","","1","400","","","","","","","","","","","","","","","","","","",""
"320101","291","治疗药水","FF00b1ff","3","1017","个","0","1","5804","true","1","1","0","0","false","false","false","4127","3","3","1","1","0","0","","<T t=""炼金师用草药调制的治疗药水，能恢复大量生命。"" ></T><B/><T t=""功效：恢复生命（或生命储备）=品质*12+150。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：恢复生命（或生命储备）$parameter1$点","0","quality*12+150","0","0","0","200","","","","","","","0","","","","","1","","","1","25","","","","","","","","","","","","30","","","","","","",""
"320102","291","法力药水","FF00b1ff","3","1015","个","0","1","5803","true","1","1","0","0","false","false","false","4127","3","3","1","1","0","0","","<T t=""炼金师用草药调制的法力药水，能恢复大量法力。"" ></T><B/><T t=""功效：恢复魔法（或魔法储备）=品质*5+50。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：恢复魔法（或魔法储备）$parameter1$点","0","quality*5+50","0","0","0","200","","","","","","","0","","","","","1","","","1","25","","","","","","","","","","","","30","","","","","","",""
"320103","291","净化药剂","FF00b1ff","3","1016","个","0","1","5802","true","1","1","0","0","false","false","false","4127","3","0","1","1","0","0","","<T t=""用多种草药精心调制的药剂，可用于解除控制类异常状态。如果目标没有被控制，会进入恐惧。"" ></T><B/><T t=""功效：解除控制类异常状态，回复生命=品质*3。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：解除控制类异常状态，回复生命$parameter1$点","0","quality*3","0","0","0","200","","","","","","","0","","","","","1","","","1","25","","","","","","","","","","","","30","","","","","","",""
"320104","291","复苏药剂","FF00b1ff","3","1013","个","0","1","5801","true","1","1","0","0","false","false","false","4117","3","0","1","1","0","0","","<T t=""奇迹的药水，甚至可令亡者复活，但副作用尚不明确。"" ></T><B/><T t=""功效：复活、恢复生命=品质*5+100。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","","","功效：复活、恢复生命$parameter1$点","0","quality*5+100","0","0","0","200","","","","","","","0","","","","","1","","","1","25","","","","","","","","","","","","30","","","","","","",""
