"序号","活动ID","服务器id","开启时间","开始时间显示","开启时间2","结束时间","是否提醒","活动实际推迟时间","提前提醒时间","周循环活动","活动名"
"200001","200","0","00:00:00","201001","23:59:59","23:59:59","1","0","0","1","巨龙军团"
"200002","200","0","00:00:00","201002","23:59:59","23:59:59","1","0","0","2","巨龙军团"
"200003","200","0","00:00:00","201003","23:59:59","23:59:59","1","0","0","3","巨龙军团"
"200004","200","0","00:00:00","201004","23:59:59","23:59:59","1","0","0","4","巨龙军团"
"200005","200","0","00:00:00","201005","23:59:59","23:59:59","1","0","0","5","巨龙军团"
"200006","200","0","00:00:00","201006","23:59:59","23:59:59","1","0","0","6","巨龙军团"
"200007","200","0","00:00:00","201007","23:59:59","23:59:59","1","0","0","7","巨龙军团"
"201008","201","0","00:00:00","201008","23:59:59","23:59:59","1","0","0","1","上古巨龙"
"201009","201","0","00:00:00","201009","23:59:59","23:59:59","1","0","0","2","上古巨龙"
"201010","201","0","00:00:00","201010","23:59:59","23:59:59","1","0","0","3","上古巨龙"
"201011","201","0","00:00:00","201011","23:59:59","23:59:59","1","0","0","4","上古巨龙"
"201012","201","0","00:00:00","201012","23:59:59","23:59:59","1","0","0","5","上古巨龙"
"201013","201","0","00:00:00","201013","23:59:59","23:59:59","1","0","0","6","上古巨龙"
"201014","201","0","00:00:00","201014","23:59:59","23:59:59","1","0","0","7","上古巨龙"
"202001","202","0","00:00:00","202001","23:59:59","23:59:59","1","0","0","1","巨魔之都"
"202002","202","0","00:00:00","202002","23:59:59","23:59:59","1","0","0","2","巨魔之都"
"202003","202","0","00:00:00","202003","23:59:59","23:59:59","1","0","0","3","巨魔之都"
"202004","202","0","00:00:00","202004","23:59:59","23:59:59","1","0","0","4","巨魔之都"
"202005","202","0","00:00:00","202005","23:59:59","23:59:59","1","0","0","5","巨魔之都"
"202006","202","0","00:00:00","202006","23:59:59","23:59:59","1","0","0","6","巨魔之都"
"202007","202","0","00:00:00","202007","23:59:59","23:59:59","1","0","0","7","巨魔之都"
"203001","203","0","00:00:00","203001","23:59:59","23:59:59","1","0","0","1","诅咒之塔"
"203002","203","0","00:00:00","203002","23:59:59","23:59:59","1","0","0","2","诅咒之塔"
"203003","203","0","00:00:00","203003","23:59:59","23:59:59","1","0","0","3","诅咒之塔"
"203004","203","0","00:00:00","203004","23:59:59","23:59:59","1","0","0","4","诅咒之塔"
"203005","203","0","00:00:00","203005","23:59:59","23:59:59","1","0","0","5","诅咒之塔"
"203006","203","0","00:00:00","203006","23:59:59","23:59:59","1","0","0","6","诅咒之塔"
"203007","203","0","00:00:00","203007","23:59:59","23:59:59","1","0","0","7","诅咒之塔"
"204001","204","0","00:00:00","204001","23:59:59","23:59:59","1","0","0","1","巨魔之都(精英)"
"204002","204","0","00:00:00","204002","23:59:59","23:59:59","1","0","0","2","巨魔之都(精英)"
"204003","204","0","00:00:00","204003","23:59:59","23:59:59","1","0","0","3","巨魔之都(精英)"
"204004","204","0","00:00:00","204004","23:59:59","23:59:59","1","0","0","4","巨魔之都(精英)"
"204005","204","0","00:00:00","204005","23:59:59","23:59:59","1","0","0","5","巨魔之都(精英)"
"204006","204","0","00:00:00","204006","23:59:59","23:59:59","1","0","0","6","巨魔之都(精英)"
"204007","204","0","00:00:00","204007","23:59:59","23:59:59","1","0","0","7","巨魔之都(精英)"
"205001","205","0","00:00:00","205001","23:59:59","23:59:59","1","0","0","1","诅咒之塔(精英)"
"205002","205","0","00:00:00","205002","23:59:59","23:59:59","1","0","0","2","诅咒之塔(精英)"
