"编号","礼包道具ID","角色限制","职业限制","性别限制","打开礼包时的客户端提示","奖励表ID","银币奖励","符石奖励","VIP经验","货币类型","货币值","道具1ID","道具2ID","道具3ID","道具4ID","道具5ID","道具6ID","道具7ID","道具8ID","道具9ID","道具10ID","道具11ID","道具12ID","道具1数量","道具2数量","道具3数量","道具4数量","道具5数量","道具6数量","道具7数量","道具8数量","道具9数量","道具10数量","道具11数量","道具12数量","道具1绑定","道具2绑定","道具3绑定","道具4绑定","道具5绑定","道具6绑定","道具7绑定","道具8绑定","道具9绑定","道具10绑定","道具11绑定","道具12绑定"
"2716","334000","1","11","0","0","0","0","0","0","","","4001117","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2885","334000","1","17","0","0","0","0","0","0","","","4001115","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"5001","334000","1","12","0","0","0","0","0","0","","","4001117","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2717","334000","2","11","0","0","0","0","0","0","","","4001117","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2886","334000","2","12","0","0","0","0","0","0","","","4001117","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2718","334000","2","17","0","0","0","0","0","0","","","4001115","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"5002","334000","3","13","0","0","0","0","0","0","","","4001116","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2887","334000","3","14","0","0","0","0","0","0","","","4001115","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2888","334000","3","18","0","0","0","0","0","0","","","4001114","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2719","334000","4","13","0","0","0","0","0","0","","","4001116","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2889","334000","4","14","0","0","0","0","0","0","","","4001115","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2890","334000","4","18","0","0","0","0","0","0","","","4001114","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2720","334000","5","15","0","0","0","0","0","0","","","4001118","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2891","334000","5","16","0","0","0","0","0","0","","","4001118","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2892","334000","5","19","0","0","0","0","0","0","","","4001114","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2721","334000","6","15","0","0","0","0","0","0","","","4001118","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2893","334000","6","16","0","0","0","0","0","0","","","4001118","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2894","334000","6","19","0","0","0","0","0","0","","","4001114","32037","32038","335000","334001","","","","","","","","1","1","1","1","1","","","","","","","","0","0","0","0","0","","","","","","",""
"2722","334001","1","11","0","0","0","0","0","0","","","4010117","4010220","4010322","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2895","334001","1","17","0","0","0","0","0","0","","","4010115","4010220","4010322","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"5003","334001","1","12","0","0","0","0","0","0","","","4010117","4010220","4010322","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2723","334001","2","11","0","0","0","0","0","0","","","4010117","4010221","4010323","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2896","334001","2","12","0","0","0","0","0","0","","","4010117","4010221","4010323","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"5004","334001","2","17","0","0","0","0","0","0","","","4010115","4010221","4010323","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2724","334001","3","13","0","0","0","0","0","0","","","4010116","4010220","4010322","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2897","334001","3","14","0","0","0","0","0","0","","","4010115","4010220","4010322","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2898","334001","3","18","0","0","0","0","0","0","","","4010114","4010220","4010322","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2725","334001","4","13","0","0","0","0","0","0","","","4010116","4010221","4010323","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2899","334001","4","14","0","0","0","0","0","0","","","4010115","4010221","4010323","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2900","334001","4","18","0","0","0","0","0","0","","","4010114","4010221","4010323","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2726","334001","5","15","0","0","0","0","0","0","","","4010118","4010220","4010322","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2901","334001","5","16","0","0","0","0","0","0","","","4010118","4010220","4010322","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2902","334001","5","19","0","0","0","0","0","0","","","4010114","4010220","4010322","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2727","334001","6","15","0","0","0","0","0","0","","","4010118","4010221","4010323","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2903","334001","6","16","0","0","0","0","0","0","","","4010118","4010221","4010323","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2904","334001","6","19","0","0","0","0","0","0","","","4010114","4010221","4010323","4010424","4010525","4010626","32014","32015","335000","334002","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2728","334002","1","11","0","0","0","0","0","0","","","4020117","4020220","4020322","4020424","4020525","4020626","338000","335001","336010","334003","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
"2905","334002","1","17","0","0","0","0","0","0","","","4020115","4020220","4020322","4020424","4020525","4020626","338000","335001","336010","334003","","","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","0","0","0","",""
