"序列","题","步骤","题目","选项1","选项1图","选项1小图","选项2","选项2图","选项2小图","选项3","选项3图","选项3小图","正确答案","正确奖励id","错误奖励id"
"1","1","0","：以下谁使用剑作为武器？","剑侠客","9000","30200","狐美人","9016","30216","漠少君","9002","30202","1","5840","5850"
"2","2","0","：以下谁使用枪作为武器？","逍遥生","9001","30201","龙太子","9006","30206","神天兵","9007","30207","2","5840","5850"
"3","3","0","：以下谁使用斧钺作为武器？","漠少君","9002","30202","舞天姬","9009","30209","虎头怪","9013","30213","3","5840","5850"
"4","4","0","：以下谁使用扇作为武器？","飞燕女","9003","30203","龙太子","9006","30206","逍遥生","9001","30201","3","5840","5850"
"5","5","0","：以下谁使用魔棒作为武器？","英女侠","9004","30204","玄彩娥","9011","30211","骨精灵","9015","30215","2","5840","5850"
"6","6","0","：以下谁使用爪刺作为武器？","舞天姬","9009","30209","梦玲珑","9010","30210","骨精灵","9015","30215","3","5840","5850"
"7","7","0","：以下谁使用锤作为武器？","虎头怪","9013","30213","神天兵","9007","30207","杀破狼","9012","30212","2","5840","5850"
"8","8","0","：以下谁使用鞭作为武器？","英女侠","9004","30204","狐美人","9016","30216","舞天姬","9009","30209","2","5840","5850"
"9","9","0","：以下谁使用环圈作为武器？","骨精灵","9015","30215","飞燕女","9003","30203","舞天姬","9009","30209","2","5840","5850"
"10","10","0","：以下谁使用弓作为武器？","漠少君","9002","30202","神天兵","9007","30207","杀破狼","9012","30212","3","5840","5850"
"11","11","0","：以下谁使用飘带作为武器？","骨精灵","9015","30215","舞天姬","9009","30209","狐美人","9016","30216","2","5840","5850"
"12","12","0","：梦幻西游中的男性角色是？","漠少君","9002","30202","骨精灵","9015","30215","狐美人","9016","30216","1","5840","5850"
"13","12","1","：梦幻西游中的男性角色是？","梦玲珑","9010","30210","逍遥生","9001","30201","舞天姬","9009","30209","2","5840","5850"
"14","12","2","：梦幻西游中的男性角色是？","巫蛮儿","9005","30205","玄彩娥","9011","30211","龙太子","9006","30206","3","5840","5850"
"15","13","0","：以下谁使用宝珠作为武器？","狐美人","9016","30216","舞天姬","9009","30209","梦玲珑","9010","30210","3","5840","5850"
"16","14","0","：以下谁使用长刀作为武器？","漠少君","9002","30202","剑侠客","9000","30214","巨魔王","9014","30214","3","5840","5850"
"17","15","0","：以下谁使用双短剑作为武器？","狐美人","9016","30216","英女侠","9004","30204","剑侠客","9000","30200","2","5840","5850"
"18","16","0","：以下谁使用降魔杵作为武器？","羽灵神","9008","30208","英女侠","9004","30204","剑侠客","9000","30200","1","5840","5850"
"19","17","0","：以下谁使用法杖作为武器？","骨精灵","9015","30215","巫蛮儿","9005","30205","舞天姬","9009","30311","2","5840","5850"
"20","18","0","：以下谁使用弯刀作为武器？","巨魔王","9014","30214","漠少君","9002","30202","剑侠客","9000","30200","2","5840","5850"
"21","19","0","：谁成天找人帮他捉鬼？","百晓仙子","9017","30397","花香香","9018","30398","钟馗","9019","30399","3","5840","5850"
"22","20","0","：如果要染色应该去找谁呢？","染色师","9017","30397","钟馗","9019","30399","酒店老板","9021","30401","1","5840","5850"
"23","21","0","：想要购买野生宠物的话，应该找谁购买？","酒店老板","9021","30401","花香香","9018","30398","药店老板","9023","30403","2","5840","5850"
"24","22","0","：以下哪位NPC可提升神兽能力？","袁天罡","9026","30406","吴举人","9025","30405","花香香","9018","30398","1","5840","5850"
"25","23","0","：以下哪位NPC可打探到强盗的消息？","店小二","9022","30402","守卫","9024","30404","魏征","9027","30407","1","5840","5850"
"26","24","0","：想要进入秘境应该找哪位NPC？","花香香","9018","30398","云乐游","9025","30405","魏征","9027","30407","2","5840","5850"
"27","25","0","：如果要染色应该去找谁呢？","染色师","9017","30397","花香香","9018","30398","店小二","9022","30402","1","5840","5850"
"28","26","0","：如果想要增加气血储备，需要找谁购买？","商会总管","9020","30400","酒店老板","9021","30401","药店老板","9023","30403","2","5840","5850"
"29","27","0","：等级突破任务应该找谁领取呢？","袁天罡","9026","30406","袁守诚","9029","30373","守卫","9024","30404","2","5840","5850"
"30","28","0","：以下哪位NPC可以兑换神兽？","袁天罡","9026","30406","吴举人","9025","30405","花香香","9018","30398","1","5840","5850"
"31","29","0","：帮派任务得找谁领取？","青龙堂总管","9044","30414","吴举人","9025","30405","花香香","9018","30398","1","5840","5850"
"32","30","0","：帮派任务得找谁领取？","青龙堂总管","9044","30414","吴举人","9025","30405","花香香","9018","30398","1","5840","5850"
"33","31","0","：以下哪位角色可穿戴头盔？","剑侠客","9000","30200","狐美人","9016","30216","巫蛮儿","9005","30205","1","5840","5850"
"34","32","0","：以下哪位角色可穿戴发钗？","羽灵神","9008","30208","虎头怪","9013","30213","骨精灵","9015","30215","3","5840","5850"
"35","33","0","：副本应该和哪位NPC领取任务？","百晓仙子","9017","30397","花香香","9018","30398","钟馗","9019","30399","1","5840","5850"
"36","34","0","：以下谁是剑侠客的官配CP？","狐美人","9016","30216","玄彩娥","9011","30211","骨精灵","9015","30215","3","5840","5850"
"37","35","0","：以下谁是逍遥生的官配CP？","狐美人","9016","30216","百晓仙子","9017","30397","舞天姬","9009","30209","1","5840","5850"
"38","36","0","：以下谁是龙太子的官配CP？","花香香","9018","30398","飞燕女","9003","30203","舞天姬","9009","30209","2","5840","5850"
"39","37","0","：以下谁是虎头怪的官配CP？","骨精灵","9015","30215","飞燕女","9003","30203","玄彩娥","9011","30211","3","5840","5850"
"40","38","0","：以下谁是杀破狼的官配CP？","英女侠","9004","30204","梦玲珑","9010","30210","巫蛮儿","9005","30205","3","5840","5850"
"41","39","0","：以下谁是神天兵的官配CP？","飞燕女","9003","30203","舞天姬","9009","30209","巫蛮儿","9005","30205","2","5840","5850"
"42","40","0","：以下谁是羽灵神的官配CP？","英女侠","9004","30204","梦玲珑","9010","30210","巫蛮儿","9005","30205","1","5840","5850"
"43","41","0","：这三位中最帅的是？","剑侠客","9000","30200","杀破狼","9012","30212","虎头怪","9013","30213","2","5840","5850"
"44","42","0","：这三位中最仙气的是？","飞燕女","9003","30203","巫蛮儿","9005","30205","玄彩娥","9011","30211","3","5840","5850"
"45","43","0","：这三位中最可爱的是？","骨精灵","9015","30215","虎头怪","9013","30213","巨魔王","9014","30214","1","5840","5850"
