"ID","总帧数","播放时间","Tips","快捷键"
"100","8","0.8","#100","#100"
"101","6","0.7","#101","#101"
"102","7","0.8","#102","#102"
"103","4","0.5","#103","#103"
"104","6","0.7","#104","#104"
"105","6","0.7","#105","#105"
"106","8","0.8","#106","#106"
"107","6","0.7","#107","#107"
"108","7","0.7","#108","#108"
"109","8","0.8","#109","#109"
"110","6","0.6","#110","#110"
"111","4","0.5","#111","#111"
"112","8","0.8","#112","#112"
"113","9","0.9","#113","#113"
"114","8","0.8","#114","#114"
"115","10","1","#115","#115"
"116","8","0.8","#116","#116"
"117","8","0.8","#117","#117"
"118","8","0.8","#118","#118"
"119","8","0.8","#119","#119"
"120","8","0.8","#120","#120"
"121","8","0.8","#121","#121"
"122","8","0.8","#122","#122"
"123","8","0.8","#123","#123"
"124","9","0.9","#124","#124"
"125","8","0.8","#125","#125"
"126","8","0.8","#126","#126"
"127","8","0.8","#127","#127"
"128","8","0.8","#128","#128"
"129","8","0.8","#129","#129"
"130","7","0.7","#130","#130"
"131","8","0.8","#131","#131"
"132","8","0.8","#132","#132"
"133","6","0.6","#133","#133"
"134","8","0.8","#134","#134"
"135","14","1.4","#135","#135"
"136","8","0.8","#136","#136"
"137","8","0.8","#137","#137"
"138","7","0.7","#138","#138"
"139","12","1.2","#139","#139"
"140","7","0.7","#140","#140"
"141","8","0.8","#141","#141"
"142","8","0.8","#142","#142"
"143","6","0.8","#143","#143"
"144","14","1.4","#144","#144"
"145","12","1.2","#145","#145"
"146","7","0.7","#146","#146"
"147","7","0.7","#147","#147"
"148","8","0.8","#148","#148"
"149","8","0.8","#149","#149"
"150","8","0.8","#150","#150"
"151","7","0.7","#151","#151"
"152","11","1.1","#152","#152"
"153","9","0.9","#153","#153"
"154","5","0.5","#154","#154"
"155","8","0.8","#155","#155"
"156","12","1.2","#156","#156"
"157","8","0.8","#157","#157"
"158","13","1.3","#158","#158"
"159","14","1.4","#159","#159"
"160","11","1.1","#160","#160"
"161","12","1.2","#161","#161"
"162","11","1.1","#162","#162"
"163","10","1","#163","#163"
"164","9","0.9","#164","#164"
"165","8","0.8","#165","#165"
"166","17","1.7","#166","#166"
"167","6","0.6","#167","#167"
"168","6","0.6","#168","#168"
"169","11","1.1","#169","#169"
"170","18","1.8","#170","#170"
"171","4","0.4","#171","#171"
"172","4","0.4","#172","#172"
"173","12","1.2","#173","#173"
"174","26","2.6","#174","#174"
"175","9","0.9","#175","#175"
"176","17","1.7","#176","#176"
"177","15","1.5","#177","#177"
"178","37","3.7","#178","#178"
"179","6","0.6","#179","#179"
"180","11","1.1","#180","#180"
"181","14","1.4","#181","#181"
"182","9","0.9","#182","#182"
"183","14","1.4","#183","#183"
"184","15","1.5","#184","#184"
"185","15","1.5","#185","#185"
"186","8","0.8","#186","#186"
"187","8","0.8","#187","#187"
"188","9","0.9","#188","#188"
"189","20","2","#189","#189"
"190","5","0.5","#190","#190"
"191","16","1.6","#191","#191"
"192","4","0.5","#192","#192"
"193","26","2.6","#193","#193"
"194","7","0.7","#194","#194"
"195","18","1.8","#195","#195"
"196","16","1.6","#196","#196"
"197","18","1.8","#197","#197"
"198","20","2","#198","#198"
"199","35","3.5","#199","#199"
"200","16","1.6","#200","#200"
"201","5","0.5","#201","#201"
"202","15","1.5","#202","#202"
"203","11","1.1","#203","#203"
"204","9","0.9","#204","#204"
"205","5","0.5","#205","#205"
"206","5","0.5","#206","#206"
"207","8","0.8","#207","#207"
"208","9","0.9","#208","#208"
"209","5","0.5","#209","#209"
"210","12","1.2","#210","#210"
"211","17","1.7","#211","#211"
"212","8","0.8","#212","#212"
"213","9","0.9","#213","#213"
"214","16","1.6","#214","#214"
"215","15","1.5","#215","#215"
"216","17","1.7","#216","#216"
"217","12","1.2","#217","#217"
"218","12","1.2","#218","#218"
"219","4","0.4","#219","#219"
"220","4","0.4","#220","#220"
"221","29","2.9","#221","#221"
"222","17","1.7","#222","#222"
"223","16","1.6","#223","#223"
"224","6","0.6","#224","#224"
"225","12","1.2","#225","#225"
"226","18","1.8","#226","#226"
"227","4","0.4","#227","#227"
"228","4","0.4","#228","#228"
"229","12","1.2","#229","#229"
"230","21","2.1","#230","#230"
